Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Term Source REF	Term Accession Number	Characteristics[Seed Source]	Characteristics[stratification exposure]	Unit	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Factor Value[Time of Sample Collection after Treatment]	Unit	Term Source REF	Term Accession Number	Factor Value[Ionizing Radiation]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Term Source REF	Term Accession Number	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[growth environment]	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[Hardware]	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation energy]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Age at sample harvest]	Unit	Term Source REF	Term Accession Number
gIR_vs_mock_wt_rep1_10min_+y	GSM3072467	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Dr. Julie Law (Salk Institute for Biological Studies)	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	GLDS	https://genelab-data.ndc.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	Percival growth cabinet	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033
gIR_vs_mock_wt_rep2_10min_+y	GSM3072468	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Dr. Julie Law (Salk Institute for Biological Studies)	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	GLDS	https://genelab-data.ndc.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	Percival growth cabinet	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033
gIR_vs_mock_wt_rep1_20min_+y	GSM3072469	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Dr. Julie Law (Salk Institute for Biological Studies)	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	20	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	GLDS	https://genelab-data.ndc.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	Percival growth cabinet	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033
gIR_vs_mock_wt_rep2_20min_+y	GSM3072470	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Dr. Julie Law (Salk Institute for Biological Studies)	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	20	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	GLDS	https://genelab-data.ndc.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	Percival growth cabinet	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033
gIR_vs_mock_wt_rep1_1h30min_+y	GSM3072471	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Dr. Julie Law (Salk Institute for Biological Studies)	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	GLDS	https://genelab-data.ndc.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	Percival growth cabinet	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033
gIR_vs_mock_wt_rep2_1h30min_+y	GSM3072472	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Dr. Julie Law (Salk Institute for Biological Studies)	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	GLDS	https://genelab-data.ndc.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	Percival growth cabinet	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033
gIR_vs_mock_wt_rep1_24h_+y	GSM3072473	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Dr. Julie Law (Salk Institute for Biological Studies)	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	1440	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	GLDS	https://genelab-data.ndc.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	Percival growth cabinet	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	7	day	UO	http://purl.obolibrary.org/obo/UO_0000033
gIR_vs_mock_wt_rep2_24h_+y	GSM3072474	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Dr. Julie Law (Salk Institute for Biological Studies)	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	1440	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	GLDS	https://genelab-data.ndc.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	Percival growth cabinet	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	7	day	UO	http://purl.obolibrary.org/obo/UO_0000033
gIR_vs_mock_wt_rep1_10min_-y	GSM3072475	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Dr. Julie Law (Salk Institute for Biological Studies)	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	GLDS	https://genelab-data.ndc.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	Percival growth cabinet	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol		Not Applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not Applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not Applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033
gIR_vs_mock_wt_rep2_10min_-y	GSM3072476	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Dr. Julie Law (Salk Institute for Biological Studies)	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	GLDS	https://genelab-data.ndc.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	Percival growth cabinet	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol		Not Applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not Applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not Applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033
