"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G12880",42.84881233,0.357787618,0.111081003,3.220961346,0.001277614,0.007023598,"yes","up",0.691552652477863,0.541286814802893,"tissue_specific","Flower","carpel"
"AT1G48330",67.2212692,-0.367801217,0.117138296,-3.139888742,0.00169012,0.008773075,"yes","down",0.643297291908822,0.651715760714376,"tissue_specific","Flower","carpel"
"AT1G50750",18.50369443,1.848981165,0.353722013,5.227215438,1.72e-07,3.89e-06,"yes","up",0.829375473830207,0.394860029407071,"tissue_specific","Flower","carpel"
"AT1G56210",146.8830945,-0.215255965,0.070560408,-3.050662122,0.002283374,0.011167593,"yes","down",0.745046374183306,0.695678638538093,"tissue_specific","Flower","carpel"
"AT1G70710",436.696805,-0.335849735,0.066238268,-5.070327862,3.97e-07,7.95e-06,"yes","down",0.729720435534115,0.740330898186312,"tissue_specific","Flower","carpel"
"AT1G71870",134.2554261,-0.310347934,0.098282288,-3.157719865,0.001590083,0.008359351,"yes","down",0.701570550076198,0.745391912014144,"tissue_specific","Flower","carpel"
"AT1G74430",80.75884189,0.441405674,0.111668573,3.952819152,7.72e-05,0.000685043,"yes","up",0.749965318289491,0.675499662977084,"tissue_specific","Flower","carpel"
"AT2G01610",53.9286201,0.849570051,0.212980547,3.988956088,6.64e-05,0.000607776,"yes","up",0.736159789829744,0.626250451288551,"tissue_specific","Flower","carpel"
"AT2G12480",4.504329183,1.153918003,0.244745405,4.714768807,2.42e-06,3.69e-05,"yes","up",0.903282074103467,0.795179122665437,"tissue_specific","Flower","carpel"
"AT2G21450",5.792561806,2.015814853,0.346198239,5.82271839,5.79e-09,2.09e-07,"yes","up",0.678407010476829,0.460422913014103,"tissue_specific","Flower","carpel"
"AT2G21650",55.54842098,-0.48784203,0.133612311,-3.651175741,0.000261043,0.001873228,"yes","down",0.878830471421132,0.58211539357123,"tissue_specific","Flower","carpel"
"AT2G21740",2.301317155,1.415618916,0.368574366,3.840795901,0.000122636,0.001006931,"yes","up",0.762857111348614,0.502060863705878,"tissue_specific","Flower","carpel"
"AT3G04960",17.91694026,0.467149541,0.121672601,3.839398006,0.000123336,0.001011272,"yes","up",0.749805167167206,0.868064039079586,"tissue_specific","Flower","carpel"
"AT3G10190",109.7996907,0.532237961,0.117502059,4.529605408,5.91e-06,7.9e-05,"yes","up",0.713562010904816,0.557342306999029,"tissue_specific","Flower","carpel"
"AT3G12710",136.2506995,0.230192397,0.079169285,2.90759726,0.003642171,0.016328811,"yes","up",0.804053727191051,0.596110911250614,"tissue_specific","Flower","carpel"
"AT3G16470",1292.7282,0.227431243,0.0843365,2.696711895,0.007002783,0.027535713,"yes","up",0.683205589657671,0.549037850315673,"tissue_specific","Flower","carpel"
"AT3G58780",6.48634508,0.506089785,0.180982786,2.7963421,0.005168466,0.021632856,"yes","up",0.842264930180003,0.767999170998956,"tissue_specific","Flower","carpel"
"AT4G00460",43.23519721,-0.273191256,0.093490024,-2.922143407,0.003476314,0.015731841,"yes","down",0.730657771356451,0.570009620517258,"tissue_specific","Flower","carpel"
"AT4G17460",321.8541754,-0.362265569,0.128852618,-2.811472314,0.004931533,0.02087467,"yes","down",0.64575701790501,0.375103287299601,"tissue_specific","Flower","carpel"
"AT4G21620",391.1752534,0.164521381,0.061746898,2.664447699,0.007711486,0.029800467,"yes","up",0.622181355976649,0.496523187533653,"tissue_specific","Flower","carpel"
"AT4G21903",46.22293048,0.508555555,0.147632171,3.444747529,0.000571593,0.003590238,"yes","up",0.770629335931627,0.681401130670134,"tissue_specific","Flower","carpel"
"AT4G34980",1072.196934,-0.197399766,0.065911253,-2.994932684,0.002745054,0.012988591,"yes","down",0.624801907327423,0.643805768692598,"tissue_specific","Flower","carpel"
"AT5G12900",258.0923813,-0.144110995,0.048799438,-2.953128166,0.003145713,0.014523643,"yes","down",0.612837779690872,0.2870035248256,"tissue_specific","Flower","carpel"
"AT5G14700",137.7418999,0.364398112,0.138532,2.630425544,0.008527805,0.032282952,"yes","up",0.600859199229042,0.515553135538318,"tissue_specific","Flower","carpel"
"AT5G24280",863.5682514,3.527001763,0.331837588,10.62869875,2.19e-26,2.46e-23,"yes","up",0.728036439250804,0.673050575184002,"tissue_specific","Flower","carpel"
"AT5G24420",102.4237551,-0.274319462,0.109423504,-2.506951907,0.012177728,0.04289042,"yes","down",0.877855419599598,0.818511187964804,"tissue_specific","Flower","carpel"
"AT5G27220",12.93900939,0.370674679,0.149503955,2.479363709,0.013161702,0.045646726,"yes","up",0.70850172979878,0.540886892577457,"tissue_specific","Flower","carpel"
"AT5G43270",221.6603573,-0.177293746,0.052350091,-3.38669412,0.000707402,0.004290093,"yes","down",0.633144309988915,0.635243424437984,"tissue_specific","Flower","carpel"
"AT5G47500",687.4727102,-0.757036063,0.21584645,-3.507289848,0.000452696,0.002969176,"yes","down",0.659513912328073,0.753343327952856,"tissue_specific","Flower","carpel"
"AT5G51810",44.88221569,-0.562076242,0.201951663,-2.783221658,0.005382202,0.02230567,"yes","down",0.790099004597499,0.769767046151645,"tissue_specific","Flower","carpel"
"AT5G58400",6.458957127,1.369166029,0.263135156,5.203280501,1.96e-07,4.33e-06,"yes","up",0.832720629472906,0.526040460478983,"tissue_specific","Flower","carpel"
"AT5G62230",91.83233501,-0.254156015,0.067866839,-3.74492197,0.00018045,0.001381534,"yes","down",0.650369764719539,0.646877043119875,"tissue_specific","Flower","carpel"
"AT5G62470",171.5056238,0.833251791,0.183299981,4.545836745,5.47e-06,7.41e-05,"yes","up",0.712326307115058,0.412450878616061,"tissue_specific","Flower","carpel"
"AT5G63650",76.22769729,-0.32317802,0.084995858,-3.802279648,0.000143371,0.001147989,"yes","down",0.66006184570919,0.583856840773126,"tissue_specific","Flower","carpel"
"AT5G64870",23.77801708,1.505708779,0.214576781,7.01710956,2.27e-12,1.98e-10,"yes","up",0.775239394947644,0.424287519560973,"tissue_specific","Flower","carpel"
"AT5G65350",35.92191455,0.808147056,0.193159497,4.183832879,2.87e-05,0.000299904,"yes","up",0.736316599066025,0.565075025184905,"tissue_specific","Flower","carpel"
