"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G01030",73.72569735,-0.227971894,0.080732806,-2.823782633,0.004746056,0.020257907,"yes","down",0.703983716491082,0.627315506985561,"tissue_specific","Flower","flower_stage_10_11"
"AT1G06260",4.664861754,-0.620792788,0.249841788,-2.484743617,0.012964477,0.045095412,"yes","down",0.941663258697594,0.912194011889684,"tissue_specific","Flower","flower_stage_10_11"
"AT1G11755",115.1082529,0.128447615,0.052429829,2.449895746,0.014289758,0.048748549,"yes","up",0.707816067172218,0.421998549273968,"tissue_specific","Flower","flower_stage_10_11"
"AT1G20120",18.08509182,2.217316725,0.30182966,7.34625193,2.04e-13,2.16e-11,"yes","up",0.935407372056012,0.929413997042097,"tissue_specific","Flower","flower_stage_10_11"
"AT1G24470",12.29071752,0.86859243,0.221921459,3.913963222,9.08e-05,0.000784846,"yes","up",0.720678337681873,0.623133163744736,"tissue_specific","Flower","flower_stage_10_11"
"AT1G43910",267.817754,1.734594151,0.22612612,7.670914595,1.71e-14,2.29e-12,"yes","up",0.603045794284937,0.633855146579075,"tissue_specific","Flower","flower_stage_10_11"
"AT1G62030",81.78394917,-0.19943087,0.077425345,-2.575782779,0.010001346,0.036631715,"yes","down",0.669184666183056,0.723676886181835,"tissue_specific","Flower","flower_stage_10_11"
"AT1G68780",254.1783091,-0.373523809,0.086714256,-4.307524819,1.65e-05,0.000189009,"yes","down",0.697392247284585,0.498572275461872,"tissue_specific","Flower","flower_stage_10_11"
"AT1G72280",66.63950625,0.583817453,0.11122771,5.248848986,1.53e-07,3.54e-06,"yes","up",0.87188534615432,0.325902650129461,"tissue_specific","Flower","flower_stage_10_11"
"AT1G72970",1178.282325,-0.433036026,0.09580412,-4.520014656,6.18e-06,8.23e-05,"yes","down",0.711325997601126,0.793892570366957,"tissue_specific","Flower","flower_stage_10_11"
"AT2G03830",7.919431037,-0.554724515,0.179882861,-3.083809709,0.002043683,0.010239263,"yes","down",0.793827026888777,0.530514676129973,"tissue_specific","Flower","flower_stage_10_11"
"AT2G21730",4.717608736,0.608070444,0.222075003,2.738130971,0.006178946,0.024866317,"yes","up",0.877207187037725,0.67833751482436,"tissue_specific","Flower","flower_stage_10_11"
"AT2G43840",60.75736725,-0.212985484,0.075393494,-2.824984928,0.004728284,0.020206642,"yes","down",0.789257388912498,0.645004805497969,"tissue_specific","Flower","flower_stage_10_11"
"AT2G47010",127.9061865,0.33588757,0.112946674,2.973859761,0.002940794,0.013743725,"yes","up",0.698498802223155,0.743643271672684,"tissue_specific","Flower","flower_stage_10_11"
"AT3G20450",18.06496227,0.282497911,0.110887014,2.547619423,0.010846072,0.039111896,"yes","up",0.929026878413272,0.568970297104211,"tissue_specific","Flower","flower_stage_10_11"
"AT3G23840",155.3222705,-0.236393981,0.073104314,-3.233652938,0.001222179,0.006763009,"yes","down",0.905809522301623,0.622174894816963,"tissue_specific","Flower","flower_stage_10_11"
"AT4G30520",155.9582276,-0.117332834,0.046186058,-2.54043839,0.01107136,0.039772198,"yes","down",0.715498551056304,0.575989713431162,"tissue_specific","Flower","flower_stage_10_11"
"AT4G30610",711.2088611,-0.337050619,0.074893332,-4.500408914,6.78e-06,8.86e-05,"yes","down",0.685023869984144,0.628290813309008,"tissue_specific","Flower","flower_stage_10_11"
"AT4G37900",79.5035699,0.599823631,0.097669063,6.141388176,8.18e-10,3.64e-08,"yes","up",0.954690227786521,0.909748942836193,"tissue_specific","Flower","flower_stage_10_11"
"AT5G06190",25.47000522,1.052105251,0.15155574,6.942034995,3.86e-12,3.2e-10,"yes","up",0.633901114727817,0.717439629266577,"tissue_specific","Flower","flower_stage_10_11"
"AT5G51850",32.93400631,-0.530388491,0.128962526,-4.112733419,3.91e-05,0.000388415,"yes","down",0.652206144219464,0.585964725402982,"tissue_specific","Flower","flower_stage_10_11"
