"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G02670",42.99345137,0.865083848,0.155774512,5.553436404,2.8e-08,8.19e-07,"yes","up",0.790019484835575,0.678855236966253,"tissue_specific","Flower","flower_stage_9"
"AT1G11920",5.230858474,-0.959013178,0.234700246,-4.086119187,4.39e-05,0.0004273,"yes","down",0.972497906863335,0.623655159581386,"tissue_specific","Flower","flower_stage_9"
"AT1G13790",119.7412207,0.264206492,0.066612667,3.966310059,7.3e-05,0.000654751,"yes","up",0.649766390720122,0.715943204759471,"tissue_specific","Flower","flower_stage_9"
"AT1G15190",13.72168357,1.26557229,0.225914442,5.601998159,2.12e-08,6.41e-07,"yes","up",0.937088043124997,0.586505833417128,"tissue_specific","Flower","flower_stage_9"
"AT1G22275",14.6400642,0.498134759,0.132147137,3.769546363,0.000163545,0.001273616,"yes","up",0.71460767169132,0.455388839160668,"tissue_specific","Flower","flower_stage_9"
"AT1G24095",46.6205038,0.641531917,0.108570679,5.908887405,3.44e-09,1.3e-07,"yes","up",0.620836695304478,0.617343042741844,"tissue_specific","Flower","flower_stage_9"
"AT1G61065",41.77415369,0.466243128,0.113699972,4.100644196,4.12e-05,0.000405664,"yes","up",0.607435559456403,0.520588099573589,"tissue_specific","Flower","flower_stage_9"
"AT1G74870",22.13902615,0.7830441,0.128678293,6.085285101,1.16e-09,4.97e-08,"yes","up",0.942371010230355,0.790461203524926,"tissue_specific","Flower","flower_stage_9"
"AT2G04570",263.2356658,-0.240612909,0.061195468,-3.931874665,8.43e-05,0.000737518,"yes","down",0.864558700430318,0.909236896476527,"tissue_specific","Flower","flower_stage_9"
"AT2G33000",11.3355374,0.478065084,0.137992941,3.464416954,0.000531382,0.00338091,"yes","up",0.677255246624589,0.177009625300886,"tissue_specific","Flower","flower_stage_9"
"AT2G35310",28.87814005,-0.579555738,0.17289302,-3.352106053,0.000801993,0.004754874,"yes","down",0.768066994756047,0.808245972714329,"tissue_specific","Flower","flower_stage_9"
"AT2G42140",4.776088467,-0.57428163,0.202421822,-2.837053952,0.004553192,0.019582629,"yes","down",0.819828927672453,0.636099983557351,"tissue_specific","Flower","flower_stage_9"
"AT2G42570",294.1500505,-0.235006383,0.067247909,-3.494627387,0.000474724,0.00308561,"yes","down",0.73121219987225,0.617294156101025,"tissue_specific","Flower","flower_stage_9"
