"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G01340",138.2257804,0.705660563,0.104727063,6.738091809,1.6e-11,1.11e-09,"yes","up",0.84602687462346,0.733909047469624,"tissue_specific","Flower","mature_pollen"
"AT1G02170",374.1400766,0.272595121,0.062545826,4.358326347,1.31e-05,0.000155017,"yes","up",0.6796218762257,0.204991485259878,"tissue_specific","Flower","mature_pollen"
"AT1G03060",1048.670013,0.096921404,0.032018677,3.02702717,0.002469718,0.011883783,"yes","up",0.629128267289313,0.279669762028196,"tissue_specific","Flower","mature_pollen"
"AT1G03180",41.71868652,-0.319451933,0.104258562,-3.064035475,0.00218373,0.010789515,"yes","down",0.739735253290377,0.338447310932545,"tissue_specific","Flower","mature_pollen"
"AT1G03260",135.2058045,0.175947782,0.058885313,2.987973981,0.002808335,0.01323488,"yes","up",0.743737113864212,0.125050305663243,"tissue_specific","Flower","mature_pollen"
"AT1G03370",453.8158152,0.306084254,0.07886222,3.881253351,0.00010392,0.000877816,"yes","up",0.78859840827133,0.372787112893583,"tissue_specific","Flower","mature_pollen"
"AT1G03550",92.09195088,0.252598276,0.079714842,3.168773479,0.001530837,0.00812757,"yes","up",0.821492080465658,0.463775583689039,"tissue_specific","Flower","mature_pollen"
"AT1G03620",17.36890991,0.560388768,0.144143336,3.887718884,0.000101191,0.000858046,"yes","up",0.96420763278836,0.438262356592632,"tissue_specific","Flower","mature_pollen"
"AT1G04090",23.67561141,0.401063731,0.110447348,3.631266273,0.000282034,0.001995913,"yes","up",0.904410275060825,0.489722378412612,"tissue_specific","Flower","mature_pollen"
"AT1G04160",227.478256,-0.124123839,0.049348432,-2.515253981,0.011894666,0.042158016,"yes","down",0.960250808991294,0.61627396878812,"tissue_specific","Flower","mature_pollen"
"AT1G04500",4.335163315,0.589042805,0.220397539,2.672637855,0.007525745,0.029213707,"yes","up",0.953410526076406,0.651700815959423,"tissue_specific","Flower","mature_pollen"
"AT1G04540",34.38594492,-0.241654121,0.092585205,-2.610072753,0.009052297,0.033833803,"yes","down",0.994103787227446,0.963386592373212,"tissue_specific","Flower","mature_pollen"
"AT1G04600",17.43148049,0.428410128,0.120132578,3.566144474,0.000362272,0.002453269,"yes","up",0.958263016098992,0.655252405571745,"tissue_specific","Flower","mature_pollen"
"AT1G04760",42.68092732,-0.709343708,0.178051247,-3.983930012,6.78e-05,0.000617901,"yes","down",0.904245691619467,0.592217485318153,"tissue_specific","Flower","mature_pollen"
"AT1G04820",6283.479903,-0.156926443,0.054550912,-2.876696944,0.004018613,0.01770007,"yes","down",0.695251578757833,0.423113290707915,"tissue_specific","Flower","mature_pollen"
