"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G02450",8.482239965,2.699864577,0.425076136,6.351484707,2.13e-10,1.13e-08,"yes","up",0.860614948968269,0.728979174516171,"tissue_specific","Flower","pedicel"
"AT1G09340",15153.57054,-0.223808035,0.035861907,-6.24082919,4.35e-10,2.12e-08,"yes","down",0.688313685511833,0.602448951815003,"tissue_specific","Flower","pedicel"
"AT1G11860",20183.52249,-0.186124894,0.037523737,-4.9601908,7.04e-07,1.3e-05,"yes","down",0.639940103814862,0.525723257976889,"tissue_specific","Flower","pedicel"
"AT1G16080",2455.525195,-0.117703451,0.031183834,-3.774502227,0.000160327,0.001256032,"yes","down",0.610794818304128,0.470206120216967,"tissue_specific","Flower","pedicel"
"AT1G17360",1191.098276,0.931126065,0.135911257,6.850985612,7.33e-12,5.6e-10,"yes","up",0.601970240745542,0.356737251363618,"tissue_specific","Flower","pedicel"
"AT1G17650",740.7437298,-0.201832433,0.037255388,-5.417536788,6.04e-08,1.59e-06,"yes","down",0.636728744717574,0.552681067112558,"tissue_specific","Flower","pedicel"
"AT1G29670",2072.157963,0.232075084,0.064361825,3.605787807,0.000311207,0.00216848,"yes","up",0.721479961153949,0.634028764042506,"tissue_specific","Flower","pedicel"
"AT1G32080",5242.846281,-0.190058586,0.041995638,-4.525674444,6.02e-06,8.04e-05,"yes","down",0.691023385117868,0.586945858849764,"tissue_specific","Flower","pedicel"
"AT1G32470",6236.72446,-0.162747197,0.0345061,-4.716476132,2.4e-06,3.67e-05,"yes","down",0.669828004702018,0.588697390626305,"tissue_specific","Flower","pedicel"
"AT1G43670",3090.258235,-0.133826494,0.047829092,-2.798014518,0.00514178,0.021551775,"yes","down",0.67779399281555,0.506727432745729,"tissue_specific","Flower","pedicel"
"AT1G45474",1725.39289,-0.166384387,0.031836785,-5.226168061,1.73e-07,3.91e-06,"yes","down",0.6181226637966,0.552963048690365,"tissue_specific","Flower","pedicel"
"AT1G48350",3846.502368,-0.185037249,0.039658183,-4.665802536,3.07e-06,4.53e-05,"yes","down",0.649061043743702,0.55893684612335,"tissue_specific","Flower","pedicel"
"AT1G64640",310.4953892,-0.335760723,0.073984655,-4.538248153,5.67e-06,7.65e-05,"yes","down",0.610205382019728,0.478931944358331,"tissue_specific","Flower","pedicel"
"AT1G67700",3039.198233,-0.107527741,0.029308011,-3.668885573,0.00024361,0.001769683,"yes","down",0.639609775694195,0.601542565011293,"tissue_specific","Flower","pedicel"
"AT1G74650",34.7448168,0.454400531,0.110119271,4.126439685,3.68e-05,0.000369253,"yes","up",0.82992845753386,0.516871024077293,"tissue_specific","Flower","pedicel"
"AT1G77490",2000.439331,-0.153873285,0.039486018,-3.896905641,9.74e-05,0.000830335,"yes","down",0.667724772899067,0.545000319628488,"tissue_specific","Flower","pedicel"
"AT1G78440",10.41174344,-0.746107875,0.223929885,-3.331881658,0.000862609,0.005045729,"yes","down",0.685779554653269,0.485269741500755,"tissue_specific","Flower","pedicel"
"AT1G78450",101.817542,-0.671516527,0.166678796,-4.028805955,5.61e-05,0.000527765,"yes","down",0.833319272882434,0.550089093427048,"tissue_specific","Flower","pedicel"
"AT2G21280",1096.99253,-0.14844822,0.033012952,-4.496665961,6.9e-06,8.99e-05,"yes","down",0.632970637037618,0.562255869468842,"tissue_specific","Flower","pedicel"
"AT2G28260",71.4791172,-0.180108107,0.065757079,-2.73899189,0.006162789,0.024820679,"yes","down",0.717760766036495,0.341596608701082,"tissue_specific","Flower","pedicel"
