"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G02470",8.428377939,0.500950511,0.176159988,2.843724702,0.004458956,0.019247566,"yes","up",0.894013080323619,0.830475907382869,"tissue_specific","Flower","petal"
"AT1G07350",508.5892492,0.28794211,0.064913835,4.435758732,9.17e-06,0.000114425,"yes","up",0.74941524957441,0.467370411496996,"tissue_specific","Flower","petal"
"AT1G09410",31.13454085,0.363909015,0.107115761,3.39734331,0.000680435,0.004151114,"yes","up",0.814871783670529,0.661548256747513,"tissue_specific","Flower","petal"
"AT1G10020",349.8842703,-0.339473604,0.126307008,-2.687686216,0.007194897,0.028197059,"yes","down",0.602791313375505,0.362765319922974,"tissue_specific","Flower","petal"
"AT1G11850",179.005286,-0.211835814,0.067174236,-3.153527694,0.001613099,0.008450131,"yes","down",0.863314359955138,0.697152377181507,"tissue_specific","Flower","petal"
"AT1G15260",348.466479,-0.283022904,0.068977862,-4.103097653,4.08e-05,0.000401741,"yes","down",0.852926000644169,0.674488631022863,"tissue_specific","Flower","petal"
"AT1G17380",38.22033859,1.883858217,0.234442619,8.035476757,9.32e-16,1.68e-13,"yes","up",0.683154913085677,0.372969076232562,"tissue_specific","Flower","petal"
"AT1G18330",238.6154507,-0.343941945,0.120250896,-2.86020276,0.004233702,0.018488526,"yes","down",0.73167934381733,0.289967652076111,"tissue_specific","Flower","petal"
"AT1G18470",467.3871191,0.203612549,0.065057979,3.12970913,0.001749795,0.009000199,"yes","up",0.621922781451568,0.291694245237823,"tissue_specific","Flower","petal"
"AT1G20180",6.704496888,1.770315401,0.29901514,5.920487513,3.21e-09,1.22e-07,"yes","up",0.917406859546588,0.811381706843052,"tissue_specific","Flower","petal"
"AT1G27940",86.47084511,1.6141659,0.261855069,6.16434849,7.08e-10,3.23e-08,"yes","up",0.806172376004708,0.554689418264693,"tissue_specific","Flower","petal"
"AT1G30080",66.06449853,-0.23633008,0.07135068,-3.312233029,0.000925544,0.005361969,"yes","down",0.863651222983424,0.758671489102742,"tissue_specific","Flower","petal"
"AT1G30440",960.0251662,-0.210998872,0.056866201,-3.710444341,0.000206896,0.001547321,"yes","down",0.639562469716351,0.381808290422564,"tissue_specific","Flower","petal"
"AT1G33240",1034.683801,-0.249661951,0.076216857,-3.275678914,0.001054083,0.005990327,"yes","down",0.785423723949975,0.422713825560888,"tissue_specific","Flower","petal"
"AT1G48100",53.82609775,-0.476186191,0.176689908,-2.695038992,0.007038039,0.02764207,"yes","down",0.705307633627211,0.760515179832831,"tissue_specific","Flower","petal"
"AT1G48480",942.4272699,-0.242097552,0.067334107,-3.595466909,0.00032381,0.00224044,"yes","down",0.710663342569561,0.586808181953447,"tissue_specific","Flower","petal"
"AT1G51440",23.3680307,-0.321691278,0.125079988,-2.571884469,0.010114664,0.036949166,"yes","down",0.886583762715296,0.776721701404715,"tissue_specific","Flower","petal"
"AT1G53830",173.3105556,-0.349399246,0.102661936,-3.403396231,0.000665537,0.004074987,"yes","down",0.943631465175557,0.922343851060749,"tissue_specific","Flower","petal"
"AT1G59640",25.32023144,0.397052133,0.130211234,3.049292457,0.002293811,0.01121593,"yes","up",0.925785061209312,0.923117676500266,"tissue_specific","Flower","petal"
"AT1G61170",70.28319443,-0.229407596,0.067181303,-3.414753614,0.000638397,0.003940545,"yes","down",0.643641073410623,0.579847347959894,"tissue_specific","Flower","petal"
"AT1G63840",223.0819021,0.16088222,0.06247513,2.575140212,0.010019946,0.036688441,"yes","up",0.763458633537995,0.648802033668149,"tissue_specific","Flower","petal"
"AT1G66400",47.17729465,0.584983118,0.150092433,3.897485732,9.72e-05,0.000828649,"yes","up",0.794781249944916,0.546996882708001,"tissue_specific","Flower","petal"
"AT1G67590",227.2675283,-0.29327958,0.072927423,-4.021526722,5.78e-05,0.000541104,"yes","down",0.655240164175523,0.475474581260127,"tissue_specific","Flower","petal"
"AT1G68560",3318.173452,-0.153656803,0.061794567,-2.486574644,0.012897951,0.044910398,"yes","down",0.675631053394953,0.621054180617133,"tissue_specific","Flower","petal"
"AT1G70940",1197.776417,-0.244396537,0.079944628,-3.057072647,0.002235101,0.010992705,"yes","down",0.662090099636532,0.512393478628123,"tissue_specific","Flower","petal"
"AT1G72240",17.28053014,0.371968063,0.125223148,2.970441727,0.002973718,0.013874446,"yes","up",0.766121428562213,0.529613826153719,"tissue_specific","Flower","petal"
"AT1G74670",445.9068555,-0.6844177,0.21610785,-3.167019155,0.001540102,0.008165726,"yes","down",0.672451705585166,0.557540611546256,"tissue_specific","Flower","petal"
"AT1G75290",18.81578793,0.416226227,0.11040255,3.770078032,0.000163197,0.001272587,"yes","up",0.909654112273628,0.662150807413859,"tissue_specific","Flower","petal"
"AT1G77500",242.0770333,0.220626793,0.070445608,3.131874368,0.001736942,0.008946256,"yes","up",0.608022529730356,0.569638578866344,"tissue_specific","Flower","petal"
"AT1G79630",250.9235769,-0.162930587,0.047562161,-3.425634639,0.000613365,0.003811495,"yes","down",0.617094190555309,0.274394536220254,"tissue_specific","Flower","petal"
"AT2G01460",251.898644,0.146194493,0.053437818,2.735787092,0.006223128,0.025003884,"yes","up",0.753449755269187,0.420545658008724,"tissue_specific","Flower","petal"
"AT2G02300",8.301242339,1.291495711,0.274330355,4.707811901,2.5e-06,3.8e-05,"yes","up",0.890878790464827,0.86991158829399,"tissue_specific","Flower","petal"
"AT2G02780",279.4317131,-0.165123128,0.048165384,-3.42825309,0.000607479,0.003782382,"yes","down",0.733113810691934,0.647997316420691,"tissue_specific","Flower","petal"
"AT2G10940",16750.52686,-0.499250623,0.107500666,-4.64416305,3.41e-06,4.96e-05,"yes","down",0.646541593828745,0.533147902632546,"tissue_specific","Flower","petal"
"AT2G16900",294.6716605,0.16962139,0.051924762,3.266676303,0.00108818,0.006148532,"yes","up",0.632995913496807,0.352169251725776,"tissue_specific","Flower","petal"
"AT2G19310",324.5537557,0.213703322,0.082278075,2.597330129,0.009395158,0.034850048,"yes","up",0.86368099084231,0.32902708603513,"tissue_specific","Flower","petal"
"AT2G20560",96.0443467,0.338994237,0.08968002,3.780041939,0.000156802,0.001232919,"yes","up",0.866492680135202,0.530814469852399,"tissue_specific","Flower","petal"
"AT2G29500",65.70585667,0.227744855,0.084621685,2.691329722,0.007116782,0.027918772,"yes","up",0.863848007838989,0.587571379055347,"tissue_specific","Flower","petal"
"AT2G32560",512.655931,-0.214387179,0.082691428,-2.592616728,0.009524885,0.035253591,"yes","down",0.672178461197926,0.408625201801672,"tissue_specific","Flower","petal"
"AT2G34340",33.39343998,-0.33581157,0.096659947,-3.474154306,0.000512466,0.003280034,"yes","down",0.798067172796813,0.499604586163474,"tissue_specific","Flower","petal"
"AT2G35710",106.4088607,1.03305098,0.215425608,4.795395451,1.62e-06,2.62e-05,"yes","up",0.834636161405078,0.434717738241191,"tissue_specific","Flower","petal"
"AT2G36050",94.33894301,-0.67226432,0.174991306,-3.841701265,0.000122184,0.001003923,"yes","down",0.632673122502303,0.547427239023445,"tissue_specific","Flower","petal"
"AT2G38060",44.24822863,-0.376395781,0.092836032,-4.054414773,5.03e-05,0.000480056,"yes","down",0.643570210262997,0.417619403785164,"tissue_specific","Flower","petal"
"AT2G38120",1143.106852,-0.215534237,0.052095753,-4.137270812,3.51e-05,0.00035497,"yes","down",0.722257304384086,0.497205603489155,"tissue_specific","Flower","petal"
"AT2G40610",180.1264481,-0.774690201,0.257458987,-3.008984883,0.002621222,0.012508109,"yes","down",0.889257140727155,0.669155960349529,"tissue_specific","Flower","petal"
"AT2G44740",50.77097416,-0.543783592,0.132050754,-4.117989306,3.82e-05,0.000380948,"yes","down",0.814297876468329,0.282621051811645,"tissue_specific","Flower","petal"
"AT2G46710",345.2920274,-0.122293931,0.048747793,-2.508707001,0.012117395,0.042728684,"yes","down",0.833661574904058,0.24431660385076,"tissue_specific","Flower","petal"
"AT3G01750",87.62367877,-0.255243671,0.066868637,-3.817090992,0.000135034,0.001089379,"yes","down",0.817069036143398,0.588994753575791,"tissue_specific","Flower","petal"
