"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G02560",3951.805356,-0.057143316,0.021038642,-2.71611238,0.006605349,0.026248803,"yes","down",0.630846509837827,0.456781813909861,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G07440",459.26991,0.160813094,0.062705149,2.564591515,0.010329733,0.037624043,"yes","up",0.710225226731602,0.445397873612477,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G12480",81.79577208,1.137227642,0.225677178,5.039178756,4.68e-07,9.15e-06,"yes","up",0.699510401122133,0.421156623353689,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G19740",1034.316159,-0.121839488,0.039040395,-3.120856951,0.001803256,0.009238895,"yes","down",0.627648288403719,0.434533207313592,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G21065",750.3549705,-0.103673946,0.032160312,-3.223661115,0.001265631,0.006970728,"yes","down",0.614776584753477,0.35904134291716,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G21250",208.1384917,2.133257451,0.311148317,6.856079021,7.08e-12,5.45e-10,"yes","up",0.817252388168377,0.702688764390927,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G25390",354.9180243,0.286305314,0.063819669,4.486161068,7.25e-06,9.38e-05,"yes","up",0.601540614076543,0.429436548468274,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G35710",169.1477932,1.632940214,0.271615979,6.011944582,1.83e-09,7.49e-08,"yes","up",0.871493206575127,0.731072636681558,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G51805",698.1052173,0.187349714,0.075701848,2.474836719,0.01332971,0.046154709,"yes","up",0.822854776314794,0.702590832981016,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G55850",1061.639998,0.33521042,0.054133156,6.192330948,5.93e-10,2.77e-08,"yes","up",0.783162774472958,0.387785394857575,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G56150",30.05569738,0.864426567,0.197785376,4.370528211,1.24e-05,0.000147738,"yes","up",0.82616500511493,0.69185709351363,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G58807",949.0595845,0.125953448,0.041214971,3.056012037,0.002243023,0.011020169,"yes","up",0.605211129251786,0.531600662308653,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G59870",7587.021467,0.581836541,0.139484387,4.17133812,3.03e-05,0.000313771,"yes","up",0.755807100376302,0.623350463221552,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G62630",252.281669,0.205602983,0.075139923,2.736268227,0.006214035,0.024971608,"yes","up",0.774594278264694,0.622006157332203,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G66670",1664.16333,-0.070188355,0.025682971,-2.732875203,0.006278412,0.025174519,"yes","down",0.622187969920805,0.421946291588608,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G76520",535.8018626,0.281092241,0.058669571,4.791107833,1.66e-06,2.67e-05,"yes","up",0.775557329631211,0.37581117550003,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT2G01420",910.6878479,-0.272804491,0.066588409,-4.096876516,4.19e-05,0.000411483,"yes","down",0.724458399878916,0.597810774938745,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT2G04070",9.970316812,0.934692775,0.250436583,3.732253338,0.000189774,0.001436932,"yes","up",0.687595631036895,0.180141954357161,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT2G13360",14594.23195,-0.155596516,0.051001185,-3.050841212,0.002282012,0.011167506,"yes","down",0.659742691537363,0.596351319380013,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT2G15580",305.8454958,0.338887602,0.063859052,5.306806038,1.12e-07,2.71e-06,"yes","up",0.755195156620683,0.551017114256809,"tissue_specific","Leaf_Shoot","cauline_leaf"
