"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G05710",194.294589,0.739774752,0.119122683,6.210192168,5.29e-10,2.52e-08,"yes","up",0.690633494857509,0.482894154752486,"tissue_specific","Leaf_Shoot","hypocotyl"
"AT1G06640",1110.909177,-0.136764471,0.046469215,-2.943119871,0.003249226,0.014924268,"yes","down",0.808043099664521,0.756884535753267,"tissue_specific","Leaf_Shoot","hypocotyl"
"AT1G12630",8.625826576,-0.407455926,0.146526162,-2.780772533,0.005422972,0.022431254,"yes","down",0.737793848723479,0.181422532926998,"tissue_specific","Leaf_Shoot","hypocotyl"
"AT1G14720",1015.906174,0.674127943,0.113085206,5.961239043,2.5e-09,9.85e-08,"yes","up",0.603641645968585,0.253326066467449,"tissue_specific","Leaf_Shoot","hypocotyl"
"AT1G15580",29.5408307,1.566401169,0.284341111,5.508880374,3.61e-08,1.02e-06,"yes","up",0.710874282741206,0.360245521787204,"tissue_specific","Leaf_Shoot","hypocotyl"
"AT1G17750",51.72851493,0.35562943,0.110636307,3.214400774,0.001307171,0.007162701,"yes","up",0.656028792244471,0.502459923055902,"tissue_specific","Leaf_Shoot","hypocotyl"
"AT1G23340",58.92166172,-0.451732466,0.087506531,-5.162271466,2.44e-07,5.22e-06,"yes","down",0.627382864743466,0.380490503851088,"tissue_specific","Leaf_Shoot","hypocotyl"
"AT1G23830",46.28646406,0.628263813,0.127714322,4.919290204,8.69e-07,1.55e-05,"yes","up",0.763432998471647,0.713189726587633,"tissue_specific","Leaf_Shoot","hypocotyl"
"AT1G24625",177.7522546,-0.247890803,0.092308429,-2.685462254,0.007242956,0.028319488,"yes","down",0.721771009218633,0.572230900785029,"tissue_specific","Leaf_Shoot","hypocotyl"
"AT1G28110",362.1776573,-0.155670391,0.053474678,-2.911104768,0.003601532,0.016189726,"yes","down",0.641474258800896,0.322906783743252,"tissue_specific","Leaf_Shoot","hypocotyl"
"AT1G28290",4005.802469,-0.229383768,0.082683836,-2.774227454,0.005533298,0.022823521,"yes","down",0.745920846806418,0.589939603053381,"tissue_specific","Leaf_Shoot","hypocotyl"
"AT1G31335",66.46065229,-0.671010742,0.171394231,-3.915013576,9.04e-05,0.000782298,"yes","down",0.679799855263261,0.401265244089694,"tissue_specific","Leaf_Shoot","hypocotyl"
"AT1G31710",494.0121005,-0.252240051,0.080955196,-3.11579817,0.001834478,0.009361765,"yes","down",0.94721687909794,0.8473742843597,"tissue_specific","Leaf_Shoot","hypocotyl"
"AT1G47400",182.8089969,0.779082285,0.283874495,2.744460311,0.006061048,0.024510192,"yes","up",0.899156607749059,0.779600321830625,"tissue_specific","Leaf_Shoot","hypocotyl"
"AT1G47410",68.38309779,-0.155417469,0.059803698,-2.598793642,0.009355199,0.034740094,"yes","down",0.768767178750752,0.475519113603702,"tissue_specific","Leaf_Shoot","hypocotyl"
