"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G03870",2644.166027,-0.337603615,0.125431473,-2.691538317,0.007112333,0.027910608,"yes","down",0.764507377167399,0.606907468835604,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT1G10550",37.97148525,-0.726010388,0.238464756,-3.044518611,0.00233053,0.011363055,"yes","down",0.722765227785355,0.421628658818482,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT1G14150",943.7902464,-0.162764241,0.052779979,-3.083825436,0.002043575,0.010239263,"yes","down",0.758412793298576,0.659008845702554,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT1G14345",1486.058595,-0.283182616,0.064104032,-4.417547672,9.98e-06,0.000122884,"yes","down",0.664934027917944,0.589528905043068,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT1G15980",2425.55667,-0.137700615,0.041728014,-3.299956135,0.000966999,0.005567923,"yes","down",0.687247951787074,0.627371298933975,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT1G18730",1102.321427,-0.124291913,0.042435199,-2.928981518,0.003400746,0.015473035,"yes","down",0.734103374453294,0.646589061210779,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT1G19150",1363.950241,-0.199026075,0.062921133,-3.163103783,0.001560967,0.008231917,"yes","down",0.732435359322364,0.649546938833707,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT1G43560",1328.275638,-0.102804639,0.036050511,-2.851683227,0.004348841,0.018891601,"yes","down",0.669291728388695,0.603575650999309,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT1G51080",164.008597,-0.204188439,0.071150822,-2.869797342,0.00410735,0.018020203,"yes","down",0.682953519937126,0.623864064316707,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT1G62780",1952.651788,-0.167594204,0.039265481,-4.268232535,1.97e-05,0.000218567,"yes","down",0.730736337248099,0.674894570683416,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT1G68590",4300.063034,-0.167831402,0.038918983,-4.312327571,1.62e-05,0.000185489,"yes","down",0.649358766173215,0.609631238203283,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT1G74880",1111.216929,-0.095194099,0.03786168,-2.514259769,0.011928254,0.042245301,"yes","down",0.661654929470071,0.63804124805169,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT2G01590",451.0253081,-0.138333591,0.055403661,-2.496831232,0.012530858,0.043904565,"yes","down",0.627055922544523,0.581938399438946,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT2G20260",3916.839387,-0.112459717,0.041951161,-2.680729525,0.007346187,0.028642352,"yes","down",0.605890464494186,0.565128552408284,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT2G21210",305.5262905,-0.39270684,0.104950661,-3.741823409,0.00018269,0.001394326,"yes","down",0.77197376577121,0.708135561864946,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT2G23130",352.4622957,-0.393128622,0.159965717,-2.457580465,0.013987647,0.047946896,"yes","down",0.712959768976935,0.559771390656845,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT2G28190",8183.504969,-0.156283046,0.041758741,-3.742522912,0.000182182,0.00139191,"yes","down",0.637460374893889,0.582311955576402,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT2G35370",6128.688684,-0.115082922,0.034934849,-3.29421551,0.000986968,0.005669054,"yes","down",0.679453939148451,0.619890428742652,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT2G35410",1460.572688,-0.08532705,0.034536241,-2.470652492,0.01348668,0.046575634,"yes","down",0.623256206284094,0.577223745004524,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT2G37660",5834.255454,-0.200381896,0.039764573,-5.039206505,4.67e-07,9.15e-06,"yes","down",0.614325745842833,0.590532542279143,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT3G01480",4103.132015,-0.210921761,0.036633801,-5.757572396,8.53e-09,2.92e-07,"yes","down",0.648554996093903,0.589426442619232,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT3G01500",57109.34876,-0.164977966,0.0519389,-3.176385426,0.001491227,0.007947703,"yes","down",0.682057038689877,0.637452839566749,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT3G04790",6372.540358,-0.133703331,0.032911405,-4.062522807,4.85e-05,0.000466594,"yes","down",0.649214832048618,0.551465566407676,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT3G06770",332.3129452,-0.22851212,0.079261074,-2.883030815,0.003938689,0.01739354,"yes","down",0.611482517558449,0.457063025428898,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT3G15110",782.0918738,-0.153944723,0.030527784,-5.042774189,4.59e-07,9.02e-06,"yes","down",0.662114657286818,0.588633187879014,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT3G15360",3910.705834,-0.094121918,0.022557116,-4.172604184,3.01e-05,0.000312306,"yes","down",0.653430897954574,0.586744749451161,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT3G21055",10341.31481,-0.231533076,0.047272697,-4.897818181,9.69e-07,1.69e-05,"yes","down",0.633769347252709,0.570620588147243,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT3G56650",650.6187301,-0.120719153,0.038843108,-3.107865466,0.001884438,0.009565432,"yes","down",0.629339584942962,0.56280424294601,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT3G62030",14442.70757,-0.128556514,0.02561969,-5.017879298,5.22e-07,1.01e-05,"yes","down",0.635763419498634,0.57560452829209,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT4G02330",207.5971589,0.929259354,0.158703814,5.855305741,4.76e-09,1.75e-07,"yes","up",0.835666116944613,0.646957076066545,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT4G14890",1144.636072,-0.211391352,0.04570885,-4.624735697,3.75e-06,5.39e-05,"yes","down",0.607164061492499,0.540808101208087,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT4G16980",3824.245351,-0.236529385,0.089811761,-2.633612581,0.008448182,0.032084582,"yes","down",0.740129373614628,0.663970528656389,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT4G39970",1216.565102,-0.169330449,0.04204885,-4.026993556,5.65e-05,0.000530788,"yes","down",0.659020378103121,0.604060184997607,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT5G04150",54.0627559,0.720655214,0.231149866,3.117696877,0.001822702,0.009312212,"yes","up",0.766141009985279,0.608138723064203,"tissue_specific","Leaf_Shoot","rosette_leaf"
