"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G02150",1790.719941,-0.124965422,0.03419524,-3.654468402,0.000257715,0.001856701,"yes","down",0.611641885257033,0.370369168180239,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G03630",3058.422306,-0.166093415,0.065944223,-2.518695458,0.011779049,0.041835265,"yes","down",0.703735899751405,0.596420505728717,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G04110",126.2285525,-0.341625213,0.11265584,-3.032467861,0.002425629,0.011721886,"yes","down",0.82089584044713,0.531972997549391,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G07320",6793.514725,-0.172959611,0.034693954,-4.985295513,6.19e-07,1.16e-05,"yes","down",0.66301858526377,0.572240436075161,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G08520",3152.398347,-0.140413903,0.03675628,-3.820133653,0.000133379,0.001078611,"yes","down",0.643445802444593,0.551591144510305,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G09750",1998.290676,-0.296079961,0.09616016,-3.079029419,0.002076762,0.010365341,"yes","down",0.697308880549279,0.515117675845725,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G12090",6783.266893,-0.201458524,0.067240693,-2.996080418,0.002734743,0.012942401,"yes","down",0.619894041564083,0.462325267081365,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G12800",3038.250851,-0.143600295,0.043689003,-3.286875047,0.001013058,0.005793501,"yes","down",0.657051986498519,0.538624963769373,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G12860",488.9586707,-0.359908952,0.064092471,-5.615463832,1.96e-08,5.99e-07,"yes","down",0.634960289027445,0.295816094691607,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G13650",188.4017234,-0.662731864,0.229030694,-2.89363776,0.003808072,0.016940495,"yes","down",0.86721395670764,0.683768793907829,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G14030",514.4326795,-0.19431065,0.056168867,-3.459401302,0.000541378,0.003431822,"yes","down",0.66501679821571,0.542836756257209,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G21500",1450.943259,-0.230368878,0.079069966,-2.91348142,0.003574231,0.016094623,"yes","down",0.773774993783041,0.63387400198642,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G29070",4349.689482,-0.214425449,0.04138522,-5.181208399,2.2e-07,4.77e-06,"yes","down",0.636193429056266,0.560757092588216,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G30520",400.9648007,-0.309526748,0.096463282,-3.208751982,0.001333124,0.007287973,"yes","down",0.745931313073243,0.585456987829014,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G32200",1255.516826,-0.257986071,0.051291155,-5.029835463,4.91e-07,9.55e-06,"yes","down",0.613634046340252,0.451821780949593,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G32990",4071.894445,-0.148485911,0.035824906,-4.144767648,3.4e-05,0.000345627,"yes","down",0.636479703563827,0.588065115581403,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G33811",601.6867967,-0.281140079,0.061624413,-4.562154281,5.06e-06,6.95e-05,"yes","down",0.80038474561426,0.73865951296252,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G35680",4824.725269,-0.184131068,0.039596145,-4.650227177,3.32e-06,4.83e-05,"yes","down",0.632964970460115,0.516489907686778,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G50450",794.8996546,-0.105268129,0.032982885,-3.191598538,0.001414878,0.007631191,"yes","down",0.623723060053198,0.480012047001176,"tissue_specific","Leaf_Shoot","rosette_vegetative"
