"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G05950",130.8738106,0.233079173,0.074987578,3.1082371,0.00188207,0.009559586,"yes","up",0.700387124337337,0.692143505634034,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT1G07070",320.578231,-0.217312156,0.061076158,-3.55805217,0.000373615,0.00251779,"yes","down",0.650771567767854,0.366387467134846,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT1G14410",525.962351,-0.202104045,0.065646111,-3.078690316,0.002079127,0.010374949,"yes","down",0.726028295785079,0.294175134372726,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT1G31180",1296.104872,-0.146013743,0.036141387,-4.040070227,5.34e-05,0.000505469,"yes","down",0.726423716320685,0.525193898362592,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT1G48630",2674.899437,-0.30798811,0.070978275,-4.339188456,1.43e-05,0.000167304,"yes","down",0.642132476261329,0.331789879991596,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT1G49600",2087.870296,-0.174301206,0.045075103,-3.866906423,0.000110225,0.000923357,"yes","down",0.641918466092389,0.451377549966329,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT1G52930",658.8944413,-0.176117,0.070287012,-2.505683397,0.0122215,0.043025301,"yes","down",0.705063971066948,0.401991040925991,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT1G72730",404.8009235,-0.295867338,0.074406591,-3.976359278,7e-05,0.000633244,"yes","down",0.60859165873317,0.590179848393309,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT1G74890",30.22265073,-0.537572535,0.16028814,-3.3537886,0.000797132,0.004732007,"yes","down",0.811015569286298,0.498597031057991,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT1G78430",133.9790448,-0.663081168,0.157136089,-4.219789168,2.45e-05,0.000262612,"yes","down",0.743521082516036,0.674357935894985,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT2G14580",45.36243089,0.612949682,0.207875157,2.948643267,0.003191722,0.014702678,"yes","up",0.960343706468489,0.712872996202179,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT2G17630",487.4211789,-0.211157789,0.068568698,-3.07950703,0.002073435,0.01035312,"yes","down",0.613075737501558,0.524666930569751,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT2G18120",53.19658392,-0.425595335,0.134878624,-3.155395005,0.001602809,0.008413054,"yes","down",0.61393953426079,0.223494766340307,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT2G19670",284.6142636,-0.222903023,0.081173013,-2.746023767,0.006032239,0.024428445,"yes","down",0.795654826010841,0.403078117986604,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT2G20450",1524.911469,-0.221469707,0.059506788,-3.721755327,0.000197843,0.001487638,"yes","down",0.646608209698593,0.314630425204635,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT2G20490",415.4093803,-0.21448378,0.058719428,-3.652688508,0.000259509,0.001865062,"yes","down",0.609660883211293,0.28296028507342,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT2G20980",95.18491112,-0.394307422,0.096348509,-4.092511948,4.27e-05,0.000417394,"yes","down",0.671432353050444,0.333328783676873,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT2G26180",114.2648125,-0.585491313,0.150286801,-3.895826574,9.79e-05,0.00083374,"yes","down",0.669769154855098,0.456290664647096,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT2G30670",13.51639866,0.888797957,0.254457102,3.492918653,0.000477772,0.003100914,"yes","up",0.678084218976844,0.241798030158934,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
"AT2G37210",25.43948685,0.327065543,0.104686912,3.124225704,0.001782737,0.00914569,"yes","up",0.681576269261675,0.321839201140532,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative"
