"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G03475",3708.367714,-0.123088344,0.034092571,-3.610415391,0.000305707,0.002135189,"yes","down",0.642906018090166,0.551644402608523,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative_with_leaves"
"AT1G05190",5377.333742,-0.141694648,0.035996789,-3.936313589,8.27e-05,0.000726172,"yes","down",0.627371766121807,0.57388179470278,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative_with_leaves"
"AT1G06950",4699.400745,-0.185938269,0.044948935,-4.136655742,3.52e-05,0.000355617,"yes","down",0.604538373658226,0.31086572481268,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative_with_leaves"
"AT1G14810",2035.833906,-0.107236483,0.039546999,-2.711621275,0.006695504,0.02655782,"yes","down",0.644377225076838,0.408309074842787,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative_with_leaves"
"AT1G25450",637.8949554,-0.176728269,0.051825835,-3.410041928,0.000649529,0.003995654,"yes","down",0.761422858848678,0.487347082463505,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative_with_leaves"
"AT1G34245",42.3281309,-0.624688705,0.146453742,-4.26543355,2e-05,0.000220702,"yes","down",0.784124753039301,0.404346447323172,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative_with_leaves"
"AT1G36390",544.180804,-0.103380388,0.039930366,-2.589016827,0.009625039,0.035529447,"yes","down",0.622841065533934,0.493952990199818,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative_with_leaves"
"AT1G49975",362.8375914,-0.211679418,0.058734652,-3.603995458,0.000313363,0.002179619,"yes","down",0.626308457370701,0.586942662144359,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative_with_leaves"
"AT1G53800",959.7148958,-0.170751008,0.052741144,-3.237529475,0.001205695,0.00668592,"yes","down",0.6457567238114,0.420053153427078,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative_with_leaves"
"AT1G56050",1083.540168,-0.228084982,0.051597741,-4.420445127,9.85e-06,0.000121501,"yes","down",0.689088346544834,0.592892100622389,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative_with_leaves"
"AT1G61340",68.62979313,1.526017129,0.311566664,4.897883199,9.69e-07,1.69e-05,"yes","up",0.706327303837186,0.559403242366295,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative_with_leaves"
"AT1G63680",1086.693248,-0.195335246,0.058784311,-3.322914615,0.000890822,0.005185023,"yes","down",0.667578087864169,0.432489235702723,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative_with_leaves"
"AT1G69200",1022.668572,-0.226536322,0.080376257,-2.818448244,0.004825639,0.020534705,"yes","down",0.776329974272274,0.494891895495183,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative_with_leaves"
