"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G05570",1218.484587,-0.234169746,0.083861749,-2.792330821,0.005232982,0.021840845,"yes","down",0.613676816863051,0.601108032514278,"tissue_specific","Leaf_Shoot","stem"
"AT1G05760",27.67421759,0.374860981,0.119498821,3.136942939,0.001707193,0.008827303,"yes","up",0.675601718521854,0.589171963308613,"tissue_specific","Leaf_Shoot","stem"
"AT1G08940",121.750626,0.353332501,0.062396906,5.662660597,1.49e-08,4.75e-07,"yes","up",0.771301097818479,0.735977646337441,"tissue_specific","Leaf_Shoot","stem"
"AT1G12500",687.9855122,-0.195407167,0.05958597,-3.279415718,0.001040223,0.005927052,"yes","down",0.612978657341214,0.373460594188058,"tissue_specific","Leaf_Shoot","stem"
"AT1G13600",26.47214833,-0.272361904,0.110861801,-2.45676962,0.014019256,0.048025288,"yes","down",0.776341598306865,0.545859842151137,"tissue_specific","Leaf_Shoot","stem"
"AT1G14340",182.6865086,0.208875099,0.043263184,4.828010289,1.38e-06,2.29e-05,"yes","up",0.676730157194987,0.396252833222117,"tissue_specific","Leaf_Shoot","stem"
"AT1G19300",179.51008,0.54850708,0.084347078,6.502976673,7.87e-11,4.71e-09,"yes","up",0.93099560539602,0.544407031080056,"tissue_specific","Leaf_Shoot","stem"
"AT1G27920",83.91031441,0.354768601,0.101646675,3.490213532,0.000482635,0.003128168,"yes","up",0.902855245207698,0.308044694176966,"tissue_specific","Leaf_Shoot","stem"
"AT1G44830",28.84085683,1.459053995,0.213874238,6.822018428,8.98e-12,6.63e-10,"yes","up",0.735213296103432,0.492338475654991,"tissue_specific","Leaf_Shoot","stem"
"AT1G47670",363.6888053,-0.252400115,0.072536287,-3.479639279,0.000502089,0.003227639,"yes","down",0.760121207333224,0.696078828531637,"tissue_specific","Leaf_Shoot","stem"
"AT1G49230",65.55505568,-0.249987977,0.099081161,-2.523062663,0.011633767,0.041385606,"yes","down",0.790690824557351,0.616415253193658,"tissue_specific","Leaf_Shoot","stem"
"AT1G52150",563.3902073,-0.149066273,0.046326234,-3.217750728,0.001292,0.007089462,"yes","down",0.828938024347422,0.44987722266115,"tissue_specific","Leaf_Shoot","stem"
"AT1G52760",834.3422646,-0.186700418,0.045473474,-4.105699436,4.03e-05,0.000398078,"yes","down",0.751141749009841,0.550625349210779,"tissue_specific","Leaf_Shoot","stem"
