"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G01010",167.1481036,0.716972361,0.118184671,6.066542774,1.31e-09,5.55e-08,"yes","up",0.767156383975048,0.79830864503942,"tissue_specific","Root","root"
"AT1G01750",115.8114713,-0.343709807,0.093338885,-3.682386035,0.000231061,0.001693132,"yes","down",0.965801002477943,0.97729069670274,"tissue_specific","Root","root"
"AT1G02220",123.6949312,0.258816446,0.100504766,2.575165896,0.010019202,0.036688441,"yes","up",0.84658970846887,0.868578872625494,"tissue_specific","Root","root"
"AT1G02360",364.2570623,0.346012042,0.098982543,3.49568752,0.000472842,0.003076541,"yes","up",0.972631473092971,0.947385962435467,"tissue_specific","Root","root"
"AT1G02520",322.1763027,1.015418215,0.144846575,7.010301876,2.38e-12,2.07e-10,"yes","up",0.854359194586946,0.875412087423198,"tissue_specific","Root","root"
"AT1G03660",20.62933383,0.906246026,0.211650438,4.281805581,1.85e-05,0.000207111,"yes","up",0.637967526135459,0.66833291880055,"tissue_specific","Root","root"
"AT1G04040",2314.677102,-0.237154442,0.075250953,-3.151514132,0.001624263,0.008493512,"yes","down",0.8408406265781,0.752612151066039,"tissue_specific","Root","root"
"AT1G04180",33.04511848,-0.601541396,0.193536282,-3.108158272,0.001882572,0.009560076,"yes","down",0.935301142275258,0.937113989881562,"tissue_specific","Root","root"
"AT1G05260",583.645159,-0.27826957,0.058860839,-4.727584191,2.27e-06,3.51e-05,"yes","down",0.915348770959768,0.926330969416183,"tissue_specific","Root","root"
"AT1G06090",187.6915113,-0.296814576,0.089032881,-3.333763573,0.000856795,0.005025433,"yes","down",0.910601631415674,0.933082785448737,"tissue_specific","Root","root"
"AT1G06840",371.8035232,0.180053479,0.053982154,3.335426005,0.000851688,0.005001705,"yes","up",0.663289064497475,0.65145290119009,"tissue_specific","Root","root"
"AT1G07610",1574.736441,-0.140296046,0.052513999,-2.671593286,0.007549209,0.02925489,"yes","down",0.788791075272877,0.77343691023164,"tissue_specific","Root","root"
