"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G05450",7.211640879,0.556103343,0.224273489,2.47957681,0.01315384,0.045626171,"yes","up",0.877159951382681,0.949940737292115,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G08810",116.9473131,-0.216721369,0.066783793,-3.245119196,0.001174015,0.006539442,"yes","down",0.845711866967114,0.877345705035388,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G09960",131.6103325,0.148277422,0.051054059,2.904321914,0.003680495,0.016469308,"yes","up",0.764104831895924,0.660181348758171,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G17830",62.48079484,0.578647578,0.089273118,6.481767284,9.07e-11,5.3e-09,"yes","up",0.8419637671604,0.87186796836238,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G19200",25.2614794,0.377156281,0.127988745,2.946792555,0.003210885,0.014768819,"yes","up",0.851027340571605,0.87173317705056,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G22430",516.5692462,-0.165083846,0.050319264,-3.280728572,0.001035393,0.005904046,"yes","down",0.711501987337557,0.535471467835616,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G26570",172.2463906,0.52493252,0.068924319,7.616071199,2.62e-14,3.41e-12,"yes","up",0.617211898580661,0.443320571416659,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G29820",320.6795996,0.178807488,0.041734087,4.284447088,1.83e-05,0.000205151,"yes","up",0.808760832621382,0.733021210838707,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G30640",180.0658059,0.322076799,0.074370864,4.330685187,1.49e-05,0.000173054,"yes","up",0.638884920031426,0.522776549877996,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G32860",209.4237578,0.784256728,0.11645693,6.734307088,1.65e-11,1.14e-09,"yes","up",0.711815213012535,0.465379332687588,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G36060",131.7357752,-0.258266578,0.086604166,-2.982149587,0.002862321,0.013451654,"yes","down",0.799661093368978,0.704597899546474,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G49450",98.85748402,-0.355360032,0.141142255,-2.517743764,0.011810921,0.041911612,"yes","down",0.676479238807976,0.60970339711953,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G53170",92.72271795,0.681322145,0.113936166,5.979858465,2.23e-09,8.97e-08,"yes","up",0.75409536653433,0.594283745975966,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G68850",106.7746114,0.288540437,0.112061686,2.574835774,0.010028769,0.036697947,"yes","up",0.933554070561619,0.882098638629888,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G72480",471.6450627,-0.135597279,0.034192299,-3.965725758,7.32e-05,0.000656107,"yes","down",0.6248536131753,0.472199774300637,"tissue_specific","Seed_Silique","seed_stage_7"
"AT1G79690",911.2464028,0.088025872,0.027562192,3.193718157,0.001404532,0.007602296,"yes","up",0.70716326371905,0.477629936802113,"tissue_specific","Seed_Silique","seed_stage_7"
"AT2G03090",586.5335066,-0.459025135,0.162411641,-2.82630686,0.004708813,0.020130731,"yes","down",0.833824212344334,0.452123538798317,"tissue_specific","Seed_Silique","seed_stage_7"
"AT2G18630",328.4101885,0.387712906,0.060764847,6.380546048,1.76e-10,9.58e-09,"yes","up",0.604031413838482,0.429256028285657,"tissue_specific","Seed_Silique","seed_stage_7"
"AT2G22270",128.0869603,-0.142997296,0.051578529,-2.772419041,0.005564136,0.022918639,"yes","down",0.651642656363811,0.540642716601435,"tissue_specific","Seed_Silique","seed_stage_7"
"AT2G25940",64.89371657,0.854630135,0.16459756,5.192240596,2.08e-07,4.56e-06,"yes","up",0.889495374719169,0.966045453654655,"tissue_specific","Seed_Silique","seed_stage_7"
"AT2G26700",51.78829781,-0.274982101,0.084403395,-3.257950707,0.001122199,0.006295477,"yes","down",0.60539938818053,0.439944901342942,"tissue_specific","Seed_Silique","seed_stage_7"
"AT2G27040",809.868967,-0.217714278,0.056761397,-3.835604668,0.000125256,0.001024516,"yes","down",0.735662924280719,0.698740512708381,"tissue_specific","Seed_Silique","seed_stage_7"
"AT2G37260",120.4272544,0.471095944,0.129159973,3.647383431,0.000264924,0.001894974,"yes","up",0.753273608444428,0.738535059560535,"tissue_specific","Seed_Silique","seed_stage_7"
"AT2G40340",57.04735217,1.428985534,0.206581628,6.917292458,4.6e-12,3.77e-10,"yes","up",0.602486350369542,0.296516709991368,"tissue_specific","Seed_Silique","seed_stage_7"
"AT2G41290",96.02172837,-0.381444901,0.0944071,-4.040426018,5.34e-05,0.000504905,"yes","down",0.885071931865735,0.895987379609125,"tissue_specific","Seed_Silique","seed_stage_7"
"AT2G45900",74.93653403,-0.341951195,0.132620428,-2.578420235,0.009925321,0.036415501,"yes","down",0.914722623187977,0.856813139098369,"tissue_specific","Seed_Silique","seed_stage_7"
"AT3G02590",5.860207561,0.672721065,0.207144623,3.247591242,0.001163863,0.006492133,"yes","up",0.773414816943718,0.663522852606198,"tissue_specific","Seed_Silique","seed_stage_7"
"AT3G08620",163.5080921,0.318073016,0.084032961,3.785098264,0.000153648,0.001212974,"yes","up",0.612819523132913,0.391781754667208,"tissue_specific","Seed_Silique","seed_stage_7"
"AT3G11620",154.5116086,-0.121509977,0.047843748,-2.539725318,0.011093956,0.039847299,"yes","down",0.6536456387915,0.375928478827843,"tissue_specific","Seed_Silique","seed_stage_7"
"AT3G12670",1145.655897,0.356122774,0.090807022,3.921753681,8.79e-05,0.00076297,"yes","up",0.841737862747904,0.790416224837388,"tissue_specific","Seed_Silique","seed_stage_7"
"AT3G21230",184.2124607,-0.158728176,0.061918952,-2.563482905,0.01036278,0.037715273,"yes","down",0.686218245333264,0.506690493202157,"tissue_specific","Seed_Silique","seed_stage_7"
"AT3G26120",5.386623596,-0.539399392,0.207220892,-2.60301646,0.009240752,0.034412676,"yes","down",0.833787871002594,0.579875411039211,"tissue_specific","Seed_Silique","seed_stage_7"
"AT3G52290",180.5080382,-0.143199345,0.055190834,-2.594621896,0.009469503,0.035081658,"yes","down",0.62315858375927,0.453696585372998,"tissue_specific","Seed_Silique","seed_stage_7"
"AT3G52920",488.6230745,-0.358653834,0.057627498,-6.223657929,4.86e-10,2.35e-08,"yes","down",0.625516527307632,0.421866637898865,"tissue_specific","Seed_Silique","seed_stage_7"
"AT3G54270",66.62834247,0.607467984,0.109709227,5.53707289,3.08e-08,8.87e-07,"yes","up",0.690702417316279,0.526619339218977,"tissue_specific","Seed_Silique","seed_stage_7"
"AT4G04460",76.52357459,-0.370096422,0.094652365,-3.910059949,9.23e-05,0.000795013,"yes","down",0.772900564114694,0.885296842070841,"tissue_specific","Seed_Silique","seed_stage_7"
"AT4G12250",172.3330219,0.232907271,0.051934812,4.484607981,7.3e-06,9.43e-05,"yes","up",0.656685772560655,0.704221481992947,"tissue_specific","Seed_Silique","seed_stage_7"
"AT4G13345",115.8447738,0.213843211,0.068264618,3.132562915,0.001732873,0.008928746,"yes","up",0.611350534434094,0.494222739547909,"tissue_specific","Seed_Silique","seed_stage_7"
"AT4G23010",366.673129,0.222191076,0.057539708,3.861525927,0.000112681,0.00093788,"yes","up",0.706808310301317,0.434007692002979,"tissue_specific","Seed_Silique","seed_stage_7"
"AT4G26200",59.6962108,1.035597284,0.152745555,6.779884921,1.2e-11,8.64e-10,"yes","up",0.895402125334067,0.894053164845937,"tissue_specific","Seed_Silique","seed_stage_7"
"AT4G26460",2.55073812,1.28119069,0.331484621,3.86500793,0.000111086,0.000928918,"yes","up",0.739842236424784,0.685424623825242,"tissue_specific","Seed_Silique","seed_stage_7"
"AT4G28390",73.51378175,0.740275656,0.111703277,6.627161497,3.42e-11,2.21e-09,"yes","up",0.712445700467443,0.594778255988079,"tissue_specific","Seed_Silique","seed_stage_7"
"AT4G34250",159.3388993,-0.334430288,0.104802099,-3.191064785,0.001417495,0.007635879,"yes","down",0.881222200366424,0.927097382313287,"tissue_specific","Seed_Silique","seed_stage_7"
"AT4G35560",206.5722067,-0.204685309,0.055910099,-3.660972065,0.00025126,0.001817415,"yes","down",0.714359327931557,0.585927987778219,"tissue_specific","Seed_Silique","seed_stage_7"
"AT4G35720",28.28058923,-0.445664083,0.160957496,-2.768830871,0.005625783,0.02309591,"yes","down",0.756235675047714,0.486810306631851,"tissue_specific","Seed_Silique","seed_stage_7"
