"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G01140",607.6129561,0.305454399,0.092768439,3.292654301,0.000992464,0.005696459,"yes","up",0.680311183633182,0.420873123204805,"tissue_specific","Seed_Silique","silique_stage_3"
"AT1G12460",249.1199313,-0.202185681,0.067981326,-2.974135605,0.002938152,0.013736822,"yes","down",0.63501858448924,0.565268920425831,"tissue_specific","Seed_Silique","silique_stage_3"
"AT1G16390",220.3742364,-0.501775163,0.117137568,-4.283639914,1.84e-05,0.000205702,"yes","down",0.816647984512472,0.426240854240623,"tissue_specific","Seed_Silique","silique_stage_3"
"AT1G17260",25.98117499,0.494891124,0.163769386,3.021878111,0.002512117,0.012053354,"yes","up",0.93596392081152,0.773156095063782,"tissue_specific","Seed_Silique","silique_stage_3"
"AT1G32540",118.8248959,-0.447712104,0.096849169,-4.622776948,3.79e-06,5.43e-05,"yes","down",0.632365448300487,0.425650549453706,"tissue_specific","Seed_Silique","silique_stage_3"
"AT1G45130",717.1412925,-0.134710169,0.048724274,-2.764744499,0.00569674,0.023330307,"yes","down",0.806974838200706,0.617104714904777,"tissue_specific","Seed_Silique","silique_stage_3"
"AT1G63420",144.8866534,-0.187451542,0.063426511,-2.955413112,0.003122506,0.014432714,"yes","down",0.659831241855604,0.382296643788822,"tissue_specific","Seed_Silique","silique_stage_3"
"AT1G73620",306.2264841,-0.589293822,0.126086718,-4.673718476,2.96e-06,4.37e-05,"yes","down",0.74388757335675,0.504765847031811,"tissue_specific","Seed_Silique","silique_stage_3"
"AT2G30010",736.9592869,-0.302675251,0.076627776,-3.94994174,7.82e-05,0.000691447,"yes","down",0.649148111307464,0.397464375415939,"tissue_specific","Seed_Silique","silique_stage_3"
"AT2G35760",95.52477759,0.28024495,0.080087392,3.499239305,0.000466588,0.003040041,"yes","up",0.67869811276826,0.275623554038713,"tissue_specific","Seed_Silique","silique_stage_3"
"AT2G45470",4000.621303,-0.223489378,0.068255417,-3.274309746,0.001059204,0.00601219,"yes","down",0.602271998533575,0.310927106407127,"tissue_specific","Seed_Silique","silique_stage_3"
"AT3G02670",15.35401067,1.592899895,0.323492938,4.924063893,8.48e-07,1.52e-05,"yes","up",0.981003008870334,0.888112988159583,"tissue_specific","Seed_Silique","silique_stage_3"
"AT3G14530",45.71494039,-0.490681315,0.126344388,-3.883681135,0.000102887,0.00087055,"yes","down",0.879827883296827,0.719168612147844,"tissue_specific","Seed_Silique","silique_stage_3"
"AT3G17600",8.655660103,-0.539122763,0.15528989,-3.471718359,0.000517139,0.003304556,"yes","down",0.890256503039941,0.898615661538109,"tissue_specific","Seed_Silique","silique_stage_3"
"AT3G55110",212.9723475,0.444951424,0.155022266,2.870242042,0.004101577,0.017998227,"yes","up",0.732065623414549,0.813454915488468,"tissue_specific","Seed_Silique","silique_stage_3"
