,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT3G45730,49.31133107,0.92346731,0.12116074,7.621836153,2.50E-14,5.09E-10,yes
AT1G22890,216.4686935,0.527205367,0.076488437,6.89261523,5.48E-12,5.58E-08,yes
AT2G30250,234.6399973,0.822222246,0.121446739,6.770229101,1.29E-11,6.55E-08,yes
AT5G28500,3251.553466,-0.237556185,0.034957271,-6.795615768,1.08E-11,6.55E-08,yes
AT3G57830,234.9047878,-0.342236806,0.053672411,-6.376400824,1.81E-10,6.15E-07,yes
AT4G02390,136.3194648,0.924404225,0.144448733,6.39953156,1.56E-10,6.15E-07,yes
AT1G53910,1122.675136,0.295082247,0.046658687,6.324272357,2.54E-10,7.40E-07,yes
AT1G75370,1408.500892,0.238055793,0.038071822,6.252807952,4.03E-10,9.41E-07,yes
AT2G29670,2161.91364,0.250131463,0.040033928,6.247987079,4.16E-10,9.41E-07,yes
AT4G27600,2085.090338,-0.190345013,0.030573412,-6.225834889,4.79E-10,9.76E-07,yes
AT2G32640,837.8932359,-0.210183974,0.034198605,-6.145980983,7.95E-10,1.47E-06,yes
AT2G16440,333.1048854,-0.302968301,0.049690613,-6.09709329,1.08E-09,1.69E-06,yes
AT3G16290,1620.120606,-0.18840411,0.030889218,-6.099348584,1.07E-09,1.69E-06,yes
AT1G64770,3947.495361,-0.187287688,0.03110373,-6.021390031,1.73E-09,2.52E-06,yes
AT1G13440,19102.49832,-0.233706086,0.039201991,-5.961587216,2.50E-09,3.02E-06,yes
AT1G77920,213.052082,0.382404311,0.064329585,5.944454801,2.77E-09,3.02E-06,yes
AT2G24060,1256.648316,-0.233256118,0.039219896,-5.947392497,2.72E-09,3.02E-06,yes
AT2G36320,485.3544185,0.267318089,0.04489071,5.954864362,2.60E-09,3.02E-06,yes
AT4G02060,402.6983425,-0.318933103,0.053673221,-5.942127199,2.81E-09,3.02E-06,yes
AT3G50830,679.2647622,0.255489649,0.043256835,5.90634166,3.50E-09,3.56E-06,yes
AT2G17290,237.8812237,0.498352861,0.084524489,5.895958278,3.73E-09,3.61E-06,yes
AT2G08950,7.453633977,2.532749981,0.430838367,5.878654677,4.14E-09,3.72E-06,yes
AT2G21280,1180.006846,-0.200514974,0.034124831,-5.875925848,4.20E-09,3.72E-06,yes
AT5G10690,993.1207109,-0.225453878,0.038463643,-5.861480111,4.59E-09,3.89E-06,yes
AT2G30360,128.7359417,1.154642779,0.197978485,5.832162921,5.47E-09,4.29E-06,yes
AT5G15950,3556.937376,-0.412431792,0.070720308,-5.831872073,5.48E-09,4.29E-06,yes
AT1G76180,4783.327198,0.336910035,0.057949304,5.813875424,6.10E-09,4.60E-06,yes
AT1G14345,1630.413367,-0.253339801,0.043689615,-5.798627392,6.69E-09,4.86E-06,yes
AT1G44900,372.7473163,-0.264861517,0.046002069,-5.757600098,8.53E-09,5.99E-06,yes
AT1G01320,12157.03644,-0.224478307,0.039304314,-5.711289347,1.12E-08,7.16E-06,yes
AT1G54130,844.3917381,0.315878558,0.055284786,5.713661592,1.11E-08,7.16E-06,yes
AT5G54130,1548.026635,-0.289601127,0.05071079,-5.710838395,1.12E-08,7.16E-06,yes
AT3G19150,176.1967123,0.395048515,0.069497376,5.684365884,1.31E-08,7.86E-06,yes
AT4G09010,5380.38212,-0.176622472,0.031084831,-5.681950581,1.33E-08,7.86E-06,yes
AT5G24690,2768.769938,-0.142419655,0.025075483,-5.679637533,1.35E-08,7.86E-06,yes
AT1G78240,915.0346701,0.307005572,0.05418884,5.665476016,1.47E-08,8.30E-06,yes
AT1G35350,365.2768391,0.365154906,0.064591773,5.653272669,1.57E-08,8.49E-06,yes
AT4G14890,972.0324042,-0.218336492,0.038629091,-5.652126106,1.58E-08,8.49E-06,yes
AT2G07690,338.4641305,-0.275047255,0.04875998,-5.640840176,1.69E-08,8.84E-06,yes
AT1G05805,343.2271258,0.414258236,0.073497999,5.636319901,1.74E-08,8.85E-06,yes
AT3G15680,402.6881002,-0.358533704,0.063697192,-5.628720753,1.82E-08,9.02E-06,yes
AT3G24320,214.7705743,-0.263656399,0.047201417,-5.585772946,2.33E-08,1.13E-05,yes
AT3G48110,1789.904956,-0.187522997,0.033785927,-5.550328669,2.85E-08,1.35E-05,yes
AT1G30640,144.5886327,0.428354221,0.077282863,5.542680533,2.98E-08,1.38E-05,yes
AT3G52720,1203.281188,-0.428732988,0.077411504,-5.53836271,3.05E-08,1.38E-05,yes
AT5G08420,1068.485825,-0.141439872,0.025556764,-5.534341908,3.12E-08,1.38E-05,yes
AT5G44290,1131.9424,0.204341181,0.036984326,5.525075158,3.29E-08,1.43E-05,yes
AT2G47590,2579.365915,-0.234346399,0.042525081,-5.510780747,3.57E-08,1.52E-05,yes
AT2G03340,472.2111453,0.243365824,0.044450225,5.475018903,4.37E-08,1.78E-05,yes
AT5G66470,1067.353925,-0.217638604,0.039738414,-5.476781369,4.33E-08,1.78E-05,yes
AT1G54500,1916.512545,-0.173551405,0.031719586,-5.471427108,4.46E-08,1.78E-05,yes
AT2G21860,1092.391537,-0.18710827,0.034253672,-5.462429548,4.70E-08,1.84E-05,yes
AT1G57990,238.3493088,0.806363209,0.14814267,5.443152921,5.23E-08,1.94E-05,yes
AT4G17560,2282.785582,-0.215912529,0.039688752,-5.440144028,5.32E-08,1.94E-05,yes
AT4G28660,2612.688263,-0.26442481,0.048583221,-5.442718756,5.25E-08,1.94E-05,yes
AT5G41970,542.1704953,-0.175468872,0.032221453,-5.445715752,5.16E-08,1.94E-05,yes
AT3G10160,1006.850594,-0.163694635,0.030143896,-5.430440511,5.62E-08,2.01E-05,yes
AT2G01290,785.5288904,-0.306788205,0.056762519,-5.404767311,6.49E-08,2.28E-05,yes
AT5G14660,913.5079746,-0.169103235,0.031357782,-5.392703904,6.94E-08,2.40E-05,yes
AT3G18820,1419.943443,0.215528493,0.039998799,5.38837407,7.11E-08,2.41E-05,yes
AT1G03475,2668.159907,-0.183224688,0.034066363,-5.378463494,7.51E-08,2.51E-05,yes
AT4G30060,297.0154983,0.33076206,0.061556794,5.373282734,7.73E-08,2.54E-05,yes
AT4G29020,957.6141944,-0.347882192,0.064857138,-5.363822782,8.15E-08,2.63E-05,yes
AT4G30720,886.1994051,-0.221934322,0.041473882,-5.351182716,8.74E-08,2.78E-05,yes
AT5G11270,750.8706975,-0.206037381,0.038548138,-5.344937264,9.04E-08,2.83E-05,yes
AT1G16080,2868.365737,-0.177400159,0.033267754,-5.332495759,9.69E-08,2.90E-05,yes
AT3G58270,68.56139028,0.595561279,0.111681787,5.332662511,9.68E-08,2.90E-05,yes
AT5G11480,951.2717172,-0.187747913,0.03517333,-5.337791895,9.41E-08,2.90E-05,yes
AT1G06670,1077.860075,-0.141319685,0.026531565,-5.326473814,1.00E-07,2.96E-05,yes
AT1G47395,108.4114267,-0.860684727,0.161800075,-5.319433427,1.04E-07,3.03E-05,yes
AT5G13100,910.0073877,-0.200879711,0.037994805,-5.287030982,1.24E-07,3.57E-05,yes
AT3G06730,524.6157561,-0.277967409,0.052749586,-5.269565742,1.37E-07,3.82E-05,yes
AT5G51110,4097.366537,-0.163487695,0.031021793,-5.270091773,1.36E-07,3.82E-05,yes
AT3G14930,3228.798645,-0.18555657,0.035271585,-5.260794756,1.43E-07,3.95E-05,yes
AT5G42420,245.5089058,0.235536296,0.04483699,5.253169251,1.50E-07,4.06E-05,yes
AT1G53440,684.0106398,0.201631999,0.038485053,5.239228875,1.61E-07,4.12E-05,yes
AT1G58080,2273.709227,-0.135218987,0.025811976,-5.23861432,1.62E-07,4.12E-05,yes
AT2G36220,190.5692238,0.356093286,0.067963737,5.239460064,1.61E-07,4.12E-05,yes
AT3G23210,349.6214923,-0.330862143,0.063093649,-5.243984921,1.57E-07,4.12E-05,yes
AT5G11450,1580.982607,-0.141083608,0.026922209,-5.240417189,1.60E-07,4.12E-05,yes
AT1G74850,1177.80095,-0.213695748,0.040845687,-5.23178249,1.68E-07,4.22E-05,yes
AT5G06290,3818.225566,-0.217748699,0.041679299,-5.224384871,1.75E-07,4.34E-05,yes
AT1G26730,123.140357,0.54159682,0.104313137,5.192028895,2.08E-07,4.87E-05,yes
AT2G37660,4062.23078,-0.229974843,0.044240727,-5.198260978,2.01E-07,4.87E-05,yes
