,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT5G60250,373.9542874,4.474914709,0.328035954,13.64153733,2.27E-42,5.34E-38,yes
AT3G27630,367.0555257,5.769355197,0.428430992,13.46624149,2.47E-41,2.91E-37,yes
AT1G20750,101.5511868,6.216639708,0.472303428,13.16238534,1.44E-39,1.14E-35,yes
AT2G46400,79.06304855,3.520302582,0.278003684,12.66279111,9.51E-37,5.60E-33,yes
AT3G58270,240.7940409,3.663486694,0.299067368,12.24970387,1.69E-34,7.95E-31,yes
AT5G49520,106.4290945,1.599241815,0.131624342,12.15004601,5.73E-34,2.25E-30,yes
AT4G22960,190.1908796,4.922112349,0.40858682,12.04667431,2.02E-33,6.80E-30,yes
AT5G07165,54.9842054,5.503561604,0.47551155,11.57398091,5.58E-31,1.65E-27,yes
AT2G18193,2689.1424,4.474380255,0.387376856,11.55045839,7.34E-31,1.92E-27,yes
AT4G25330,50.64272441,5.074992952,0.451849572,11.23159844,2.85E-29,6.72E-26,yes
AT5G26920,105.7125883,2.458120372,0.22176999,11.0840983,1.50E-28,3.21E-25,yes
AT5G03780,437.3852744,3.258901499,0.295290528,11.03625477,2.55E-28,5.02E-25,yes
AT3G01600,224.826818,3.3534391,0.30406551,11.02867307,2.78E-28,5.04E-25,yes
AT3G28210,96.79503151,2.224925267,0.202850495,10.96830088,5.43E-28,9.14E-25,yes
AT5G66130,205.7651587,2.399561208,0.220050821,10.9045774,1.10E-27,1.72E-24,yes
AT2G39650,162.8926114,1.932635785,0.178173341,10.84694138,2.06E-27,3.04E-24,yes
AT5G48720,1558.378272,3.683174583,0.340376608,10.82088044,2.74E-27,3.80E-24,yes
AT3G50930,226.8335297,2.205940752,0.204740991,10.77429948,4.55E-27,5.96E-24,yes
AT5G64060,172.8226065,2.958167003,0.275468939,10.73865902,6.70E-27,8.31E-24,yes
AT3G17690,45.50910582,2.585623555,0.241449295,10.70876416,9.26E-27,1.09E-23,yes
AT5G24280,863.5682514,3.527001763,0.331837588,10.62869875,2.19E-26,2.46E-23,yes
AT3G48770,85.52012617,3.995205994,0.378710812,10.5494902,5.11E-26,5.47E-23,yes
AT3G10930,69.31376521,3.176112209,0.301224054,10.5440192,5.41E-26,5.55E-23,yes
AT1G07500,46.34811043,5.089512658,0.484596365,10.50258118,8.40E-26,8.26E-23,yes
AT4G14365,123.9652204,2.642068854,0.254704083,10.37309187,3.29E-25,3.10E-22,yes
AT3G28580,56.9903222,2.870701928,0.277664428,10.33874575,4.71E-25,4.27E-22,yes
AT1G20350,33.2813228,3.418648669,0.335111449,10.20152751,1.95E-24,1.70E-21,yes
AT5G39670,54.26772319,2.929281442,0.289428385,10.12091971,4.46E-24,3.76E-21,yes
AT5G52750,65.13794159,2.600773113,0.257117528,10.11511403,4.73E-24,3.85E-21,yes
AT2G47680,463.3711425,2.186391831,0.216762313,10.08658655,6.33E-24,4.98E-21,yes
AT5G14490,33.16131483,4.528494651,0.449621803,10.07178617,7.36E-24,5.60E-21,yes
AT3G13080,1949.882899,1.638207294,0.164334757,9.968720715,2.09E-23,1.54E-20,yes
AT4G02390,979.685662,3.271823155,0.329403846,9.932559066,3.00E-23,2.15E-20,yes
AT2G38250,38.20035888,2.058055707,0.207371654,9.924479375,3.26E-23,2.26E-20,yes
AT4G05380,34.38171889,3.856129835,0.388967451,9.913759694,3.63E-23,2.44E-20,yes
AT4G21070,1097.856352,3.077317424,0.310680744,9.905079347,3.96E-23,2.59E-20,yes
AT1G35230,33.0711732,2.24472354,0.227435446,9.86971724,5.63E-23,3.49E-20,yes
AT3G22910,55.15346293,2.857108673,0.289554594,9.867253815,5.77E-23,3.49E-20,yes
AT5G15380,26.34379859,3.983220281,0.403612321,9.868926373,5.68E-23,3.49E-20,yes
AT5G14930,278.1218986,1.684956069,0.172060613,9.792805196,1.21E-22,7.12E-20,yes
AT3G25250,326.4378216,2.064102088,0.211921583,9.739933304,2.04E-22,1.17E-19,yes
AT4G23140,99.75364635,4.128666384,0.424406948,9.728083878,2.29E-22,1.28E-19,yes
