,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT5G48720,2229.579455,-5.23234749,0.390376727,-13.40332844,5.78E-41,1.36E-36,yes
AT3G27630,588.1242171,-6.581923895,0.568924848,-11.56905682,5.91E-31,6.97E-27,yes
AT5G03780,604.0675517,-4.262036366,0.36966028,-11.52960324,9.36E-31,7.35E-27,yes
AT2G30360,888.9110571,-4.299543709,0.401593035,-10.70622081,9.52E-27,4.49E-23,yes
AT2G45460,759.1877914,-3.361835096,0.313838433,-10.71199298,8.94E-27,4.49E-23,yes
AT5G20850,531.0901662,-4.38396145,0.419050624,-10.46165116,1.30E-25,5.09E-22,yes
AT3G07800,2526.692625,-4.596781287,0.44176256,-10.40554747,2.34E-25,7.88E-22,yes
AT4G02390,1231.02538,-4.435046399,0.427960443,-10.36321574,3.64E-25,1.07E-21,yes
AT4G21070,1483.494794,-4.453551861,0.431375104,-10.32408179,5.48E-25,1.44E-21,yes
AT5G51580,107.1723317,-4.98527485,0.495606112,-10.05894545,8.39E-24,1.98E-20,yes
AT3G27060,8575.380682,-3.954087545,0.398361363,-9.925881163,3.21E-23,6.88E-20,yes
AT3G52115,311.6909818,-3.548406043,0.362270336,-9.794911944,1.18E-22,2.33E-19,yes
AT2G18193,3794.629886,-5.558686292,0.570421553,-9.744874237,1.94E-22,3.52E-19,yes
AT4G19130,274.9108726,-3.148110174,0.326519005,-9.641430139,5.34E-22,9.00E-19,yes
AT4G34510,132.754814,-4.143568351,0.432288796,-9.585185623,9.23E-22,1.45E-18,yes
AT5G07610,583.3218043,-4.097937428,0.434547464,-9.430356329,4.09E-21,6.02E-18,yes
AT5G48020,1570.38869,-2.713375856,0.288251543,-9.413222304,4.81E-21,6.67E-18,yes
AT5G40840,556.9911044,-3.721688078,0.402895855,-9.237345155,2.53E-20,3.31E-17,yes
AT5G60250,448.7845998,-4.482959522,0.490375939,-9.141883118,6.14E-20,7.61E-17,yes
AT3G25250,336.6997146,-3.182312155,0.354127023,-8.986357857,2.56E-19,3.01E-16,yes
AT5G66130,279.4635672,-2.925337328,0.330588301,-8.848883411,8.84E-19,9.92E-16,yes
AT3G42860,151.3890574,-2.458958628,0.280177749,-8.776423674,1.69E-18,1.81E-15,yes
AT5G55490,179.6460935,-4.748287224,0.542298797,-8.75585056,2.03E-18,2.08E-15,yes
AT5G11460,351.2328157,-2.978514134,0.342063932,-8.707477909,3.11E-18,3.05E-15,yes
AT1G07500,58.55552167,-7.423327792,0.869899643,-8.533545052,1.42E-17,1.34E-14,yes
AT1G31280,773.8125849,-2.575343389,0.305282784,-8.435927356,3.29E-17,2.98E-14,yes
AT5G67460,398.9099974,-3.327522791,0.396689517,-8.388229701,4.94E-17,4.31E-14,yes
AT3G19150,263.7858025,-2.502837722,0.300458416,-8.330063614,8.08E-17,6.80E-14,yes
AT2G18600,87.07587247,-3.09998646,0.374303927,-8.282003568,1.21E-16,9.85E-14,yes
