"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G60960",761.646257560657,1.18669814135064,0.117779473611768,10.075593861646,7.0831593402597e-24,1.34565861146254e-19
"AT1G10970",243.113391660494,1.28605671708459,0.132548419357985,9.70254283916595,2.94076486918843e-22,2.79343254924209e-18
"AT1G05300",198.818221004126,1.42368167922414,0.159840877679817,8.90686850503894,5.24942596636693e-19,3.32428648363463e-15
"AT5G27920",105.837989307878,1.0450733665003,0.118301459353816,8.83398541496178,1.01010827559929e-18,4.79750925495884e-15
"AT5G50400",823.039653527076,0.702848867185482,0.0800423061571947,8.78096722757038,1.62074772780632e-18,6.1581930665729e-15
"AT2G28190",4903.31005169833,-0.50764402363082,0.0623433457807673,-8.14271382572197,3.86515073159904e-16,1.22383555998198e-12
"AT1G20380",207.996484657345,0.928431497910521,0.120921726913814,7.67795433960557,1.61649084039623e-14,4.38715614083538e-11
"AT1G12520",1058.70982653895,-0.399392648357932,0.053017924788704,-7.53316260396194,4.95258741231936e-14,1.17611569574054e-10
"AT1G53910",1122.67513594975,0.33990075239917,0.0466122642169504,7.29208842585179,3.05186738247117e-13,6.44215294802081e-10
"AT1G77920",213.05208204041,0.445702753324458,0.064080153684427,6.95539457535312,3.51576614422138e-12,6.67925252079177e-09
"AT3G55240",255.282444805627,0.604356643592609,0.087649201219698,6.89517571389786,5.37982635002917e-12,9.29144918162311e-09
"AT1G71030",696.46054410204,0.59334795158574,0.0865818352850675,6.85303042644181,7.23017000123962e-12,1.14465641402959e-08
"AT2G29670",2161.91363985335,0.269816829332056,0.0400219142031608,6.74172724378953,1.56514699767343e-11,2.28728174321537e-08
"AT1G06670",1077.86007472298,-0.178995637959814,0.0266199514741004,-6.72411586226843,1.76661822284058e-11,2.39730092839467e-08
"AT1G35350",365.276839101226,0.427862586564002,0.0644458457794897,6.63910266657052,3.15598525372212e-11,3.99716052334753e-08
"AT1G58180",268.196815685423,0.553364976543344,0.0846803604708702,6.53474989320221,6.37159266124382e-11,7.56546983614438e-08
"AT1G09660",489.114328417213,-0.304394944704601,0.0471679398415657,-6.45342886984349,1.09347337952122e-10,1.21200888564966e-07
"AT4G33020",12.6931418827475,3.31890494031773,0.514877505301582,6.44600881985266,1.14833982217569e-10,1.21200888564966e-07
"AT1G32700",301.983699374657,0.4129836238544,0.0647450342330778,6.37861464969941,1.78697043061601e-10,1.78678232846542e-07
