ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0015979,photosynthesis,103/2429,228/16827,0.451754386,3.129547572,13.2974058,2.71E-29,5.40E-26,4.66E-26,AT5G65810/AT1G76450/AT2G20890/AT4G02530/AT3G54050/AT1G45474/AT4G15510/AT1G11750/AT3G55330/AT4G30950/AT3G55800/AT1G73060/AT4G03280/AT4G21280/AT1G54500/AT1G12900/AT1G64150/AT1G01790/AT4G35250/AT2G34860/AT5G61410/AT4G33520/AT3G21200/AT5G52100/AT1G05385/AT1G03600/AT1G60950/AT5G08410/AT5G64040/AT3G04790/AT4G01050/AT5G66570/AT3G50820/AT5G02120/AT3G26650/AT1G06680/AT2G40100/AT1G55480/AT2G39470/AT1G42970/AT5G39830/AT4G09650/AT2G47940/AT3G55250/AT5G27390/AT4G05180/AT1G22700/AT5G01530/AT5G52520/AT4G27600/AT4G30720/AT1G55370/AT3G12780/AT2G21170/AT1G15980/AT1G79040/AT1G20950/AT3G15850/AT3G08010/AT1G64770/AT3G01500/AT1G19150/AT3G60370/AT3G61470/AT3G56650/AT2G46820/AT3G16250/AT1G08380/AT1G14150/AT1G15820/AT1G77090/AT4G04640/AT1G20020/AT4G10340/AT1G61520/AT5G01920/AT1G29930/AT2G30570/AT1G18730/AT1G32060/AT3G54890/AT3G62410/AT2G45770/AT1G67740/AT5G54180/AT1G43670/AT4G33470/AT5G15802/AT3G60750/AT5G35220/AT5G66190/AT1G16720/AT2G28605/AT3G58830/AT1G54780/AT3G17170/AT1G55670/AT3G05410/AT1G70760/AT3G03630/AT2G05620/AT2G01590/AT2G34430,103
GO:0002181,cytoplasmic translation,49/2429,76/16827,0.644736842,4.466441681,12.44008764,2.14E-23,2.13E-20,1.84E-20,AT3G49910/AT3G55750/AT2G18020/AT3G05560/AT3G53020/AT4G00810/AT4G36130/AT2G36620/AT5G27770/AT1G67430/AT1G41880/AT1G72370/AT4G17390/AT1G18540/AT4G16720/AT1G01100/AT5G47700/AT5G56710/AT2G40010/AT3G09200/AT3G06680/AT3G11250/AT3G44590/AT5G67510/AT1G74050/AT1G33140/AT2G27710/AT1G27400/AT3G06700/AT1G74060/AT5G02450/AT5G58240/AT1G72730/AT3G53740/AT1G74270/AT1G09150/AT4G10450/AT2G27720/AT1G07070/AT4G26230/AT3G43980/AT2G46280/AT1G12920/AT3G04770/AT3G13920/AT2G37600/AT3G02200/AT5G15610/AT5G11900,49
GO:0042254,ribosome biogenesis,115/2429,316/16827,0.363924051,2.521099218,11.21159783,1.02E-22,6.76E-20,5.83E-20,AT1G09340/AT3G49910/AT3G53890/AT5G18380/AT1G04270/AT3G55750/AT1G69620/AT2G47610/AT5G15200/AT3G02080/AT4G27090/AT3G09500/AT2G36160/AT5G64140/AT1G41880/AT5G39740/AT3G63140/AT3G52150/AT3G28900/AT5G61170/AT1G72370/AT1G18080/AT5G20290/AT5G16130/AT4G24770/AT2G37270/AT3G24506/AT2G39390/AT3G52580/AT5G27700/AT1G70070/AT2G01250/AT2G40010/AT5G47930/AT2G32060/AT3G09200/AT3G11250/AT3G02560/AT3G11510/AT3G62870/AT5G67510/AT3G61110/AT3G25520/AT2G44120/AT3G12930/AT1G48630/AT1G29250/AT5G18570/AT1G26880/AT2G09990/AT5G46420/AT5G09510/AT3G11940/AT5G02610/AT3G13740/AT2G33800/AT1G74270/AT5G51140/AT1G12650/AT4G25630/AT2G20450/AT2G34160/AT2G25870/AT3G46630/AT1G01860/AT2G20490/AT1G07070/AT1G70200/AT1G01080/AT4G34730/AT2G32415/AT1G60230/AT5G06360/AT3G03920/AT1G15930/AT1G12800/AT5G53770/AT5G27990/AT3G55170/AT4G21770/AT3G55510/AT5G10620/AT3G04770/AT4G12600/AT1G25260/AT2G43810/AT5G25080/AT2G37220/AT3G52380/AT5G08180/AT3G23700/AT1G60000/AT1G45230/AT5G55190/AT3G49180/AT5G14520/AT4G32720/AT5G20160/AT3G18600/AT3G28460/AT3G07170/AT1G13160/AT5G66470/AT3G17170/AT5G05210/AT2G45710/AT4G04940/AT2G17250/AT1G59760/AT3G53460/AT2G39670/AT1G52930/AT3G09720/AT5G67240/AT1G22270,115
GO:0019684,"photosynthesis, light reaction",68/2429,152/16827,0.447368421,3.099163615,10.67795971,1.71E-19,8.53E-17,7.36E-17,AT2G20890/AT4G02530/AT3G54050/AT1G45474/AT4G15510/AT4G30950/AT1G73060/AT4G03280/AT4G21280/AT1G54500/AT1G64150/AT4G35250/AT2G34860/AT4G33520/AT3G21200/AT5G52100/AT1G05385/AT1G03600/AT1G60950/AT5G64040/AT4G01050/AT5G66570/AT3G50820/AT5G02120/AT1G06680/AT2G40100/AT1G55480/AT5G39830/AT4G09650/AT2G47940/AT3G55250/AT4G05180/AT1G22700/AT5G01530/AT1G55370/AT1G15980/AT1G79040/AT3G15850/AT3G08010/AT1G64770/AT1G19150/AT3G60370/AT3G61470/AT2G46820/AT3G16250/AT1G08380/AT1G14150/AT1G15820/AT4G04640/AT4G10340/AT1G61520/AT5G01920/AT1G29930/AT2G30570/AT1G18730/AT3G54890/AT2G45770/AT1G67740/AT4G33470/AT5G35220/AT5G66190/AT1G16720/AT1G54780/AT1G55670/AT1G70760/AT2G05620/AT2G01590/AT2G34430,68
GO:0022613,ribonucleoprotein complex biogenesis,124/2429,388/16827,0.319587629,2.213956785,9.936524483,6.38E-19,2.54E-16,2.19E-16,AT1G09340/AT3G49910/AT3G53890/AT5G18380/AT1G04270/AT3G55750/AT1G69620/AT2G47610/AT5G15200/AT3G02080/AT4G27090/AT2G43460/AT3G09500/AT2G36160/AT5G64140/AT1G41880/AT5G39740/AT3G63140/AT3G52150/AT3G28900/AT5G61170/AT1G72370/AT1G18080/AT5G20290/AT5G16130/AT4G24770/AT2G37270/AT3G24506/AT2G39390/AT3G52580/AT5G27700/AT1G70070/AT2G01250/AT2G40010/AT5G47930/AT2G32060/AT3G09200/AT3G11250/AT3G02560/AT3G11510/AT3G62870/AT5G67510/AT3G61110/AT3G25520/AT2G44120/AT3G12930/AT1G48630/AT1G54385/AT1G29250/AT5G18570/AT1G26880/AT2G09990/AT5G46420/AT5G09510/AT3G11940/AT5G02610/AT3G13740/AT2G33800/AT4G30330/AT1G74270/AT1G09150/AT5G51140/AT1G12650/AT4G25630/AT2G20450/AT2G34160/AT2G25870/AT4G30220/AT3G46630/AT1G01860/AT2G20490/AT1G07070/AT1G70200/AT1G01080/AT4G34730/AT2G32415/AT1G60230/AT5G06360/AT3G03920/AT1G15930/AT1G12800/AT5G53770/AT5G27990/AT3G55170/AT4G21770/AT3G55510/AT4G02840/AT5G10620/AT2G23930/AT3G04770/AT4G12600/AT1G25260/AT2G43810/AT5G25080/AT2G37220/AT3G52380/AT5G08180/AT3G23700/AT1G60000/AT2G47640/AT1G45230/AT5G55190/AT3G49180/AT5G14520/AT4G32720/AT5G20160/AT3G18600/AT3G28460/AT3G07170/AT1G13160/AT5G66470/AT3G17170/AT5G05210/AT2G45710/AT4G04940/AT2G17250/AT1G59760/AT3G53460/AT2G39670/AT5G11900/AT1G52930/AT3G09720/AT5G67240/AT1G22270,124
GO:0007017,microtubule-based process,85/2429,234/16827,0.363247863,2.516414901,9.594373709,4.56E-17,1.52E-14,1.31E-14,AT1G75640/AT5G48520/AT3G05330/AT2G47500/AT5G54670/AT1G70340/AT2G28620/AT5G15600/AT2G25880/AT1G11160/AT1G18550/AT2G29550/AT1G23790/AT3G10310/AT5G19780/AT5G19770/AT1G18370/AT5G65930/AT4G15830/AT2G44190/AT4G38950/AT5G02370/AT5G18700/AT3G49260/AT5G62690/AT4G26760/AT1G03780/AT5G15510/AT5G51600/AT1G72250/AT5G27550/AT4G21820/AT3G23670/AT3G58650/AT4G14150/AT4G14330/AT4G18570/AT4G32830/AT1G20090/AT2G22610/AT5G44340/AT4G22860/AT3G44200/AT5G60930/AT1G50010/AT4G14960/AT4G09550/AT4G05190/AT3G47690/AT1G59540/AT3G19570/AT4G11990/AT2G18990/AT5G23290/AT5G66410/AT5G67270/AT3G23090/AT5G55280/AT5G06670/AT3G06030/AT1G20060/AT5G14790/AT1G73860/AT4G16340/AT5G17410/AT3G01015/AT3G51150/AT1G04820/AT3G60840/AT3G20150/AT5G17620/AT2G36200/AT5G23430/AT4G32330/AT5G27950/AT2G37420/AT5G62240/AT5G62700/AT3G43610/AT1G69230/AT1G80350/AT3G17360/AT5G01280/AT3G19050/AT2G24070,85
GO:0009657,plastid organization,91/2429,289/16827,0.314878893,2.181336817,8.320209883,8.47E-14,2.41E-11,2.08E-11,AT3G54710/AT1G09340/AT3G53890/AT2G20890/AT1G49510/AT2G31270/AT2G38140/AT3G63140/AT3G51720/AT1G11870/AT3G24506/AT1G74730/AT1G11750/AT2G07050/AT5G21920/AT1G35680/AT1G32080/AT2G21280/AT3G56910/AT4G20360/AT1G01790/AT1G68590/AT2G34860/AT5G18570/AT1G50900/AT1G06950/AT5G46290/AT4G23940/AT2G33800/AT5G53860/AT4G35080/AT4G37650/AT3G29185/AT3G63190/AT5G67385/AT5G58784/AT2G28000/AT2G47940/AT2G25870/AT3G46630/AT2G01110/AT5G19620/AT1G44000/AT1G62750/AT5G54600/AT5G22640/AT5G08050/AT1G70200/AT1G08540/AT4G16390/AT2G28800/AT5G24314/AT3G46740/AT1G44575/AT3G12780/AT2G21170/AT5G14100/AT1G63680/AT4G20130/AT5G64050/AT3G08010/AT2G03050/AT3G19570/AT5G23040/AT3G07430/AT1G28530/AT1G10910/AT2G46820/AT5G55280/AT3G47450/AT5G24020/AT2G23400/AT4G34090/AT5G22830/AT5G42880/AT1G21600/AT3G47390/AT2G30170/AT2G45770/AT1G45230/AT1G69200/AT3G45780/AT4G38160/AT5G35220/AT3G54090/AT1G30610/AT3G58830/AT5G36170/AT5G13770/AT5G40270/AT3G04340,91
GO:0000278,mitotic cell cycle,80/2429,254/16827,0.31496063,2.181903055,7.795630809,2.65E-12,6.60E-10,5.70E-10,AT3G54710/AT2G31270/AT2G29680/AT3G05330/AT3G14190/AT2G01210/AT2G28620/AT2G25880/AT1G16330/AT3G25100/AT2G29550/AT5G67260/AT5G19780/AT4G15290/AT5G06150/AT5G43070/AT2G33560/AT4G14700/AT1G48270/AT5G18700/AT1G02730/AT5G05510/AT1G44110/AT5G62690/AT3G19590/AT2G32610/AT1G63100/AT2G26760/AT1G50490/AT4G35620/AT4G37650/AT1G03780/AT5G15510/AT1G22920/AT3G11520/AT1G47210/AT4G21820/AT3G23670/AT3G58650/AT4G14150/AT4G32830/AT5G44340/AT4G22860/AT2G17620/AT5G60930/AT1G50010/AT4G14960/AT2G20000/AT4G09550/AT4G11990/AT2G16440/AT1G76310/AT1G03180/AT1G14750/AT3G57060/AT5G54260/AT5G17410/AT1G20610/AT3G01015/AT1G09450/AT1G15570/AT3G25980/AT3G59550/AT2G36200/AT2G32590/AT2G20635/AT1G20930/AT2G37420/AT5G62240/AT3G43610/AT2G39090/AT5G37630/AT5G12360/AT3G50070/AT3G17360/AT3G19050/AT1G69400/AT1G07270/AT2G38620/AT1G47200,80
GO:0006364,rRNA processing,74/2429,228/16827,0.324561404,2.248412819,7.795389064,3.42E-12,7.56E-10,6.53E-10,AT1G09340/AT3G53890/AT5G18380/AT2G47610/AT3G09500/AT5G64140/AT3G63140/AT3G52150/AT5G20290/AT5G16130/AT4G24770/AT3G24506/AT2G39390/AT5G27700/AT1G70070/AT2G01250/AT3G02560/AT3G62870/AT2G44120/AT1G29250/AT5G18570/AT2G09990/AT5G46420/AT5G02610/AT3G13740/AT2G33800/AT5G51140/AT1G12650/AT4G25630/AT2G34160/AT2G25870/AT3G46630/AT1G01860/AT2G20490/AT1G70200/AT1G01080/AT2G32415/AT1G60230/AT5G06360/AT3G03920/AT1G12800/AT5G53770/AT5G27990/AT3G55170/AT4G21770/AT5G10620/AT4G12600/AT1G25260/AT2G43810/AT5G25080/AT2G37220/AT3G52380/AT5G08180/AT3G23700/AT1G60000/AT1G45230/AT3G49180/AT5G14520/AT4G32720/AT5G20160/AT3G18600/AT3G28460/AT3G07170/AT5G66470/AT3G17170/AT4G04940/AT2G17250/AT1G59760/AT3G53460/AT2G39670/AT1G52930/AT3G09720/AT5G67240/AT1G22270,74
GO:0000226,microtubule cytoskeleton organization,64/2429,187/16827,0.342245989,2.370923533,7.743021924,7.33E-12,1.46E-09,1.26E-09,AT1G75640/AT5G48520/AT3G05330/AT5G54670/AT1G70340/AT2G28620/AT5G15600/AT2G25880/AT1G11160/AT2G29550/AT1G23790/AT5G19780/AT5G65930/AT4G15830/AT2G44190/AT5G18700/AT3G49260/AT5G62690/AT4G26760/AT1G03780/AT5G15510/AT5G51600/AT5G27550/AT4G21820/AT3G23670/AT3G58650/AT4G14150/AT4G18570/AT4G32830/AT1G20090/AT5G44340/AT4G22860/AT3G44200/AT5G60930/AT1G50010/AT4G14960/AT4G09550/AT4G05190/AT3G47690/AT3G19570/AT4G11990/AT2G18990/AT5G23290/AT5G66410/AT5G67270/AT3G23090/AT3G06030/AT5G14790/AT4G16340/AT5G17410/AT3G01015/AT3G60840/AT5G17620/AT2G36200/AT5G23430/AT4G32330/AT2G37420/AT5G62240/AT3G43610/AT1G69230/AT1G80350/AT5G01280/AT3G19050/AT2G24070,64
