"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022402","cell cycle process","42/302","488/16827",0.0860655737704918,4.79544837694062,11.5022669617856,2.41212692446642e-17,2.2770478166963e-14,1.90177164886879e-14,"AT2G26180/AT3G61650/AT2G13680/AT5G11300/AT1G69770/AT1G77720/AT1G15660/AT3G48210/AT1G01370/AT2G01210/AT1G01690/AT2G02820/AT2G30820/AT1G80370/AT2G32590/AT5G07280/AT3G54630/AT5G05510/AT1G15570/AT3G44960/AT1G25580/AT4G24710/AT1G50710/AT2G36200/AT5G42080/AT3G22880/AT4G03270/AT5G37630/AT2G45490/AT5G48600/AT4G15890/AT1G17480/AT3G57060/AT4G26760/AT1G04030/AT1G06660/AT4G14150/AT1G76540/AT1G20610/AT3G59420/AT5G25380/AT1G50240",42
"GO:0000280","nuclear division","23/302","177/16827",0.129943502824859,7.24026265574139,11.282505754169,1.10245912562943e-13,3.4774724030003e-11,2.90435641151563e-11,"AT3G61650/AT1G77720/AT1G15660/AT1G01370/AT1G01690/AT2G30820/AT2G32590/AT3G54630/AT5G05510/AT3G44960/AT1G25580/AT4G24710/AT2G36200/AT5G42080/AT3G22880/AT5G37630/AT5G48600/AT4G15890/AT3G57060/AT1G04030/AT1G06660/AT4G14150/AT1G50240",23
"GO:0000278","mitotic cell cycle","27/302","254/16827",0.106299212598425,5.92283725295927,10.6869788825948,1.10512894163145e-13,3.4774724030003e-11,2.90435641151563e-11,"AT3G61650/AT5G11300/AT1G69770/AT1G77720/AT1G15660/AT2G29550/AT2G01210/AT1G80370/AT2G32590/AT3G54630/AT5G05510/AT1G15570/AT1G50010/AT5G62690/AT2G36200/AT5G42080/AT4G03270/AT5G37630/AT2G45490/AT5G48600/AT4G15890/AT3G57060/AT4G37650/AT4G14150/AT1G76540/AT1G20610/AT5G25380",27
"GO:1903047","mitotic cell cycle process","23/302","196/16827",0.11734693877551,6.53840045952156,10.5432957291827,9.85090389603778e-13,2.32481331946492e-10,1.94166500477166e-10,"AT3G61650/AT5G11300/AT1G69770/AT1G77720/AT1G15660/AT2G01210/AT1G80370/AT2G32590/AT3G54630/AT5G05510/AT1G15570/AT2G36200/AT5G42080/AT4G03270/AT5G37630/AT2G45490/AT5G48600/AT4G15890/AT3G57060/AT4G14150/AT1G76540/AT1G20610/AT5G25380",23
"GO:0048285","organelle fission","23/302","215/16827",0.106976744186047,5.96058832588942,9.89611276333133,6.88970288068375e-12,1.30077590387309e-09,1.0863973595015e-09,"AT3G61650/AT1G77720/AT1G15660/AT1G01370/AT1G01690/AT2G30820/AT2G32590/AT3G54630/AT5G05510/AT3G44960/AT1G25580/AT4G24710/AT2G36200/AT5G42080/AT3G22880/AT5G37630/AT5G48600/AT4G15890/AT3G57060/AT1G04030/AT1G06660/AT4G14150/AT1G50240",23
"GO:0098813","nuclear chromosome segregation","16/302","107/16827",0.149532710280374,8.33174475459553,10.2849993627412,7.77608716263215e-11,1.22343771358746e-08,1.02180513768622e-08,"AT3G61650/AT1G77720/AT1G15660/AT1G01370/AT1G01690/AT2G32590/AT3G54630/AT5G05510/AT3G44960/AT4G24710/AT2G36200/AT3G22880/AT5G37630/AT5G48600/AT4G15890/AT3G57060",16
"GO:1903046","meiotic cell cycle process","19/302","164/16827",0.115853658536585,6.45519706024875,9.49027833855273,1.22755402473083e-10,1.63742830499095e-08,1.367566682023e-08,"AT3G61650/AT2G13680/AT1G77720/AT1G15660/AT1G01370/AT1G01690/AT2G02820/AT2G30820/AT5G07280/AT3G44960/AT1G25580/AT4G24710/AT3G22880/AT4G15890/AT3G57060/AT1G04030/AT1G06660/AT4G14150/AT1G50240",19
"GO:0010374","stomatal complex development","14/302","80/16827",0.175,9.75074503311258,10.6058307722668,1.38765110592454e-10,1.63742830499095e-08,1.367566682023e-08,"AT3G61650/AT5G11300/AT4G31805/AT5G60880/AT3G22760/AT2G02820/AT1G34245/AT1G80370/AT1G15570/AT1G75640/AT5G62230/AT3G26744/AT3G14000/AT5G53210",14
"GO:0007059","chromosome segregation","18/302","151/16827",0.119205298013245,6.64194552870488,9.41444231999626,2.37782595216778e-10,2.49407522094043e-08,2.08303115575868e-08,"AT3G61650/AT1G77720/AT1G15660/AT3G48210/AT1G01370/AT1G01690/AT2G32590/AT3G54630/AT5G05510/AT3G44960/AT4G24710/AT1G50710/AT2G36200/AT3G22880/AT5G37630/AT5G48600/AT4G15890/AT3G57060",18
"GO:0019953","sexual reproduction","23/302","263/16827",0.0874524714828897,4.87272429682975,8.55726582524189,4.11730138388285e-10,3.88673250638541e-08,3.24616709108237e-08,"AT3G61650/AT2G13680/AT1G77720/AT1G15660/AT1G01370/AT1G01690/AT2G02820/AT2G30820/AT5G07280/AT3G44960/AT1G25580/AT4G24710/AT3G22880/AT5G07560/AT4G37750/AT4G15890/AT3G57060/AT1G04030/AT1G06660/AT4G14150/AT4G11720/AT3G04620/AT1G50240",23
"GO:0051321","meiotic cell cycle","19/302","179/16827",0.106145251396648,5.91425875911058,8.93566095443164,5.58377451016681e-10,4.79189376145224e-08,4.00215034269372e-08,"AT3G61650/AT2G13680/AT1G77720/AT1G15660/AT1G01370/AT1G01690/AT2G02820/AT2G30820/AT5G07280/AT3G44960/AT1G25580/AT4G24710/AT3G22880/AT4G15890/AT3G57060/AT1G04030/AT1G06660/AT4G14150/AT1G50240",19
"GO:0000819","sister chromatid segregation","12/302","61/16827",0.19672131147541,10.9610248615785,10.53603950461,7.13659492645423e-10,5.61412134214399e-08,4.68886807010019e-08,"AT3G61650/AT1G77720/AT1G15660/AT2G32590/AT3G54630/AT5G05510/AT3G44960/AT2G36200/AT5G37630/AT5G48600/AT4G15890/AT3G57060",12
"GO:0090698","post-embryonic plant morphogenesis","20/302","206/16827",0.0970873786407767,5.40956728605414,8.60843469251779,9.54520301030627e-10,6.66280606562372e-08,5.5647209446389e-08,"AT1G73590/AT5G18560/AT3G61650/AT5G10510/AT5G28490/AT2G21050/AT4G31805/AT2G02820/AT1G34245/AT5G07280/AT4G12550/AT3G02000/AT1G15570/AT1G75640/AT5G62230/AT4G24670/AT5G57390/AT3G26744/AT5G53210/AT3G59420",20
"GO:0000070","mitotic sister chromatid segregation","11/302","50/16827",0.22,12.2580794701987,10.7774331968157,1.04044029355184e-09,6.66280606562372e-08,5.5647209446389e-08,"AT3G61650/AT1G77720/AT1G15660/AT2G32590/AT3G54630/AT5G05510/AT2G36200/AT5G37630/AT5G48600/AT4G15890/AT3G57060",11
"GO:0140014","mitotic nuclear division","12/302","63/16827",0.19047619047619,10.6130558183538,10.3339437295267,1.05870859093597e-09,6.66280606562372e-08,5.5647209446389e-08,"AT3G61650/AT1G77720/AT1G15660/AT2G32590/AT3G54630/AT5G05510/AT2G36200/AT5G42080/AT5G37630/AT5G48600/AT4G15890/AT3G57060",12
"GO:0007017","microtubule-based process","20/302","234/16827",0.0854700854700855,4.76226863644082,7.83462932810803,8.73616067685863e-09,5.15433479934659e-07,4.30485812300468e-07,"AT3G61650/AT2G29550/AT5G62700/AT3G04630/AT5G33300/AT1G20060/AT1G50010/AT1G75640/AT5G62690/AT1G50710/AT2G36200/AT5G27000/AT5G42080/AT2G45490/AT2G47500/AT4G26760/AT4G14150/AT1G69230/AT1G59540/AT1G70340",20
"GO:0007010","cytoskeleton organization","22/302","310/16827",0.0709677419354839,3.95421918393506,7.09710378519892,4.63114479221814e-08,2.57164746109054e-06,2.14781885409993e-06,"AT3G61650/AT3G48040/AT2G40820/AT5G48360/AT2G29550/AT3G04630/AT5G33300/AT1G50010/AT1G75640/AT5G62690/AT1G50710/AT2G36200/AT5G42080/AT4G05520/AT2G45490/AT4G26760/AT4G14150/AT1G69230/AT2G29890/AT1G70340/AT3G53750/AT5G48460",22
"GO:0051276","chromosome organization","18/302","212/16827",0.0849056603773585,4.73081969261527,7.39001292224279,5.45181603176514e-08,2.85917462999238e-06,2.38795918584333e-06,"AT3G61650/AT1G77720/AT1G15660/AT3G20840/AT1G01370/AT1G01690/AT2G32590/AT3G54630/AT5G05510/AT3G44960/AT4G24710/AT1G14900/AT2G36200/AT3G22880/AT5G37630/AT5G48600/AT4G15890/AT3G57060",18
