"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001666","response to hypoxia","62/1232","266/16827",0.233082706766917,3.18350869055756,10.089173050946,1.36642184047551e-16,2.04551717969689e-13,1.7210506957202e-13,"AT1G53910/AT1G76680/AT2G25735/AT1G25560/AT1G68840/AT4G19520/AT5G54940/AT4G30280/AT1G74940/AT3G20770/AT2G40000/AT1G13260/AT1G50740/AT2G41430/AT1G63090/AT5G54960/AT1G73500/AT1G19020/AT4G20860/AT3G01090/AT5G57510/AT5G19120/AT3G14230/AT2G46500/AT3G52800/AT4G32480/AT5G35735/AT1G72360/AT1G76600/AT4G24160/AT5G19230/AT1G21550/AT5G59820/AT4G01250/AT5G04340/AT5G03730/AT3G08720/AT1G32928/AT3G49780/AT3G46080/AT5G64260/AT1G26270/AT5G54490/AT1G15010/AT2G13790/AT3G46090/AT5G13190/AT3G30775/AT4G27470/AT4G17230/AT4G24110/AT4G34131/AT4G29780/AT3G25250/AT4G13395/AT1G76650/AT1G23710/AT5G27420/AT5G26920/AT4G19880/AT4G38470/AT5G20230",62
"GO:0036293","response to decreased oxygen levels","62/1232","270/16827",0.22962962962963,3.1363455988456,9.94639436628605,2.93212150923932e-16,2.04551717969689e-13,1.7210506957202e-13,"AT1G53910/AT1G76680/AT2G25735/AT1G25560/AT1G68840/AT4G19520/AT5G54940/AT4G30280/AT1G74940/AT3G20770/AT2G40000/AT1G13260/AT1G50740/AT2G41430/AT1G63090/AT5G54960/AT1G73500/AT1G19020/AT4G20860/AT3G01090/AT5G57510/AT5G19120/AT3G14230/AT2G46500/AT3G52800/AT4G32480/AT5G35735/AT1G72360/AT1G76600/AT4G24160/AT5G19230/AT1G21550/AT5G59820/AT4G01250/AT5G04340/AT5G03730/AT3G08720/AT1G32928/AT3G49780/AT3G46080/AT5G64260/AT1G26270/AT5G54490/AT1G15010/AT2G13790/AT3G46090/AT5G13190/AT3G30775/AT4G27470/AT4G17230/AT4G24110/AT4G34131/AT4G29780/AT3G25250/AT4G13395/AT1G76650/AT1G23710/AT5G27420/AT5G26920/AT4G19880/AT4G38470/AT5G20230",62
"GO:0070482","response to oxygen levels","62/1232","271/16827",0.228782287822878,3.12477236785355,9.91111357863491,3.53895705829911e-16,2.04551717969689e-13,1.7210506957202e-13,"AT1G53910/AT1G76680/AT2G25735/AT1G25560/AT1G68840/AT4G19520/AT5G54940/AT4G30280/AT1G74940/AT3G20770/AT2G40000/AT1G13260/AT1G50740/AT2G41430/AT1G63090/AT5G54960/AT1G73500/AT1G19020/AT4G20860/AT3G01090/AT5G57510/AT5G19120/AT3G14230/AT2G46500/AT3G52800/AT4G32480/AT5G35735/AT1G72360/AT1G76600/AT4G24160/AT5G19230/AT1G21550/AT5G59820/AT4G01250/AT5G04340/AT5G03730/AT3G08720/AT1G32928/AT3G49780/AT3G46080/AT5G64260/AT1G26270/AT5G54490/AT1G15010/AT2G13790/AT3G46090/AT5G13190/AT3G30775/AT4G27470/AT4G17230/AT4G24110/AT4G34131/AT4G29780/AT3G25250/AT4G13395/AT1G76650/AT1G23710/AT5G27420/AT5G26920/AT4G19880/AT4G38470/AT5G20230",62
"GO:0071456","cellular response to hypoxia","57/1232","237/16827",0.240506329113924,3.2849025974026,9.95684572376167,5.26917205386073e-16,2.2779680386953e-13,1.91662945524901e-13,"AT1G76680/AT2G25735/AT1G25560/AT1G68840/AT4G19520/AT5G54940/AT4G30280/AT1G74940/AT2G40000/AT1G13260/AT1G50740/AT2G41430/AT1G63090/AT5G54960/AT1G73500/AT1G19020/AT4G20860/AT5G57510/AT5G19120/AT2G46500/AT3G52800/AT4G32480/AT5G35735/AT1G72360/AT1G76600/AT4G24160/AT5G19230/AT1G21550/AT5G59820/AT4G01250/AT5G04340/AT3G08720/AT1G32928/AT3G49780/AT3G46080/AT5G64260/AT1G26270/AT5G54490/AT1G15010/AT2G13790/AT3G46090/AT5G13190/AT3G30775/AT4G27470/AT4G17230/AT4G24110/AT4G34131/AT4G29780/AT3G25250/AT4G13395/AT1G76650/AT1G23710/AT5G27420/AT5G26920/AT4G19880/AT4G38470/AT5G20230",57
"GO:0036294","cellular response to decreased oxygen levels","57/1232","239/16827",0.238493723849372,3.25741387273814,9.87907388306134,7.88224234842665e-16,2.2779680386953e-13,1.91662945524901e-13,"AT1G76680/AT2G25735/AT1G25560/AT1G68840/AT4G19520/AT5G54940/AT4G30280/AT1G74940/AT2G40000/AT1G13260/AT1G50740/AT2G41430/AT1G63090/AT5G54960/AT1G73500/AT1G19020/AT4G20860/AT5G57510/AT5G19120/AT2G46500/AT3G52800/AT4G32480/AT5G35735/AT1G72360/AT1G76600/AT4G24160/AT5G19230/AT1G21550/AT5G59820/AT4G01250/AT5G04340/AT3G08720/AT1G32928/AT3G49780/AT3G46080/AT5G64260/AT1G26270/AT5G54490/AT1G15010/AT2G13790/AT3G46090/AT5G13190/AT3G30775/AT4G27470/AT4G17230/AT4G24110/AT4G34131/AT4G29780/AT3G25250/AT4G13395/AT1G76650/AT1G23710/AT5G27420/AT5G26920/AT4G19880/AT4G38470/AT5G20230",57
"GO:0071453","cellular response to oxygen levels","57/1232","239/16827",0.238493723849372,3.25741387273814,9.87907388306134,7.88224234842665e-16,2.2779680386953e-13,1.91662945524901e-13,"AT1G76680/AT2G25735/AT1G25560/AT1G68840/AT4G19520/AT5G54940/AT4G30280/AT1G74940/AT2G40000/AT1G13260/AT1G50740/AT2G41430/AT1G63090/AT5G54960/AT1G73500/AT1G19020/AT4G20860/AT5G57510/AT5G19120/AT2G46500/AT3G52800/AT4G32480/AT5G35735/AT1G72360/AT1G76600/AT4G24160/AT5G19230/AT1G21550/AT5G59820/AT4G01250/AT5G04340/AT3G08720/AT1G32928/AT3G49780/AT3G46080/AT5G64260/AT1G26270/AT5G54490/AT1G15010/AT2G13790/AT3G46090/AT5G13190/AT3G30775/AT4G27470/AT4G17230/AT4G24110/AT4G34131/AT4G29780/AT3G25250/AT4G13395/AT1G76650/AT1G23710/AT5G27420/AT5G26920/AT4G19880/AT4G38470/AT5G20230",57
"GO:0006468","protein phosphorylation","80/1232","437/16827",0.183066361556064,2.50037148206485,8.93209120903707,1.39889040577847e-14,3.46525137659982e-12,2.91558210888566e-12,"AT4G14340/AT2G01450/AT5G44290/AT4G32300/AT2G31800/AT1G61380/AT1G30640/AT1G09970/AT1G51850/AT1G51800/AT1G53440/AT1G51805/AT1G70530/AT1G51820/AT1G07650/AT4G28860/AT2G30360/AT1G51790/AT2G17290/AT5G18525/AT2G17520/AT1G59580/AT1G66920/AT5G24430/AT5G10290/AT1G34300/AT4G28350/AT5G11850/AT3G58640/AT1G73500/AT1G14370/AT5G26751/AT4G18950/AT1G56140/AT1G53570/AT2G19190/AT3G21630/AT1G70520/AT1G63500/AT2G30740/AT4G00960/AT2G46500/AT4G29810/AT3G07980/AT1G66930/AT4G08920/AT4G08850/AT5G20480/AT5G45840/AT1G35670/AT1G78940/AT5G57565/AT5G03730/AT3G08720/AT4G11570/AT5G25440/AT1G18160/AT3G58760/AT5G49760/AT3G59350/AT5G04870/AT1G75820/AT5G41990/AT3G51550/AT3G20410/AT2G35050/AT2G13790/AT2G31010/AT5G01950/AT2G39660/AT2G33170/AT1G48490/AT3G25250/AT3G22420/AT1G67890/AT5G57035/AT5G18190/AT3G04910/AT4G24400/AT4G38470",80
"GO:0014070","response to organic cyclic compound","66/1232","341/16827",0.193548387096774,2.6435379136992,8.6179183562612,2.11438468478324e-13,4.58292880426767e-11,3.85596996461785e-11,"AT1G04400/AT1G76680/AT1G22070/AT1G60490/AT1G18740/AT1G59870/AT2G40000/AT4G24290/AT1G13260/AT2G44080/AT3G50480/AT1G02860/AT4G23270/AT2G03760/AT2G22300/AT5G08790/AT2G17520/AT4G33430/AT3G51450/AT4G30270/AT4G05320/AT4G32940/AT5G04760/AT1G22890/AT3G61460/AT5G45110/AT5G08520/AT3G44860/AT3G50750/AT4G39030/AT1G63500/AT5G36925/AT5G27830/AT3G02570/AT3G11340/AT4G08920/AT1G22500/AT4G36110/AT4G37610/AT1G28480/AT5G51060/AT3G48360/AT3G54030/AT5G56140/AT1G05560/AT1G80840/AT3G52400/AT5G05190/AT1G65486/AT3G51550/AT1G13960/AT1G14780/AT2G13790/AT3G59060/AT4G00710/AT5G08130/AT5G65430/AT3G11820/AT5G41260/AT1G76650/AT3G21650/AT5G46760/AT1G28380/AT5G26980/AT1G65500/AT1G79680",66
"GO:0009620","response to fungus","66/1232","366/16827",0.180327868852459,2.46296838407494,7.95335710494954,6.1350848400279e-12,1.18202634584537e-09,9.94529542488733e-10,"AT1G20380/AT1G75380/AT1G05010/AT3G10985/AT1G51800/AT4G15760/AT1G59870/AT1G63880/AT5G17350/AT5G58430/AT4G21980/AT3G50480/AT2G22300/AT5G08790/AT5G05700/AT1G79670/AT4G33430/AT3G51450/AT3G61710/AT3G59660/AT1G59820/AT1G53320/AT1G73500/AT5G45110/AT2G34930/AT2G01340/AT3G44860/AT1G53570/AT3G21630/AT5G36925/AT4G20830/AT3G25780/AT1G28190/AT1G76600/AT1G06620/AT3G19190/AT3G50470/AT1G12200/AT1G42540/AT2G06050/AT1G80840/AT3G52400/AT5G66900/AT5G05190/AT1G45145/AT1G61850/AT3G51550/AT1G13960/AT5G05600/AT3G13790/AT1G15010/AT5G64750/AT2G39660/AT2G31865/AT1G17420/AT3G09940/AT4G08870/AT3G09030/AT5G17290/AT3G11820/AT5G42650/AT5G64570/AT5G61890/AT5G26980/AT5G26920/AT1G79680",66
"GO:0009611","response to wounding","52/1232","263/16827",0.197718631178707,2.70049627178905,7.81221260932569,3.39493555692733e-11,5.886818255712e-09,4.95303229673820e-09,"AT1G76680/AT1G06160/AT1G20510/AT2G02220/AT5G56550/AT4G24220/AT2G02860/AT5G08790/AT1G80440/AT1G59580/AT5G20900/AT1G67560/AT3G51450/AT4G32940/AT5G54170/AT1G73500/AT1G19020/AT4G24350/AT3G44860/AT1G71697/AT3G15356/AT5G47240/AT3G53600/AT1G19180/AT1G74950/AT1G32920/AT1G51760/AT1G74930/AT3G14050/AT5G59820/AT3G48360/AT1G42540/AT2G06050/AT1G72450/AT5G50200/AT5G56980/AT1G80840/AT2G25180/AT1G30135/AT3G13790/AT2G27690/AT3G61060/AT5G44575/AT1G17420/AT3G25250/AT1G70700/AT4G08170/AT1G76650/AT5G42650/AT5G04190/AT4G22880/AT5G20230",52
