"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006281","DNA repair","35/491","342/16827",0.10233918128655,3.50725336763497,8.1212920150732,1.15479726404949e-10,1.02533935393055e-07,1.00620427267666e-07,"AT5G48720/AT5G20850/AT3G07800/AT4G02390/AT4G21070/AT3G27060/AT3G52115/AT4G19130/AT5G40840/AT5G66130/AT5G24280/AT2G31320/AT4G02110/AT4G35740/AT1G51130/AT4G29170/AT5G49110/AT1G20750/AT1G08260/AT1G49980/AT1G09815/AT5G45400/AT3G20490/AT1G80850/AT5G15540/AT5G22010/AT2G31870/AT2G18760/AT2G06510/AT1G19100/AT3G19210/AT4G14970/AT3G16220/AT5G21140/AT2G47210",35
"GO:0006974","DNA damage response","37/491","382/16827",0.0968586387434555,3.31943037502266,7.94976716062732,1.63400693853475e-10,1.02533935393055e-07,1.00620427267666e-07,"AT5G48720/AT3G27630/AT5G20850/AT3G07800/AT4G02390/AT4G21070/AT3G27060/AT3G52115/AT4G19130/AT5G40840/AT5G66130/AT1G07500/AT5G24280/AT2G31320/AT4G02110/AT4G35740/AT1G51130/AT4G29170/AT5G49110/AT1G20750/AT1G08260/AT1G49980/AT1G09815/AT5G45400/AT3G20490/AT1G80850/AT5G15540/AT5G22010/AT2G31870/AT2G18760/AT2G06510/AT1G19100/AT3G19210/AT4G14970/AT3G16220/AT5G21140/AT2G47210",37
"GO:0006302","double-strand break repair","19/491","137/16827",0.138686131386861,4.75289517891388,7.64639757847682,1.76963510202255e-08,7.40297351012766e-06,7.26481778725046e-06,"AT5G20850/AT3G07800/AT4G02390/AT4G21070/AT3G52115/AT4G19130/AT5G40840/AT5G24280/AT2G31320/AT4G02110/AT4G35740/AT4G29170/AT1G20750/AT5G45400/AT5G15540/AT2G06510/AT3G19210/AT4G14970/AT5G21140",19
"GO:0010212","response to ionizing radiation","8/491","27/16827",0.296296296296296,10.1543335596289,8.25300864657945,6.76042522938765e-07,0.000212108341572038,0.000208149934694304,"AT5G48720/AT5G20850/AT4G21070/AT3G52115/AT4G29170/AT4G37490/AT2G18760/AT3G19210",8
"GO:0006310","DNA recombination","18/491","184/16827",0.0978260869565217,3.35258567254051,5.56284396916548,7.63689488473573e-06,0.00191686061606867,0.00188108779266122,"AT5G20850/AT4G21070/AT4G19130/AT5G40840/AT5G24280/AT4G02110/AT4G35740/AT4G29170/AT1G20750/AT1G13330/AT5G45400/AT5G15540/AT5G22010/AT2G06510/AT5G51330/AT3G19210/AT4G14970/AT5G21140",18
"GO:0000724","double-strand break repair via homologous recombination","12/491","92/16827",0.130434782608696,4.47011423005402,5.78606292679026,1.45266375667224e-05,0.0030384883577061,0.00298178350053776,"AT5G20850/AT4G21070/AT4G19130/AT5G40840/AT5G24280/AT4G02110/AT4G35740/AT5G45400/AT5G15540/AT2G06510/AT3G19210/AT5G21140",12
"GO:0000725","recombinational repair","12/491","98/16827",0.122448979591837,4.19643376698948,5.50176559475293,2.77667596660662e-05,0.00497818334013044,0.00488527952019511,"AT5G20850/AT4G21070/AT4G19130/AT5G40840/AT5G24280/AT4G02110/AT4G35740/AT5G45400/AT5G15540/AT2G06510/AT3G19210/AT5G21140",12
"GO:0010332","response to gamma radiation","5/491","14/16827",0.357142857142857,12.2395984870527,7.2937443086956,3.33599231592121e-05,0.00523333794560141,0.00513567238108924,"AT5G20850/AT4G21070/AT4G37490/AT2G18760/AT3G19210",5
"GO:0007127","meiosis I","10/491","81/16827",0.123456790123457,4.23097231651203,5.05334010923801,0.000119877551584043,0.0136515476710471,0.0133967798491299,"AT5G20850/AT4G29170/AT1G20750/AT1G13330/AT5G22010/AT2G46980/AT2G06510/AT5G51330/AT3G19210/AT4G14970",10
"GO:0007131","reciprocal meiotic recombination","9/491","66/16827",0.136363636363636,4.67330124051102,5.18366439334118,0.00012032723172824,0.0136515476710471,0.0133967798491299,"AT5G20850/AT4G29170/AT1G20750/AT1G13330/AT5G22010/AT2G06510/AT5G51330/AT3G19210/AT4G14970",9
"GO:0140527","reciprocal homologous recombination","9/491","66/16827",0.136363636363636,4.67330124051102,5.18366439334118,0.00012032723172824,0.0136515476710471,0.0133967798491299,"AT5G20850/AT4G29170/AT1G20750/AT1G13330/AT5G22010/AT2G06510/AT5G51330/AT3G19210/AT4G14970",9
"GO:0071897","DNA biosynthetic process","6/491","28/16827",0.214285714285714,7.3437590922316,5.82428084900724,0.000130532726735112,0.0136515476710471,0.0133967798491299,"AT4G19130/AT1G49980/AT1G09815/AT5G45400/AT2G06510/AT1G49250",6
"GO:0061982","meiosis I cell cycle process","10/491","83/16827",0.120481927710843,4.12902117635512,4.95423116375608,0.000147376051294582,0.0142274572595924,0.013961941701592,"AT5G20850/AT4G29170/AT1G20750/AT1G13330/AT5G22010/AT2G46980/AT2G06510/AT5G51330/AT3G19210/AT4G14970",10
"GO:0035825","homologous recombination","9/491","72/16827",0.125,4.28385947046843,4.84102050025496,0.000237094656697909,0.0207626460817106,0.0203751695664512,"AT5G20850/AT4G29170/AT1G20750/AT1G13330/AT5G22010/AT2G06510/AT5G51330/AT3G19210/AT4G14970",9
"GO:0051321","meiotic cell cycle","15/491","179/16827",0.0837988826815642,2.87186109752074,4.36493143774878,0.00024815911651447,0.0207626460817106,0.0203751695664512,"AT5G48720/AT5G20850/AT3G52115/AT4G19130/AT4G29170/AT1G20750/AT1G13330/AT5G45400/AT5G22010/AT2G46980/AT2G06510/AT5G42740/AT5G51330/AT3G19210/AT4G14970",15
"GO:0006260","DNA replication","13/491","152/16827",0.0855263157894737,2.93106174295208,4.14613423432518,0.000520171280655017,0.0380477146093383,0.0373376608034605,"AT5G20850/AT3G27060/AT1G07500/AT3G19150/AT4G35740/AT1G08260/AT1G09815/AT5G02220/AT2G21790/AT4G22910/AT3G10525/AT5G04470/AT1G49250",13
"GO:0010431","seed maturation","9/491","80/16827",0.1125,3.85547352342159,4.43826211227249,0.000526004755814927,0.0380477146093383,0.0373376608034605,"AT5G56780/AT4G28520/AT1G78390/AT5G58070/AT4G02280/AT5G66730/AT1G48130/AT5G44120/AT2G40170",9
"GO:0022402","cell cycle process","28/491","488/16827",0.0573770491803279,1.96636172414944,3.75573741443446,0.000545704273281346,0.0380477146093383,0.0373376608034605,"AT5G48720/AT5G20850/AT3G52115/AT5G40840/AT5G66130/AT1G07500/AT3G19150/AT4G29170/AT1G20750/AT1G13330/AT4G37490/AT5G20930/AT5G02220/AT4G22910/AT5G15540/AT5G22010/AT3G55005/AT2G46980/AT2G06510/AT3G10525/AT5G04470/AT5G42740/AT3G53230/AT1G02970/AT5G51330/AT3G50240/AT3G19210/AT4G14970",28
"GO:0140013","meiotic nuclear division","11/491","118/16827",0.0932203389830508,3.19474265594256,4.14770351381429,0.000672423090650293,0.0444153146719009,0.0435864274825951,"AT5G48720/AT5G20850/AT4G29170/AT1G20750/AT1G13330/AT5G22010/AT2G46980/AT2G06510/AT5G51330/AT3G19210/AT4G14970",11
"GO:0019953","sexual reproduction","18/491","263/16827",0.0684410646387833,2.34553522337435,3.81284069666024,0.000745088134389657,0.046754280432951,0.0458817430124157,"AT5G48720/AT5G20850/AT3G52115/AT4G19130/AT4G29170/AT1G20750/AT1G13330/AT5G45400/AT5G22010/AT2G46980/AT2G06510/AT5G42740/AT2G21740/AT5G51330/AT4G25140/AT2G21750/AT3G19210/AT4G14970",18
