"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","147/1444","316/16827",0.465189873417722,5.42087950138504,24.3063109277898,4.8521501518784e-73,8.68534877186234e-70,7.50295639274671e-70,"AT5G66470/AT5G62440/AT2G04270/AT2G37220/AT5G26742/AT1G07840/AT5G67240/AT1G18080/AT1G15930/AT1G04270/AT3G09200/AT3G02560/AT5G20290/AT5G13650/AT1G07070/AT3G11940/AT3G02080/AT1G31970/AT4G34730/AT1G45230/AT2G36160/AT3G62870/AT2G01250/AT3G49910/AT5G55190/AT3G09500/AT5G57280/AT1G52980/AT1G80770/AT5G09510/AT3G11510/AT1G72370/AT4G25630/AT5G18570/AT4G14510/AT2G40430/AT4G27090/AT3G57940/AT3G12930/AT5G19820/AT2G33800/AT1G69620/AT5G02610/AT4G24770/AT1G12800/AT3G11964/AT1G72320/AT1G63980/AT3G57150/AT2G20450/AT5G18380/AT5G15200/AT5G16130/AT3G57000/AT2G39670/AT3G53890/AT5G61170/AT1G16280/AT5G65900/AT1G06720/AT4G32720/AT1G26880/AT5G20160/AT3G25520/AT3G52150/AT3G19810/AT1G48630/AT1G13160/AT3G03920/AT5G39740/AT5G26180/AT1G74270/AT3G06530/AT3G51270/AT5G46580/AT5G61770/AT4G21770/AT1G25260/AT3G24506/AT5G47930/AT1G80750/AT1G06190/AT3G28900/AT1G60230/AT1G10490/AT2G32060/AT2G37270/AT5G52470/AT2G09990/AT3G17170/AT1G08410/AT3G53460/AT2G47610/AT1G50000/AT2G44120/AT3G22660/AT4G26600/AT3G04770/AT5G08600/AT3G55510/AT1G09340/AT2G20490/AT3G61110/AT1G48830/AT5G05210/AT4G28200/AT3G52580/AT2G17240/AT5G27990/AT5G27700/AT2G39390/AT1G01080/AT4G02400/AT2G48120/AT1G41880/AT3G18600/AT5G64140/AT5G02250/AT3G52380/AT1G50920/AT1G03530/AT2G24500/AT3G63140/AT3G01540/AT3G57180/AT2G34160/AT2G47990/AT1G17690/AT2G40010/AT4G28830/AT3G10530/AT2G19870/AT2G03820/AT3G28460/AT1G22270/AT1G23280/AT5G67510/AT1G48920/AT3G60500/AT5G46420/AT3G55170/AT4G12600/AT5G06360/AT2G47420/AT2G43650/AT2G37990/AT4G27010",147
"GO:0022613","ribonucleoprotein complex biogenesis","153/1444","388/16827",0.394329896907216,4.59514485821173,21.9506850209624,8.10249332417949e-64,7.25173152514065e-61,6.26450668064194e-61,"AT5G66470/AT5G62440/AT2G04270/AT2G37220/AT5G26742/AT1G07840/AT5G67240/AT1G18080/AT1G15930/AT1G04270/AT3G09200/AT3G02560/AT5G20290/AT5G13650/AT1G07070/AT3G11940/AT3G02080/AT1G31970/AT4G34730/AT1G45230/AT2G36160/AT3G62870/AT2G01250/AT3G49910/AT5G55190/AT3G09500/AT5G57280/AT1G52980/AT1G80770/AT5G09510/AT3G11510/AT1G72370/AT4G25630/AT5G18570/AT4G14510/AT2G40430/AT4G27090/AT3G57940/AT3G12930/AT5G19820/AT2G33800/AT1G69620/AT5G02610/AT4G24770/AT1G12800/AT3G11964/AT1G72320/AT1G63980/AT3G57150/AT2G20450/AT5G18380/AT5G15200/AT5G16130/AT3G57000/AT2G39670/AT3G53890/AT5G61170/AT1G16280/AT5G65900/AT1G06720/AT4G32720/AT1G26880/AT5G20160/AT3G25520/AT3G52150/AT3G19810/AT1G48630/AT1G13160/AT3G03920/AT5G39740/AT5G26180/AT1G74270/AT3G06530/AT3G51270/AT5G46580/AT5G61770/AT4G21770/AT1G25260/AT3G24506/AT5G47930/AT1G80750/AT1G06190/AT3G28900/AT1G60230/AT1G10490/AT2G32060/AT2G37270/AT5G52470/AT2G09990/AT3G17170/AT1G08410/AT3G53460/AT2G47610/AT1G50000/AT2G44120/AT3G22660/AT4G26600/AT3G04770/AT5G08600/AT3G55510/AT1G09340/AT2G20490/AT3G61110/AT1G48830/AT5G05210/AT4G28200/AT3G52580/AT2G17240/AT4G11420/AT5G27990/AT5G27700/AT2G39390/AT1G01080/AT4G02400/AT2G48120/AT5G22330/AT1G41880/AT3G18600/AT5G64140/AT5G02250/AT3G52380/AT1G50920/AT1G03530/AT1G04170/AT2G24500/AT3G63140/AT3G01540/AT3G57180/AT2G34160/AT2G47990/AT1G17690/AT2G40010/AT2G43460/AT4G28830/AT3G10530/AT2G19870/AT2G03820/AT3G28460/AT1G20580/AT1G22270/AT1G23280/AT2G23930/AT5G67510/AT1G48920/AT3G60500/AT5G46420/AT3G55170/AT4G12600/AT5G06360/AT2G47420/AT2G43650/AT2G37990/AT4G27010",153
"GO:0006364","rRNA processing","100/1444","228/16827",0.43859649122807,5.1109855664091,19.148110802309,8.88043499604828e-47,5.29865954764214e-44,4.57731895059471e-44,"AT5G66470/AT5G62440/AT2G04270/AT2G37220/AT1G07840/AT5G67240/AT3G02560/AT5G20290/AT5G13650/AT1G31970/AT1G45230/AT3G62870/AT2G01250/AT3G09500/AT5G57280/AT4G25630/AT5G18570/AT4G14510/AT2G40430/AT3G57940/AT2G33800/AT5G02610/AT4G24770/AT1G12800/AT3G11964/AT1G72320/AT3G57150/AT5G18380/AT5G16130/AT3G57000/AT2G39670/AT3G53890/AT1G16280/AT5G65900/AT1G06720/AT4G32720/AT5G20160/AT3G52150/AT3G19810/AT3G03920/AT5G26180/AT3G06530/AT3G51270/AT5G46580/AT5G61770/AT4G21770/AT1G25260/AT3G24506/AT1G80750/AT1G06190/AT1G60230/AT1G10490/AT5G52470/AT2G09990/AT3G17170/AT1G08410/AT3G53460/AT2G47610/AT1G50000/AT2G44120/AT3G22660/AT4G26600/AT5G08600/AT1G09340/AT2G20490/AT1G48830/AT4G28200/AT2G17240/AT5G27990/AT5G27700/AT2G39390/AT1G01080/AT4G02400/AT3G18600/AT5G64140/AT5G02250/AT3G52380/AT2G24500/AT3G63140/AT3G01540/AT3G57180/AT2G34160/AT2G47990/AT1G17690/AT4G28830/AT3G10530/AT2G19870/AT3G28460/AT1G22270/AT1G23280/AT1G48920/AT3G60500/AT5G46420/AT3G55170/AT4G12600/AT5G06360/AT2G47420/AT2G43650/AT2G37990/AT4G27010",100
"GO:0016072","rRNA metabolic process","100/1444","247/16827",0.404858299595142,4.71783283053148,18.0343124865094,5.76923475305152e-43,2.58173255199056e-40,2.23026469795597e-40,"AT5G66470/AT5G62440/AT2G04270/AT2G37220/AT1G07840/AT5G67240/AT3G02560/AT5G20290/AT5G13650/AT1G31970/AT1G45230/AT3G62870/AT2G01250/AT3G09500/AT5G57280/AT4G25630/AT5G18570/AT4G14510/AT2G40430/AT3G57940/AT2G33800/AT5G02610/AT4G24770/AT1G12800/AT3G11964/AT1G72320/AT3G57150/AT5G18380/AT5G16130/AT3G57000/AT2G39670/AT3G53890/AT1G16280/AT5G65900/AT1G06720/AT4G32720/AT5G20160/AT3G52150/AT3G19810/AT3G03920/AT5G26180/AT3G06530/AT3G51270/AT5G46580/AT5G61770/AT4G21770/AT1G25260/AT3G24506/AT1G80750/AT1G06190/AT1G60230/AT1G10490/AT5G52470/AT2G09990/AT3G17170/AT1G08410/AT3G53460/AT2G47610/AT1G50000/AT2G44120/AT3G22660/AT4G26600/AT5G08600/AT1G09340/AT2G20490/AT1G48830/AT4G28200/AT2G17240/AT5G27990/AT5G27700/AT2G39390/AT1G01080/AT4G02400/AT3G18600/AT5G64140/AT5G02250/AT3G52380/AT2G24500/AT3G63140/AT3G01540/AT3G57180/AT2G34160/AT2G47990/AT1G17690/AT4G28830/AT3G10530/AT2G19870/AT3G28460/AT1G22270/AT1G23280/AT1G48920/AT3G60500/AT5G46420/AT3G55170/AT4G12600/AT5G06360/AT2G47420/AT2G43650/AT2G37990/AT4G27010",100
"GO:0009657","plastid organization","100/1444","289/16827",0.346020761245675,4.03219622540233,15.9300907267649,5.79718559761392e-36,2.07539244394578e-33,1.79285592481997e-33,"AT2G21280/AT5G62440/AT2G04270/AT5G22640/AT5G26742/AT2G16800/AT4G34740/AT3G02380/AT1G45230/AT5G53860/AT3G56910/AT3G17040/AT3G63190/AT1G63680/AT2G24060/AT2G47940/AT3G62910/AT5G18570/AT2G37860/AT5G55580/AT2G33800/AT4G20360/AT5G08050/AT5G62430/AT3G51720/AT5G24020/AT3G07430/AT4G23940/AT2G38140/AT3G29185/AT3G53890/AT1G08540/AT5G64050/AT1G74730/AT2G21170/AT4G39460/AT1G50900/AT5G54600/AT4G37920/AT3G56290/AT4G16390/AT1G44575/AT5G23040/AT5G42880/AT4G38160/AT3G24506/AT3G06730/AT1G32080/AT1G71720/AT4G20130/AT1G21600/AT5G36170/AT4G26150/AT3G19720/AT5G15450/AT3G56270/AT4G13670/AT1G66840/AT1G42550/AT3G46740/AT5G21920/AT3G47450/AT1G09340/AT5G65460/AT1G30610/AT5G24314/AT3G54710/AT1G11870/AT2G17240/AT5G24660/AT4G31850/AT3G18680/AT5G23120/AT2G48120/AT5G02250/AT5G19620/AT1G62750/AT3G63140/AT2G40480/AT1G20830/AT4G37650/AT5G35220/AT3G57180/AT1G15510/AT1G06950/AT1G64500/AT4G25910/AT1G10910/AT4G14605/AT1G35680/AT5G23730/AT4G34020/AT2G18710/AT4G33650/AT5G60170/AT3G46610/AT3G58830/AT5G10470/AT3G12780/AT5G67385",100
"GO:0009658","chloroplast organization","80/1444","214/16827",0.373831775700935,4.35627928650944,15.1389050695426,1.20942552112178e-31,3.60811947134665e-29,3.11692296583842e-29,"AT2G21280/AT5G62440/AT2G04270/AT5G22640/AT5G26742/AT2G16800/AT4G34740/AT3G02380/AT1G45230/AT3G63190/AT1G63680/AT2G24060/AT2G47940/AT3G62910/AT5G18570/AT2G37860/AT5G55580/AT4G20360/AT5G08050/AT5G62430/AT3G51720/AT5G24020/AT3G07430/AT4G23940/AT3G29185/AT3G53890/AT1G08540/AT5G64050/AT1G74730/AT2G21170/AT4G39460/AT1G50900/AT4G37920/AT3G56290/AT4G16390/AT5G23040/AT5G42880/AT4G38160/AT1G32080/AT4G20130/AT1G21600/AT4G26150/AT3G19720/AT5G15450/AT3G56270/AT4G13670/AT1G66840/AT1G42550/AT3G46740/AT5G21920/AT1G09340/AT5G65460/AT1G30610/AT5G24314/AT3G54710/AT1G11870/AT5G24660/AT3G18680/AT2G48120/AT5G02250/AT5G19620/AT1G62750/AT3G63140/AT2G40480/AT1G20830/AT5G35220/AT3G57180/AT1G15510/AT1G06950/AT1G64500/AT4G25910/AT1G10910/AT4G14605/AT1G35680/AT5G23730/AT4G34020/AT4G33650/AT3G58830/AT5G10470/AT5G67385",80
"GO:0002181","cytoplasmic translation","45/1444","76/16827",0.592105263157895,6.89983051465228,15.7935398841872,7.44692483156527e-29,1.90428506407169e-26,1.64504249286758e-26,"AT3G09200/AT5G56710/AT4G36130/AT1G07070/AT1G74050/AT4G17390/AT3G49910/AT3G05560/AT1G72370/AT4G16720/AT3G44590/AT1G01100/AT2G27710/AT1G67430/AT2G18020/AT2G27720/AT3G53020/AT3G53740/AT4G00810/AT1G27400/AT5G27770/AT1G18540/AT1G74270/AT1G33140/AT5G02450/AT2G36620/AT2G46280/AT1G74060/AT1G17470/AT3G06700/AT1G72730/AT2G20280/AT3G04770/AT5G47700/AT4G26230/AT4G11420/AT2G19740/AT1G41880/AT5G20220/AT2G37600/AT1G04170/AT1G12920/AT2G40010/AT3G06680/AT5G67510",45
"GO:0042274","ribosomal small subunit biogenesis","43/1444","87/16827",0.494252873563218,5.75955201069825,13.6364553674844,2.41981802450001e-23,5.41434282981876e-21,4.67725352367172e-21,"AT5G66470/AT1G07840/AT1G15930/AT1G04270/AT3G02560/AT5G20290/AT3G11940/AT3G02080/AT2G36160/AT5G09510/AT3G11510/AT1G72370/AT3G57940/AT1G72320/AT5G18380/AT5G15200/AT5G16130/AT3G53890/AT5G61170/AT1G06720/AT5G20160/AT3G06530/AT3G51270/AT5G47930/AT1G10490/AT2G32060/AT2G37270/AT2G09990/AT3G04770/AT3G61110/AT1G48830/AT5G05210/AT4G28200/AT3G52580/AT5G27990/AT5G27700/AT5G64140/AT1G17690/AT3G10530/AT1G22270/AT4G12600/AT2G43650/AT2G37990",43
"GO:0042273","ribosomal large subunit biogenesis","36/1444","67/16827",0.537313432835821,6.26133873568446,13.2205698949159,2.3127919093104e-21,4.59988613073957e-19,3.97367405237073e-19,"AT1G07070/AT3G62870/AT2G01250/AT3G49910/AT3G09500/AT1G80770/AT2G40430/AT4G27090/AT5G02610/AT2G20450/AT5G65900/AT3G25520/AT1G13160/AT5G39740/AT1G74270/AT5G61770/AT1G25260/AT1G80750/AT2G47610/AT2G44120/AT3G22660/AT4G26600/AT3G55510/AT5G05210/AT2G39390/AT1G41880/AT3G18600/AT1G50920/AT2G24500/AT1G22270/AT1G23280/AT5G67510/AT3G55170/AT5G06360/AT2G37990/AT4G27010",36
"GO:1901259","chloroplast rRNA processing","17/1444","24/16827",0.708333333333333,8.25424168975069,10.8957654799872,1.31310617869867e-13,2.35046005987062e-11,2.0304768173772e-11,"AT5G62440/AT2G04270/AT2G37220/AT1G45230/AT2G33800/AT4G24770/AT1G12800/AT3G52150/AT5G46580/AT3G24506/AT1G06190/AT3G53460/AT2G17240/AT1G01080/AT3G52380/AT3G57180/AT3G28460",17
