"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT5G60250",306.346362414216,4.51081698528359,0.332745144273789,13.5563720850935,7.26410050017609e-42,1.78166592967819e-37
"AT3G27630",300.393394437286,6.01909821318164,0.446621022561164,13.4769702032048,2.13703697370372e-41,2.62075529270156e-37
"AT2G46400",64.1297411084952,3.63542243165592,0.288996868253142,12.5794526896794,2.73921042694417e-36,2.23948713805532e-32
"AT3G58270",196.764707206941,3.7217698335324,0.30298658067953,12.2836127764646,1.10931556537745e-34,6.80204571800316e-31
"AT5G49520",86.448946381231,1.61603004169207,0.13427197659727,12.0354975226076,2.31235788818469e-33,1.13430403847012e-29
"AT4G22960",155.297623186097,5.1355408751806,0.428602333706238,11.9820646583331,4.41196921063644e-33,1.803539480488e-29
"AT2G18193",2206.3387894989,4.48739795902378,0.387780775903797,11.5719969577271,5.71370974892938e-31,2.00200227159987e-27
"AT1G20750",82.6735541756814,8.13286481370814,0.710320852315885,11.4495650623127,2.36328290757989e-30,7.24552998427649e-27
"AT3G01600",183.62920101233,3.41394210317279,0.307687730855147,11.095476877432,1.31954370897455e-28,3.42231173381147e-25
"AT5G26920",85.9277843343301,2.50376675913804,0.225758136307994,11.0904829393269,1.39532422791677e-28,3.42231173381147e-25
"AT5G03780",358.00267616596,3.28379026183298,0.296901204904097,11.0602119748678,1.95634628921305e-28,4.36211867595714e-25
"AT5G64060",141.071304911716,3.00376902391311,0.274117529838325,10.9579603525712,6.08554450069488e-28,1.24383458307119e-24
"AT3G28210",78.5581605057877,2.26739682480532,0.20760182663478,10.9218539237336,9.06267778403826e-28,1.7098484462239e-24
"AT5G66130",167.994779470843,2.42082489150258,0.222440119474739,10.8830407806785,1.38852260692203e-27,2.43259242714118e-24
"AT5G48720",1277.40939437979,3.69663008882365,0.341137903945921,10.8361751833055,2.31967630734407e-27,3.79298005268186e-24
"AT2G39650",132.728464940449,1.95038601858817,0.180656093707437,10.7961263778166,3.59032780426256e-27,5.50374812844674e-24
"AT3G50930",185.301175925786,2.22295167214453,0.206814964622937,10.7485049556129,6.02299189595514e-27,8.68976013129952e-24
"AT5G24280",707.900042471016,3.5485594036242,0.333160194710257,10.6512106186944,1.72112024607771e-26,2.34521757086378e-23
"AT3G17690",36.588756274777,2.68398017306172,0.254146641033055,10.5607540676197,4.53007967792844e-26,5.8478560137132e-23
"AT4G25330",40.7586412695436,6.66485118711428,0.634158412371862,10.5097575890961,7.78935067486821e-26,9.55247020012462e-23
"AT3G10930",55.9725366980833,3.29469517829965,0.317033236976951,10.3922705698494,2.68874806799002e-25,3.14032970779006e-22
"AT3G48770",69.4246010416883,4.20600550829933,0.405326181143227,10.3768414278995,3.16059370440885e-25,3.52363099036527e-22
"AT4G14365",100.99145231526,2.68995501338141,0.259454900223576,10.3677171295028,3.47732632839487e-25,3.70819055898004e-22
"AT3G28580",45.9846302751799,2.9687726326773,0.288512914460364,10.2899124575762,7.82474806011956e-25,7.99656648627302e-22
"AT1G20350",26.5481367297167,3.91360474520746,0.381638500526289,10.254743008922,1.12675322503997e-24,1.10543505402222e-21
"AT4G05380",27.4310284365711,4.3516298420669,0.429879711038242,10.1229011984699,4.37258748493727e-24,4.1248635862714e-21
"AT5G52750",52.6585708908548,2.67603418130576,0.265296352346675,10.0869618358298,6.30920624534688e-24,5.73132968813418e-21
"AT2G47680",379.370140896569,2.19982884525428,0.218172494876973,10.0829797380956,6.57028139061855e-24,5.75533184527504e-21
"AT5G39670",44.2078831337945,2.99631595190922,0.297627960953853,10.0673200942092,7.70488843654648e-24,6.51647581666122e-21
"AT5G15380",20.806798509582,5.17029519207439,0.516525525646454,10.0097573795671,1.3809077688814e-23,1.12898416157847e-20
"AT3G13080",1598.59892925206,1.64360524482967,0.164906970460903,9.96686337900643,2.12844578692172e-23,1.68401257470416e-20
"AT4G02390",802.77440461753,3.28647000506885,0.330337939739449,9.94881183693591,2.5521198118212e-23,1.95612008201683e-20
"AT4G21070",899.884383228174,3.0896342659756,0.311484480167036,9.91906326863782,3.43969067383162e-23,2.55652403506267e-20
"AT3G22910",44.5262289484747,2.95640567445487,0.300692573637919,9.83198766330307,8.19844152456926e-23,5.91421103744442e-20
"AT2G38250",30.5237207141094,2.13764467348003,0.217675443106069,9.82032995076253,9.2041789772849e-23,6.45002565073905e-20
"AT1G35230",26.3138806795777,2.36362058560173,0.24107206966629,9.80462228110302,1.07548615703329e-22,7.21326437615835e-20
"AT5G14930",227.217083460087,1.69860440126305,0.173266155748912,9.8034402270953,1.08815094352289e-22,7.21326437615835e-20
"AT3G25250",266.789162497515,2.0766075672638,0.213756746494098,9.71481649736439,2.60718214322323e-22,1.68279885333779e-19
"AT5G07610",406.129266271916,3.07023601352905,0.318261378198478,9.64690101861606,5.06636360933023e-22,3.18622308323186e-19
"AT1G68200",59.0858191486684,2.95625584486859,0.307520054982447,9.61321317738879,7.03196152319125e-22,4.31182300698279e-19
"AT3G60415",99.5694597912349,2.81479693565568,0.293133360135704,9.60244488840367,7.80701967820859e-22,4.67031150359566e-19
"AT5G42050",1342.48115018361,0.944677355413325,0.0987635166697204,9.56504372533093,1.12154057627745e-21,6.54952993198979e-19
"AT1G02920",412.786086020931,1.95240010791416,0.205703981853773,9.49130926061534,2.28150444299795e-21,1.30135952263746e-18
"AT3G46080",14.5367690497919,2.37328853548565,0.250139444203042,9.4878620325038,2.35821139044048e-21,1.31454206303031e-18
"AT5G55490",113.238784129865,3.55640942817811,0.375398848163497,9.47368231302933,2.70148656183474e-21,1.47243024226935e-18
"AT5G58610",56.9664557033764,2.15160387630137,0.227300554325289,9.46589806033737,2.91049177525e-21,1.55186156025123e-18
"AT5G07165",44.3358996847007,7.22968613919827,0.764986163610664,9.45074105010582,3.36440268837149e-21,1.75571712207846e-18
"AT1G61470",16.3026866004509,1.71667535447396,0.184063597035699,9.32653377485071,1.09389823990562e-20,5.58959211045106e-18
"AT3G07800",1253.62929956502,2.89368313847987,0.310464239304398,9.32050385243476,1.15789121380709e-20,5.79583628592784e-18
"AT4G37030",80.2758961959777,3.07866612738236,0.330976939872236,9.30175416018647,1.38147385625727e-20,6.77668185448443e-18
"AT3G27060",5969.30953867891,2.67368830337074,0.288447099831939,9.26925008061628,1.87459251086177e-20,9.01531970860916e-18
"AT4G23140",81.5532609148265,4.26805116752656,0.460852049396708,9.2612177229412,2.02113817025081e-20,9.53316459648875e-18
"AT4G19130",200.793034133294,2.0073232575986,0.217475946354654,9.23009321833277,2.70396477162301e-20,1.2513234708226e-17
"AT3G12410",23.3549986420061,4.35405667807678,0.471916944124516,9.22631986896397,2.80089829938093e-20,1.27217838127622e-17
"AT1G13330",99.9985851985783,2.18864072896614,0.239386034826167,9.14272518259238,6.08979975245494e-20,2.71571851869931e-17
"AT2G45460",498.204730465974,2.48666744401297,0.272752186177342,9.11694780109352,7.72697841627647e-20,3.38427856457166e-17
"AT1G52315",74.1915736600921,2.92446198621112,0.32157949619454,9.0940561224151,9.54115826737026e-20,4.10554366357527e-17
"AT2G30250",284.418022700238,1.89260584726613,0.208563037309325,9.07450270998479,1.14197777022944e-19,4.82918771903749e-17
"AT1G17460",130.623609210932,1.79914953997531,0.198559750961826,9.06099816936817,1.29262177900484e-19,5.37358209722912e-17
"AT5G45350",456.996654441143,0.499971221247236,0.055251387236148,9.04902566718057,1.44249671926226e-19,5.89668617222424e-17
"AT1G74440",45.7699807656694,1.53981275774898,0.170332996634645,9.04001449027396,1.56651050631541e-19,6.29865626039311e-17
"AT5G52760",14.5973577613723,3.68576682259263,0.409316390666946,9.0046890538319,2.16277822797127e-19,8.55588090281474e-17
"AT1G13520",22.2448194335999,2.07739838562741,0.231082156310913,8.98986931224731,2.47524582287781e-19,9.48599285901938e-17
"AT2G17040",34.5002130575426,2.34328993970417,0.260621567784338,8.99115894216101,2.44636972762048e-19,9.48599285901938e-17
"AT5G20850",327.918197532553,2.92424223145048,0.325612868321081,8.98073299906235,2.68968823400004e-19,1.01492282023568e-16
"AT1G05490",81.2736199929437,2.38925524231086,0.266930426125886,8.95085388723752,3.52743021380947e-19,1.31086789172886e-16
"AT5G26170",76.1481288393934,2.57467030839143,0.288056642900178,8.93806954934086,3.96027814479236e-19,1.44975734413914e-16
"AT1G27730",207.263214274098,2.81499130955306,0.315502646484987,8.92224309657892,4.56937902954012e-19,1.64813469790486e-16
"AT5G14490",26.3955909190921,5.66434957409821,0.635679749719369,8.91069689823976,5.07127811266388e-19,1.8026556270914e-16
"AT3G19240",321.729718705162,0.390143660718823,0.0438178277879218,8.90376544011075,5.39834636846783e-19,1.89150344827729e-16
"AT1G24150",205.000300902859,0.98509708417622,0.1108859758154,8.88387442083917,6.45711774549029e-19,2.19963509643945e-16
"AT3G25610",231.619427512247,0.623491902294702,0.0701745520557402,8.88487185211324,6.39944910116384e-19,2.19963509643945e-16
"AT2G38340",26.5577653487297,3.44433705544791,0.388726253046306,8.86057226250066,7.96047420472495e-19,2.67461028519574e-16
"AT1G01560",10.9110832526831,3.28450892657035,0.370889760148577,8.85575521215411,8.31191093347069e-19,2.75494918196264e-16
"AT5G25250",58.1365297293173,2.24553531922265,0.254521195528441,8.82258671840839,1.11845520469175e-18,3.65764677406329e-16
"AT5G02220",30.3058095731832,2.39061875298011,0.271453237207786,8.80674247089637,1.28835230996202e-18,4.15781804032087e-16
"AT5G59820",108.438433830596,1.90726455234665,0.216705138961244,8.80119669283775,1.35364859176143e-18,4.31181026105619e-16
"AT1G30160",13.4273568405175,2.9176711380881,0.332285584951844,8.78061303354747,1.62586024882155e-18,5.11249670805719e-16
"AT4G11890",50.3838998937104,2.77324401587867,0.31932221688652,8.68478254635261,3.79467600588218e-18,1.17812681514269e-15
"AT3G52115",206.618234226471,2.19828215842513,0.253279957294952,8.67925824807828,3.98358247825551e-18,1.22131659305216e-15
"AT1G30170",36.9943522513238,5.28993956067126,0.609722019652999,8.67598576098963,4.09983467278043e-18,1.24144006196649e-15
"AT1G74450",230.776825232702,1.13693060296656,0.131176446935469,8.66718553160588,4.42932885760947e-18,1.32208814400433e-15
"AT4G37370",34.735367532013,1.89221885173794,0.218348657085132,8.66604300204227,4.47398034624533e-18,1.32208814400433e-15
"AT3G05360",103.894357823244,0.718824064046222,0.0831856213643239,8.64120568262661,5.56228770262051e-18,1.62412179145444e-15
"AT5G11460",234.756753588341,2.09486035154456,0.242562043853189,8.63638975936595,5.80173329397142e-18,1.67410720589691e-15
"AT2G18660",28.5651974826213,4.14059462980157,0.47987848219637,8.6284232017455,6.22035446569082e-18,1.77403062767441e-15
"AT5G10380",47.1599494429669,1.73720842015324,0.201819327333722,8.60774061188228,7.45146303879972e-18,2.1007130339384e-15
"AT5G41750",63.6739274237194,2.86770695905152,0.333336968401244,8.60302705939178,7.76406613922295e-18,2.16396875223547e-15
"AT4G08850",1212.141856374,0.857349632604435,0.0998760371812846,8.58413746480813,9.15204834560314e-18,2.52216055924279e-15
"AT1G21520",43.5811702501824,2.53979321792256,0.29728875069251,8.54318642063083,1.30570505763836e-17,3.558336438744e-15
"AT3G02400",232.133831143343,1.44987057510823,0.170141779097876,8.52154351973822,1.57440832468039e-17,4.24346296477317e-15
"AT5G67460",294.279356990932,2.2379910773928,0.262901529252966,8.51265903150903,1.6998938354646e-17,4.53188001113481e-15
"AT4G01010",33.1034355456445,1.94257544244588,0.228693610534235,8.49422700489081,1.99254536573083e-17,5.2549634607828e-15
"AT2G18600",51.553767134754,2.15171342527794,0.25382483665066,8.47715871177471,2.30760057429719e-17,5.95773887218812e-15
"AT3G56400",123.722016054671,2.32843257557089,0.274654041951282,8.47769273311443,2.29703645643062e-17,5.95773887218812e-15
