"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT3G45730",102.527627905719,0.960167884928483,0.121066753280697,7.93089645926411,2.17569562929629e-15,4.64837371199153e-11
"AT1G22890",456.823346805087,0.540453647868773,0.0786144830451792,6.87473385226203,6.2105699466037e-12,4.42450101524344e-08
"AT2G30250",495.873008119877,0.825278910530854,0.120046082716757,6.87468422004291,6.21273252784008e-12,4.42450101524344e-08
"AT5G28500",6886.61055882736,-0.233247811901541,0.0353048242853486,-6.60668383494374,3.93024145885225e-11,2.09924021920946e-07
"AT4G02390",287.07399316956,0.921615846629924,0.140846136540201,6.54342298105471,6.01264567128704e-11,2.56920349534095e-07
"AT1G53910",2379.01465448108,0.298222050071554,0.0472807002545478,6.30747955224858,2.83616033933292e-10,1.00990942749746e-06
"AT2G29670",4582.92979103378,0.254507810268747,0.0406354799990809,6.26319192672276,3.7717591468417e-10,1.15119477388961e-06
"AT3G57830",495.245377456889,-0.330898957251984,0.0535186064663909,-6.18287693009691,6.29437858702669e-10,1.68099248139781e-06
"AT1G75370",2983.69151781558,0.242388636122936,0.0396018904208067,6.12063296846015,9.3204368020378e-10,1.81028302068671e-06
"AT2G16440",703.136488739726,-0.299365379505059,0.0488475301528108,-6.1285673721588,8.86738796539795e-10,1.81028302068671e-06
"AT3G24320",452.856747666782,-0.261726356664733,0.0426948004611959,-6.13016933765996,8.7785586622413e-10,1.81028302068671e-06
"AT1G77920",449.01538491219,0.386949503121827,0.0636995073772755,6.0746074664287,1.24291376007033e-09,1.9703010931255e-06
"AT2G17290",502.081480603275,0.507887492332613,0.0836325569141319,6.0728442495675,1.25664325093563e-09,1.9703010931255e-06
"AT2G36320",1027.12027056838,0.275663970609398,0.0454253787684265,6.06850131101166,1.29109362526361e-09,1.9703010931255e-06
"AT4G27600",4416.42915736685,-0.186032865530247,0.0308621649425931,-6.02786181320359,1.6614300723126e-09,2.36643023299725e-06
"AT2G32640",1771.98375598194,-0.206449283674611,0.0343206241366721,-6.01531262521584,1.79539867685907e-09,2.39741829569338e-06
"AT3G19150",371.22396962934,0.400785089722926,0.0672129147356626,5.96291786034199,2.4777299267238e-09,3.11392352261494e-06
"AT1G76180",10135.7086612614,0.341195472885698,0.0578491054969863,5.89802504212399,3.67878152595413e-09,4.09922039433932e-06
"AT3G16290",3430.68834401207,-0.183596480800533,0.0311522705325835,-5.89351843900115,3.7805789221706e-09,4.09922039433932e-06
"AT5G42420",518.75655076272,0.235524054167537,0.0399799288345344,5.89105736386636,3.83732309322661e-09,4.09922039433932e-06
"AT4G02060",850.88327740646,-0.31428664566951,0.053731188735616,-5.84924050751893,4.93822622155531e-09,4.79569105561496e-06
"AT5G15950",7510.29148535476,-0.406428745409313,0.0693996330395474,-5.85635294609857,4.73142149891508e-09,4.79569105561496e-06
"AT2G24060",2661.32864249519,-0.228460815622873,0.0392013584254067,-5.82788007353352,5.61358943877893e-09,5.06940186987549e-06
"AT3G50830",1438.11476406987,0.252873905267196,0.0434081989689586,5.82548714928318,5.69462414589337e-09,5.06940186987549e-06
