"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","photosynthesis","101/2306","229/17791",0.441048034934498,3.40272575434503,14.1220250967971,1.44958065734897e-31,2.85712347563483e-28,2.45970949436478e-28,"AT5G65810/AT1G76450/AT2G20890/AT4G02530/AT3G54050/AT1G45474/AT4G15510/AT3G55330/AT1G11750/AT3G55800/AT4G30950/AT1G73060/AT4G03280/AT4G21280/AT1G54500/AT1G12900/AT1G64150/AT1G01790/AT4G35250/AT5G61410/AT2G34860/AT3G21200/AT5G52100/AT5G08410/AT4G33520/AT1G60950/AT1G05385/AT1G03600/AT5G64040/AT3G04790/AT5G66570/AT3G50820/AT4G01050/AT5G02120/AT3G26650/AT2G40100/AT1G06680/AT2G39470/AT1G55480/AT1G42970/AT5G39830/AT4G09650/AT2G47940/AT5G27390/AT4G05180/AT3G55250/AT1G22700/AT5G01530/AT5G52520/AT4G30720/AT4G27600/AT1G55370/AT3G12780/AT1G20950/AT1G15980/AT1G79040/AT2G21170/AT3G15850/AT3G08010/AT1G64770/AT3G01500/AT1G19150/AT3G61470/AT3G16250/AT1G14150/AT1G08380/AT3G60370/AT1G15820/AT2G46820/AT3G56650/AT4G10340/AT1G20020/AT1G61520/AT4G04640/AT5G01920/AT1G77090/AT1G29930/AT1G18730/AT2G30570/AT3G54890/AT1G32060/AT3G62410/AT5G54180/AT1G67740/AT1G43670/AT2G45770/AT5G35220/AT3G60750/AT1G16720/AT3G58830/AT5G66190/AT4G33470/AT2G28605/AT3G05410/AT3G17170/AT1G54780/AT1G55670/AT3G03630/AT1G70760/AT4G20190/AT2G05620",101
"GO:0042254","ribosome biogenesis","113/2306","321/17791",0.35202492211838,2.71590433192025,11.9718469202072,7.34435049640315e-25,7.2378574142053e-22,6.23110157905362e-22,"AT1G09340/AT3G49910/AT3G53890/AT1G04270/AT5G18380/AT3G55750/AT2G47610/AT1G69620/AT5G15200/AT3G02080/AT4G27090/AT3G09500/AT2G36160/AT5G64140/AT5G39740/AT3G52150/AT1G41880/AT3G28900/AT5G61170/AT3G63140/AT1G72370/AT1G18080/AT5G20290/AT5G16130/AT4G24770/AT2G37270/AT2G39390/AT3G52580/AT1G70070/AT5G27700/AT2G01250/AT3G24506/AT2G32060/AT3G09200/AT2G40010/AT5G47930/AT3G11250/AT3G02560/AT5G67510/AT3G11510/AT3G62870/AT3G61110/AT2G44120/AT3G25520/AT1G48630/AT3G12930/AT5G18570/AT1G29250/AT1G26880/AT2G09990/AT5G09510/AT3G11940/AT5G02610/AT5G46420/AT1G12650/AT2G33800/AT3G13740/AT1G74270/AT5G51140/AT4G25630/AT1G01860/AT2G20450/AT2G20490/AT2G34160/AT2G25870/AT3G46630/AT1G07070/AT1G70200/AT1G01080/AT4G34730/AT3G03920/AT5G06360/AT5G53770/AT1G60230/AT2G32415/AT1G15930/AT4G21770/AT3G55510/AT5G27990/AT1G12800/AT3G04770/AT3G55170/AT4G12600/AT1G25260/AT2G37220/AT5G08180/AT3G23700/AT3G52380/AT5G25080/AT1G60000/AT1G45230/AT2G43810/AT3G49180/AT4G32720/AT5G14520/AT5G55190/AT5G20160/AT3G18600/AT3G07170/AT5G10620/AT1G13160/AT3G28460/AT5G05210/AT3G17170/AT4G04940/AT5G66470/AT2G45710/AT2G17250/AT3G09720/AT5G67240/AT3G53460/AT1G52930/AT1G22270",113
"GO:0002181","cytoplasmic translation","48/2306","80/17791",0.6,4.62905464006938,12.5539091015878,5.14936721532744e-23,3.38313426047012e-20,2.91255436880976e-20,"AT3G49910/AT3G55750/AT2G18020/AT3G05560/AT3G53020/AT4G00810/AT4G36130/AT2G36620/AT5G27770/AT1G67430/AT1G41880/AT1G72370/AT4G17390/AT1G18540/AT4G16720/AT5G47700/AT1G01100/AT5G56710/AT3G06680/AT3G09200/AT2G40010/AT3G11250/AT3G44590/AT5G67510/AT1G74050/AT1G33140/AT2G27710/AT1G27400/AT3G06700/AT1G74060/AT5G02450/AT1G72730/AT3G53740/AT1G74270/AT5G58240/AT1G09150/AT4G10450/AT1G07070/AT2G27720/AT4G26230/AT3G43980/AT3G04770/AT2G46280/AT1G12920/AT3G13920/AT2G37600/AT3G02200/AT5G11900",48
"GO:0019684","photosynthesis, light reaction","67/2306","153/17791",0.437908496732026,3.37850393120532,11.4021550009934,3.70349818908497e-21,1.52381936473338e-18,1.31186243475137e-18,"AT2G20890/AT4G02530/AT3G54050/AT1G45474/AT4G15510/AT4G30950/AT1G73060/AT4G03280/AT4G21280/AT1G54500/AT1G64150/AT4G35250/AT2G34860/AT3G21200/AT5G52100/AT4G33520/AT1G60950/AT1G05385/AT1G03600/AT5G64040/AT5G66570/AT3G50820/AT4G01050/AT5G02120/AT2G40100/AT1G06680/AT1G55480/AT5G39830/AT4G09650/AT2G47940/AT4G05180/AT3G55250/AT1G22700/AT5G01530/AT1G55370/AT1G15980/AT1G79040/AT3G15850/AT3G08010/AT1G64770/AT1G19150/AT3G61470/AT3G16250/AT1G14150/AT1G08380/AT3G60370/AT1G15820/AT2G46820/AT4G10340/AT1G61520/AT4G04640/AT5G01920/AT1G29930/AT1G18730/AT2G30570/AT3G54890/AT1G67740/AT2G45770/AT5G35220/AT1G16720/AT5G66190/AT4G33470/AT1G54780/AT1G55670/AT1G70760/AT4G20190/AT2G05620",67
"GO:0022613","ribonucleoprotein complex biogenesis","122/2306","395/17791",0.308860759493671,2.38288888644922,10.7256385036216,3.86559960612222e-21,1.52381936473338e-18,1.31186243475137e-18,"AT1G09340/AT3G49910/AT3G53890/AT1G04270/AT5G18380/AT3G55750/AT2G47610/AT1G69620/AT5G15200/AT3G02080/AT4G27090/AT2G43460/AT3G09500/AT2G36160/AT5G64140/AT5G39740/AT3G52150/AT1G41880/AT3G28900/AT5G61170/AT3G63140/AT1G72370/AT1G18080/AT5G20290/AT5G16130/AT4G24770/AT2G37270/AT2G39390/AT3G52580/AT1G70070/AT5G27700/AT2G01250/AT3G24506/AT2G32060/AT3G09200/AT2G40010/AT5G47930/AT3G11250/AT3G02560/AT5G67510/AT3G11510/AT3G62870/AT3G61110/AT2G44120/AT3G25520/AT1G48630/AT3G12930/AT1G54385/AT5G18570/AT1G29250/AT1G26880/AT2G09990/AT5G09510/AT3G11940/AT5G02610/AT5G46420/AT1G12650/AT2G33800/AT3G13740/AT1G74270/AT4G30330/AT1G09150/AT5G51140/AT4G25630/AT1G01860/AT2G20450/AT2G20490/AT2G34160/AT2G25870/AT4G30220/AT3G46630/AT1G07070/AT1G70200/AT1G01080/AT4G34730/AT3G03920/AT5G06360/AT5G53770/AT1G60230/AT2G32415/AT1G15930/AT4G21770/AT3G55510/AT5G27990/AT1G12800/AT3G04770/AT3G55170/AT2G23930/AT4G02840/AT4G12600/AT1G25260/AT2G37220/AT5G08180/AT3G23700/AT3G52380/AT5G25080/AT1G60000/AT1G45230/AT2G43810/AT3G49180/AT2G47640/AT4G32720/AT5G14520/AT5G55190/AT5G20160/AT3G18600/AT3G07170/AT5G10620/AT1G13160/AT3G28460/AT5G05210/AT3G17170/AT4G04940/AT5G66470/AT2G45710/AT2G17250/AT3G09720/AT5G67240/AT3G53460/AT1G52930/AT1G22270/AT5G11900",122
"GO:0007017","microtubule-based process","83/2306","239/17791",0.347280334728033,2.67929940812942,10.0861587857783,3.53955295158453e-18,1.16274314459552e-15,1.00101041367619e-15,"AT1G75640/AT3G05330/AT5G48520/AT2G47500/AT5G54670/AT2G28620/AT5G15600/AT1G70340/AT2G25880/AT1G11160/AT1G18550/AT2G29550/AT5G19780/AT3G10310/AT1G23790/AT5G19770/AT1G18370/AT4G15830/AT2G44190/AT4G38950/AT5G18700/AT5G02370/AT5G65930/AT3G49260/AT1G03780/AT5G62690/AT4G26760/AT5G15510/AT5G51600/AT1G72250/AT5G27550/AT3G23670/AT4G14150/AT4G21820/AT3G58650/AT4G14330/AT4G18570/AT4G32830/AT2G22610/AT1G20090/AT4G22860/AT5G44340/AT5G60930/AT1G50010/AT3G44200/AT4G14960/AT4G05190/AT2G18990/AT1G59540/AT4G11990/AT5G67270/AT3G19570/AT3G23090/AT5G55280/AT5G23290/AT5G66410/AT3G06030/AT3G47690/AT5G14790/AT4G09550/AT1G20060/AT1G73860/AT4G16340/AT3G51150/AT5G06670/AT3G01015/AT5G17410/AT1G04820/AT3G20150/AT3G60840/AT2G36200/AT5G23430/AT4G32330/AT2G37420/AT1G69230/AT5G62700/AT5G27950/AT3G17360/AT3G43610/AT1G80350/AT3G19050/AT3G22480/AT5G17620",83
"GO:0009657","plastid organization","87/2306","291/17791",0.298969072164948,2.30657361790399,8.67208199661339,1.64279616258938e-14,4.62564462351954e-12,3.98223671292344e-12,"AT3G54710/AT1G09340/AT3G53890/AT2G20890/AT2G31270/AT1G49510/AT2G38140/AT3G51720/AT3G63140/AT1G11870/AT1G74730/AT3G24506/AT2G07050/AT5G21920/AT1G11750/AT1G35680/AT1G32080/AT2G21280/AT4G20360/AT3G56910/AT1G01790/AT1G68590/AT5G18570/AT2G34860/AT1G06950/AT5G46290/AT1G50900/AT2G33800/AT4G35080/AT4G37650/AT4G23940/AT5G53860/AT3G63190/AT3G29185/AT5G67385/AT2G28000/AT5G58784/AT2G47940/AT2G25870/AT1G44000/AT5G19620/AT3G46630/AT2G01110/AT1G62750/AT5G54600/AT5G22640/AT5G08050/AT1G70200/AT4G16390/AT1G08540/AT2G28800/AT3G46740/AT1G63680/AT1G44575/AT5G24314/AT3G12780/AT2G03050/AT5G14100/AT2G21170/AT4G20130/AT3G08010/AT5G64050/AT1G28530/AT3G19570/AT3G07430/AT1G10910/AT5G55280/AT5G23040/AT2G46820/AT3G47450/AT4G34090/AT5G24020/AT2G23400/AT1G21600/AT5G22830/AT1G45230/AT2G30170/AT5G42880/AT1G69200/AT2G45770/AT3G45780/AT3G47390/AT5G35220/AT4G38160/AT3G58830/AT1G30610/AT3G54090",87
"GO:0000278","mitotic cell cycle","78/2306","259/17791",0.301158301158301,2.32346371895375,8.27957819093102,2.46516682901824e-13,5.42025671704795e-11,4.66632157220823e-11,"AT3G54710/AT2G31270/AT2G29680/AT3G05330/AT3G14190/AT2G01210/AT2G28620/AT2G25880/AT3G25100/AT1G16330/AT2G29550/AT5G67260/AT5G19780/AT5G06150/AT4G15290/AT5G43070/AT4G14700/AT2G33560/AT5G18700/AT1G02730/AT1G44110/AT1G03780/AT1G50490/AT3G19590/AT1G63100/AT5G62690/AT5G05510/AT2G26760/AT4G37650/AT4G35620/AT2G32610/AT5G15510/AT1G48270/AT3G11520/AT1G47210/AT3G23670/AT4G14150/AT4G21820/AT3G58650/AT1G22920/AT4G32830/AT4G22860/AT5G44340/AT5G60930/AT2G17620/AT1G50010/AT2G20000/AT4G14960/AT4G11990/AT5G54260/AT2G16440/AT1G76310/AT3G57060/AT4G09550/AT1G03180/AT3G59550/AT1G20610/AT1G09450/AT1G14750/AT3G01015/AT5G17410/AT3G25980/AT1G15570/AT2G32590/AT2G36200/AT1G07270/AT1G20930/AT2G20635/AT2G37420/AT5G37630/AT3G17360/AT3G43610/AT1G47200/AT3G50070/AT3G19050/AT2G39090/AT4G03270/AT5G12360",78
"GO:0006364","rRNA processing","72/2306","230/17791",0.31304347826087,2.4151589426449,8.3359775690877,2.47500306714518e-13,5.42025671704795e-11,4.66632157220823e-11,"AT1G09340/AT3G53890/AT5G18380/AT2G47610/AT3G09500/AT5G64140/AT3G52150/AT3G63140/AT5G20290/AT5G16130/AT4G24770/AT2G39390/AT1G70070/AT5G27700/AT2G01250/AT3G24506/AT3G02560/AT3G62870/AT2G44120/AT5G18570/AT1G29250/AT2G09990/AT5G02610/AT5G46420/AT1G12650/AT2G33800/AT3G13740/AT5G51140/AT4G25630/AT1G01860/AT2G20490/AT2G34160/AT2G25870/AT3G46630/AT1G70200/AT1G01080/AT3G03920/AT5G06360/AT5G53770/AT1G60230/AT2G32415/AT4G21770/AT5G27990/AT1G12800/AT3G55170/AT4G12600/AT1G25260/AT2G37220/AT5G08180/AT3G23700/AT3G52380/AT5G25080/AT1G60000/AT1G45230/AT2G43810/AT3G49180/AT4G32720/AT5G14520/AT5G20160/AT3G18600/AT3G07170/AT5G10620/AT3G28460/AT3G17170/AT4G04940/AT5G66470/AT2G17250/AT3G09720/AT5G67240/AT3G53460/AT1G52930/AT1G22270",72
"GO:0000226","microtubule cytoskeleton organization","62/2306","191/17791",0.324607329842932,2.50437511068326,8.06637689047115,1.92940318306997e-12,3.74526479014766e-10,3.22431404935674e-10,"AT1G75640/AT3G05330/AT5G48520/AT5G54670/AT2G28620/AT5G15600/AT1G70340/AT2G25880/AT1G11160/AT2G29550/AT5G19780/AT1G23790/AT4G15830/AT2G44190/AT5G18700/AT5G65930/AT3G49260/AT1G03780/AT5G62690/AT4G26760/AT5G15510/AT5G51600/AT5G27550/AT3G23670/AT4G14150/AT4G21820/AT3G58650/AT4G18570/AT4G32830/AT1G20090/AT4G22860/AT5G44340/AT5G60930/AT1G50010/AT3G44200/AT4G14960/AT4G05190/AT2G18990/AT4G11990/AT5G67270/AT3G19570/AT3G23090/AT5G23290/AT5G66410/AT3G06030/AT3G47690/AT5G14790/AT4G09550/AT4G16340/AT3G01015/AT5G17410/AT3G60840/AT2G36200/AT5G23430/AT4G32330/AT2G37420/AT1G69230/AT3G43610/AT1G80350/AT3G19050/AT3G22480/AT5G17620",62
