"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042742","defense response to bacterium","193/2845","427/17791",0.451990632318501,2.82649045327889,16.6676002505638,3.68898007626186e-47,7.55503119618428e-44,6.59356649420277e-44,"AT2G46400/AT5G49520/AT5G26920/AT3G10930/AT5G39670/AT5G14930/AT4G23140/AT3G56400/AT1G31280/AT1G73805/AT4G23190/AT3G09830/AT2G38470/AT4G12720/AT3G56710/AT4G16890/AT1G80840/AT1G33560/AT5G11410/AT1G19250/AT4G02410/AT5G04720/AT4G23810/AT5G13320/AT5G25440/AT5G27420/AT3G44670/AT5G44070/AT3G48090/AT5G20010/AT4G26120/AT2G23150/AT2G39660/AT3G50950/AT1G18570/AT5G48380/AT3G59700/AT5G64810/AT1G33970/AT5G57220/AT5G46470/AT3G53810/AT1G14370/AT5G47220/AT1G02450/AT3G44260/AT3G49120/AT5G24210/AT2G30750/AT4G33300/AT5G06320/AT2G40750/AT2G32680/AT5G44568/AT3G57330/AT4G23180/AT5G45110/AT5G52640/AT3G28940/AT1G19180/AT4G34390/AT1G51890/AT5G66210/AT3G28930/AT5G22250/AT1G07000/AT4G23160/AT3G52430/AT5G48650/AT5G22540/AT4G23210/AT2G23810/AT3G50260/AT5G62570/AT4G35580/AT4G28490/AT5G01540/AT1G10170/AT4G23150/AT4G11850/AT3G20600/AT4G23230/AT1G66700/AT2G22300/AT4G11470/AT3G28450/AT4G23130/AT4G28460/AT4G26070/AT4G14400/AT3G45860/AT5G05300/AT3G15210/AT5G01550/AT4G31800/AT2G42010/AT2G37710/AT4G23310/AT2G05940/AT3G05200/AT5G22570/AT1G12220/AT1G08450/AT4G22305/AT4G39030/AT3G21630/AT1G59870/AT3G49110/AT2G44490/AT4G28350/AT4G23200/AT1G02120/AT2G27080/AT5G13160/AT5G45250/AT2G40000/AT5G46330/AT5G65600/AT5G24530/AT1G22070/AT5G58430/AT1G74710/AT2G47130/AT4G23280/AT3G14130/AT2G39260/AT4G26750/AT3G14460/AT2G34690/AT1G64280/AT3G46510/AT4G31550/AT5G45060/AT1G51800/AT1G32230/AT5G01900/AT4G33430/AT2G25000/AT1G59820/AT5G59890/AT2G39940/AT1G32960/AT1G77920/AT5G45260/AT4G23260/AT1G08720/AT3G10525/AT4G04960/AT5G46180/AT1G17750/AT5G67330/AT1G66340/AT1G28520/AT3G23400/AT3G45330/AT2G39770/AT3G12620/AT1G33980/AT1G70690/AT5G64440/AT1G55020/AT2G43120/AT3G08870/AT5G02310/AT4G23100/AT3G54640/AT1G22890/AT1G79380/AT3G01420/AT5G40440/AT1G48490/AT1G70130/AT5G45050/AT4G12480/AT5G46050/AT4G20400/AT4G03960/AT4G23270/AT4G29050/AT1G60490/AT4G03550/AT5G67300/AT3G20770/AT5G44585/AT2G28830/AT1G33520/AT3G48880/AT5G28040/AT1G22885/AT1G16540/AT3G25070/AT5G66850/AT2G19190",193
"GO:0071456","cellular response to hypoxia","133/2845","238/17791",0.558823529411765,3.49456218339708,16.9033878643,1.12955475999922e-45,1.1566640742392e-42,1.00946525393615e-42,"AT2G46400/AT5G26920/AT3G25250/AT5G42050/AT3G46080/AT1G27730/AT5G25250/AT5G59820/AT3G56400/AT5G19240/AT5G42380/AT4G12720/AT1G59660/AT1G76680/AT1G26380/AT1G19250/AT1G17290/AT1G73500/AT2G40140/AT1G19020/AT1G23710/AT3G08720/AT5G19550/AT1G72900/AT5G27420/AT2G32210/AT2G13790/AT1G57630/AT1G72920/AT5G54490/AT1G63090/AT5G63790/AT3G55980/AT5G57220/AT2G22500/AT5G58070/AT4G24160/AT4G20860/AT2G32200/AT1G66090/AT5G06320/AT2G46500/AT4G29780/AT4G13395/AT3G46090/AT4G17230/AT4G27280/AT4G24570/AT5G45340/AT5G04340/AT4G23570/AT1G07135/AT5G03380/AT1G05880/AT1G66880/AT2G26560/AT5G64905/AT2G36800/AT1G72910/AT1G25560/AT1G14540/AT5G47910/AT3G56880/AT1G72940/AT4G34150/AT1G66180/AT1G09070/AT3G04640/AT1G76600/AT5G58120/AT3G52800/AT2G26190/AT5G66650/AT5G13190/AT2G41100/AT1G61340/AT4G01360/AT5G35735/AT2G41010/AT5G57510/AT2G23270/AT5G24590/AT1G68690/AT1G76650/AT5G12030/AT4G26270/AT4G19880/AT2G36460/AT3G15210/AT1G15010/AT1G50740/AT4G22780/AT5G45630/AT1G01720/AT2G47730/AT4G24110/AT5G63130/AT1G59860/AT1G21550/AT5G20230/AT2G36220/AT2G41090/AT4G19520/AT2G01180/AT1G69890/AT2G40000/AT2G16060/AT5G24530/AT1G07870/AT2G25735/AT4G34131/AT1G30040/AT4G33070/AT5G57560/AT5G64260/AT1G32928/AT1G02360/AT3G18290/AT1G18300/AT3G24500/AT4G11660/AT5G05410/AT4G30280/AT4G30370/AT1G14550/AT2G36580/AT1G68840/AT2G14247/AT3G14100/AT1G53620/AT1G68620/AT4G01250/AT1G78850",133
"GO:0036294","cellular response to decreased oxygen levels","133/2845","240/17791",0.554166666666667,3.46544083186878,16.777061346004,4.09669149095255e-45,2.0975060433677e-42,1.8305742504309e-42,"AT2G46400/AT5G26920/AT3G25250/AT5G42050/AT3G46080/AT1G27730/AT5G25250/AT5G59820/AT3G56400/AT5G19240/AT5G42380/AT4G12720/AT1G59660/AT1G76680/AT1G26380/AT1G19250/AT1G17290/AT1G73500/AT2G40140/AT1G19020/AT1G23710/AT3G08720/AT5G19550/AT1G72900/AT5G27420/AT2G32210/AT2G13790/AT1G57630/AT1G72920/AT5G54490/AT1G63090/AT5G63790/AT3G55980/AT5G57220/AT2G22500/AT5G58070/AT4G24160/AT4G20860/AT2G32200/AT1G66090/AT5G06320/AT2G46500/AT4G29780/AT4G13395/AT3G46090/AT4G17230/AT4G27280/AT4G24570/AT5G45340/AT5G04340/AT4G23570/AT1G07135/AT5G03380/AT1G05880/AT1G66880/AT2G26560/AT5G64905/AT2G36800/AT1G72910/AT1G25560/AT1G14540/AT5G47910/AT3G56880/AT1G72940/AT4G34150/AT1G66180/AT1G09070/AT3G04640/AT1G76600/AT5G58120/AT3G52800/AT2G26190/AT5G66650/AT5G13190/AT2G41100/AT1G61340/AT4G01360/AT5G35735/AT2G41010/AT5G57510/AT2G23270/AT5G24590/AT1G68690/AT1G76650/AT5G12030/AT4G26270/AT4G19880/AT2G36460/AT3G15210/AT1G15010/AT1G50740/AT4G22780/AT5G45630/AT1G01720/AT2G47730/AT4G24110/AT5G63130/AT1G59860/AT1G21550/AT5G20230/AT2G36220/AT2G41090/AT4G19520/AT2G01180/AT1G69890/AT2G40000/AT2G16060/AT5G24530/AT1G07870/AT2G25735/AT4G34131/AT1G30040/AT4G33070/AT5G57560/AT5G64260/AT1G32928/AT1G02360/AT3G18290/AT1G18300/AT3G24500/AT4G11660/AT5G05410/AT4G30280/AT4G30370/AT1G14550/AT2G36580/AT1G68840/AT2G14247/AT3G14100/AT1G53620/AT1G68620/AT4G01250/AT1G78850",133
"GO:0071453","cellular response to oxygen levels","133/2845","240/17791",0.554166666666667,3.46544083186878,16.777061346004,4.09669149095255e-45,2.0975060433677e-42,1.8305742504309e-42,"AT2G46400/AT5G26920/AT3G25250/AT5G42050/AT3G46080/AT1G27730/AT5G25250/AT5G59820/AT3G56400/AT5G19240/AT5G42380/AT4G12720/AT1G59660/AT1G76680/AT1G26380/AT1G19250/AT1G17290/AT1G73500/AT2G40140/AT1G19020/AT1G23710/AT3G08720/AT5G19550/AT1G72900/AT5G27420/AT2G32210/AT2G13790/AT1G57630/AT1G72920/AT5G54490/AT1G63090/AT5G63790/AT3G55980/AT5G57220/AT2G22500/AT5G58070/AT4G24160/AT4G20860/AT2G32200/AT1G66090/AT5G06320/AT2G46500/AT4G29780/AT4G13395/AT3G46090/AT4G17230/AT4G27280/AT4G24570/AT5G45340/AT5G04340/AT4G23570/AT1G07135/AT5G03380/AT1G05880/AT1G66880/AT2G26560/AT5G64905/AT2G36800/AT1G72910/AT1G25560/AT1G14540/AT5G47910/AT3G56880/AT1G72940/AT4G34150/AT1G66180/AT1G09070/AT3G04640/AT1G76600/AT5G58120/AT3G52800/AT2G26190/AT5G66650/AT5G13190/AT2G41100/AT1G61340/AT4G01360/AT5G35735/AT2G41010/AT5G57510/AT2G23270/AT5G24590/AT1G68690/AT1G76650/AT5G12030/AT4G26270/AT4G19880/AT2G36460/AT3G15210/AT1G15010/AT1G50740/AT4G22780/AT5G45630/AT1G01720/AT2G47730/AT4G24110/AT5G63130/AT1G59860/AT1G21550/AT5G20230/AT2G36220/AT2G41090/AT4G19520/AT2G01180/AT1G69890/AT2G40000/AT2G16060/AT5G24530/AT1G07870/AT2G25735/AT4G34131/AT1G30040/AT4G33070/AT5G57560/AT5G64260/AT1G32928/AT1G02360/AT3G18290/AT1G18300/AT3G24500/AT4G11660/AT5G05410/AT4G30280/AT4G30370/AT1G14550/AT2G36580/AT1G68840/AT2G14247/AT3G14100/AT1G53620/AT1G68620/AT4G01250/AT1G78850",133
"GO:0001666","response to hypoxia","141/2845","268/17791",0.526119402985075,3.29004931406238,16.4806608224262,3.39970578810211e-44,1.39251949080662e-41,1.21530535330471e-41,"AT2G46400/AT5G26920/AT3G25250/AT5G42050/AT3G46080/AT1G27730/AT5G25250/AT5G59820/AT3G56400/AT5G19240/AT5G42380/AT4G12720/AT1G59660/AT1G76680/AT1G26380/AT1G19250/AT1G17290/AT1G73500/AT2G40140/AT1G19020/AT1G23710/AT3G08720/AT5G19550/AT1G72900/AT5G27420/AT2G32210/AT2G13790/AT1G57630/AT3G48090/AT1G72920/AT5G54490/AT1G63090/AT5G63790/AT3G55980/AT5G57220/AT2G22500/AT5G58070/AT4G24160/AT4G20860/AT2G32200/AT1G66090/AT5G06320/AT2G46500/AT4G29780/AT4G13395/AT1G72330/AT3G46090/AT4G17230/AT4G27280/AT4G24570/AT5G45340/AT5G04340/AT4G23570/AT1G07135/AT5G03380/AT1G05880/AT1G66880/AT2G26560/AT5G64905/AT2G36800/AT1G72910/AT1G25560/AT1G14540/AT5G47910/AT3G56880/AT1G72940/AT4G34150/AT1G66180/AT3G52430/AT1G09070/AT3G04640/AT1G76600/AT5G58120/AT3G52800/AT2G26190/AT5G66650/AT5G13190/AT2G41100/AT1G61340/AT4G01360/AT5G35735/AT2G41010/AT5G57510/AT2G23270/AT5G24590/AT1G68690/AT1G76650/AT5G12030/AT4G26270/AT4G19880/AT2G36460/AT3G15210/AT1G15010/AT1G50740/AT4G22780/AT5G45630/AT1G01720/AT2G47730/AT4G24110/AT5G63130/AT1G59860/AT1G21550/AT5G20230/AT2G36220/AT2G41090/AT4G19520/AT2G01180/AT1G69890/AT2G40000/AT2G16060/AT5G24530/AT1G07870/AT2G25735/AT4G34131/AT1G64280/AT1G30040/AT4G33070/AT5G57560/AT5G64260/AT1G32928/AT1G02360/AT3G18290/AT1G18300/AT3G24500/AT4G11660/AT5G05410/AT4G27780/AT4G30280/AT4G30370/AT1G14550/AT2G36580/AT5G03730/AT1G68840/AT2G14247/AT3G16770/AT3G14100/AT1G53620/AT1G68620/AT3G20770/AT4G01250/AT1G78850",141
"GO:0036293","response to decreased oxygen levels","141/2845","272/17791",0.518382352941177,3.2416662359144,16.2542661488605,3.3310416688438e-43,1.13699555629868e-40,9.9229978135031e-41,"AT2G46400/AT5G26920/AT3G25250/AT5G42050/AT3G46080/AT1G27730/AT5G25250/AT5G59820/AT3G56400/AT5G19240/AT5G42380/AT4G12720/AT1G59660/AT1G76680/AT1G26380/AT1G19250/AT1G17290/AT1G73500/AT2G40140/AT1G19020/AT1G23710/AT3G08720/AT5G19550/AT1G72900/AT5G27420/AT2G32210/AT2G13790/AT1G57630/AT3G48090/AT1G72920/AT5G54490/AT1G63090/AT5G63790/AT3G55980/AT5G57220/AT2G22500/AT5G58070/AT4G24160/AT4G20860/AT2G32200/AT1G66090/AT5G06320/AT2G46500/AT4G29780/AT4G13395/AT1G72330/AT3G46090/AT4G17230/AT4G27280/AT4G24570/AT5G45340/AT5G04340/AT4G23570/AT1G07135/AT5G03380/AT1G05880/AT1G66880/AT2G26560/AT5G64905/AT2G36800/AT1G72910/AT1G25560/AT1G14540/AT5G47910/AT3G56880/AT1G72940/AT4G34150/AT1G66180/AT3G52430/AT1G09070/AT3G04640/AT1G76600/AT5G58120/AT3G52800/AT2G26190/AT5G66650/AT5G13190/AT2G41100/AT1G61340/AT4G01360/AT5G35735/AT2G41010/AT5G57510/AT2G23270/AT5G24590/AT1G68690/AT1G76650/AT5G12030/AT4G26270/AT4G19880/AT2G36460/AT3G15210/AT1G15010/AT1G50740/AT4G22780/AT5G45630/AT1G01720/AT2G47730/AT4G24110/AT5G63130/AT1G59860/AT1G21550/AT5G20230/AT2G36220/AT2G41090/AT4G19520/AT2G01180/AT1G69890/AT2G40000/AT2G16060/AT5G24530/AT1G07870/AT2G25735/AT4G34131/AT1G64280/AT1G30040/AT4G33070/AT5G57560/AT5G64260/AT1G32928/AT1G02360/AT3G18290/AT1G18300/AT3G24500/AT4G11660/AT5G05410/AT4G27780/AT4G30280/AT4G30370/AT1G14550/AT2G36580/AT5G03730/AT1G68840/AT2G14247/AT3G16770/AT3G14100/AT1G53620/AT1G68620/AT3G20770/AT4G01250/AT1G78850",141
"GO:0070482","response to oxygen levels","141/2845","273/17791",0.516483516483517,3.22979200061801,16.1983223049451,5.83492045826468e-43,1.70713101407515e-40,1.48987893806518e-40,"AT2G46400/AT5G26920/AT3G25250/AT5G42050/AT3G46080/AT1G27730/AT5G25250/AT5G59820/AT3G56400/AT5G19240/AT5G42380/AT4G12720/AT1G59660/AT1G76680/AT1G26380/AT1G19250/AT1G17290/AT1G73500/AT2G40140/AT1G19020/AT1G23710/AT3G08720/AT5G19550/AT1G72900/AT5G27420/AT2G32210/AT2G13790/AT1G57630/AT3G48090/AT1G72920/AT5G54490/AT1G63090/AT5G63790/AT3G55980/AT5G57220/AT2G22500/AT5G58070/AT4G24160/AT4G20860/AT2G32200/AT1G66090/AT5G06320/AT2G46500/AT4G29780/AT4G13395/AT1G72330/AT3G46090/AT4G17230/AT4G27280/AT4G24570/AT5G45340/AT5G04340/AT4G23570/AT1G07135/AT5G03380/AT1G05880/AT1G66880/AT2G26560/AT5G64905/AT2G36800/AT1G72910/AT1G25560/AT1G14540/AT5G47910/AT3G56880/AT1G72940/AT4G34150/AT1G66180/AT3G52430/AT1G09070/AT3G04640/AT1G76600/AT5G58120/AT3G52800/AT2G26190/AT5G66650/AT5G13190/AT2G41100/AT1G61340/AT4G01360/AT5G35735/AT2G41010/AT5G57510/AT2G23270/AT5G24590/AT1G68690/AT1G76650/AT5G12030/AT4G26270/AT4G19880/AT2G36460/AT3G15210/AT1G15010/AT1G50740/AT4G22780/AT5G45630/AT1G01720/AT2G47730/AT4G24110/AT5G63130/AT1G59860/AT1G21550/AT5G20230/AT2G36220/AT2G41090/AT4G19520/AT2G01180/AT1G69890/AT2G40000/AT2G16060/AT5G24530/AT1G07870/AT2G25735/AT4G34131/AT1G64280/AT1G30040/AT4G33070/AT5G57560/AT5G64260/AT1G32928/AT1G02360/AT3G18290/AT1G18300/AT3G24500/AT4G11660/AT5G05410/AT4G27780/AT4G30280/AT4G30370/AT1G14550/AT2G36580/AT5G03730/AT1G68840/AT2G14247/AT3G16770/AT3G14100/AT1G53620/AT1G68620/AT3G20770/AT4G01250/AT1G78850",141
"GO:0002376","immune system process","161/2845","345/17791",0.466666666666667,2.91826596367897,15.6977372290103,1.31580531721639e-41,3.36846161207396e-39,2.93978609030715e-39,"AT3G50930/AT4G23140/AT4G11890/AT3G56400/AT4G23190/AT3G09830/AT4G12720/AT4G16890/AT5G61010/AT5G11410/AT1G19250/AT5G47070/AT3G46530/AT4G37290/AT1G61460/AT5G13320/AT5G25440/AT3G44670/AT2G13790/AT3G48090/AT1G44830/AT1G09970/AT2G39660/AT3G50950/AT1G18570/AT5G48380/AT5G57220/AT5G47220/AT3G49120/AT2G30750/AT1G61360/AT2G32680/AT2G33580/AT3G52400/AT1G56120/AT1G64300/AT4G23180/AT5G45110/AT3G16030/AT4G34390/AT3G11840/AT2G26560/AT5G64905/AT3G11820/AT4G00970/AT5G61900/AT1G11330/AT1G72940/AT4G23160/AT2G37150/AT3G52430/AT4G23210/AT1G67470/AT4G04540/AT2G02220/AT5G20480/AT1G28380/AT2G35930/AT5G01540/AT5G13190/AT4G23150/AT5G54610/AT4G11850/AT3G20600/AT4G23230/AT2G23270/AT4G11470/AT1G65790/AT4G21380/AT3G28450/AT5G03320/AT4G23130/AT4G28460/AT3G45860/AT1G61380/AT5G05300/AT4G04500/AT3G15210/AT1G29690/AT3G29400/AT3G07040/AT4G04490/AT4G23310/AT1G11960/AT5G50440/AT1G12220/AT1G08450/AT4G22305/AT4G39030/AT3G21630/AT1G59870/AT3G49110/AT4G24290/AT5G44870/AT4G21390/AT4G29040/AT2G44490/AT4G23200/AT2G14610/AT5G13160/AT5G45250/AT5G46330/AT5G65600/AT5G20320/AT5G58430/AT1G29340/AT5G01950/AT4G23280/AT4G31300/AT3G18690/AT1G64280/AT3G46510/AT1G17980/AT4G31550/AT5G45060/AT1G67520/AT5G43470/AT3G04210/AT5G37770/AT4G33430/AT5G59890/AT4G25230/AT1G32960/AT4G17720/AT5G45260/AT3G54420/AT4G23260/AT3G21220/AT1G17600/AT3G53160/AT4G04510/AT4G04570/AT5G46180/AT3G28690/AT3G52450/AT1G53440/AT3G23780/AT1G56140/AT1G61610/AT3G21650/AT1G73080/AT5G40440/AT5G45050/AT4G12480/AT1G61420/AT5G49780/AT4G23270/AT1G72840/AT1G11300/AT1G61370/AT4G03550/AT4G27300/AT4G37990/AT1G80680/AT4G21410/AT2G28830/AT1G33520/AT3G14840/AT3G25070/AT5G66850/AT1G14780",161
"GO:0006955","immune response","158/2845","341/17791",0.463343108504399,2.89748233511485,15.4356113758546,2.31636714217455e-40,5.27102211908165e-38,4.60022386831859e-38,"AT3G50930/AT4G23140/AT4G11890/AT3G56400/AT4G23190/AT3G09830/AT4G12720/AT4G16890/AT5G61010/AT5G11410/AT1G19250/AT5G47070/AT3G46530/AT4G37290/AT1G61460/AT5G13320/AT5G25440/AT3G44670/AT2G13790/AT3G48090/AT1G44830/AT1G09970/AT2G39660/AT3G50950/AT1G18570/AT5G48380/AT5G57220/AT5G47220/AT3G49120/AT2G30750/AT1G61360/AT2G32680/AT2G33580/AT3G52400/AT1G56120/AT1G64300/AT4G23180/AT5G45110/AT3G16030/AT4G34390/AT2G26560/AT5G64905/AT3G11820/AT4G00970/AT5G61900/AT1G11330/AT1G72940/AT4G23160/AT2G37150/AT3G52430/AT4G23210/AT1G67470/AT4G04540/AT2G02220/AT5G20480/AT1G28380/AT5G01540/AT5G13190/AT4G23150/AT5G54610/AT4G11850/AT3G20600/AT4G23230/AT2G23270/AT4G11470/AT1G65790/AT4G21380/AT3G28450/AT5G03320/AT4G23130/AT4G28460/AT3G45860/AT1G61380/AT5G05300/AT4G04500/AT3G15210/AT1G29690/AT3G29400/AT3G07040/AT4G04490/AT4G23310/AT1G11960/AT5G50440/AT1G12220/AT1G08450/AT4G22305/AT4G39030/AT3G21630/AT1G59870/AT3G49110/AT4G24290/AT5G44870/AT4G21390/AT4G29040/AT2G44490/AT4G23200/AT2G14610/AT5G13160/AT5G45250/AT5G46330/AT5G65600/AT5G20320/AT5G58430/AT1G29340/AT5G01950/AT4G23280/AT4G31300/AT3G18690/AT1G64280/AT3G46510/AT1G17980/AT4G31550/AT5G45060/AT1G67520/AT5G43470/AT3G04210/AT5G37770/AT4G33430/AT5G59890/AT4G25230/AT1G32960/AT4G17720/AT5G45260/AT3G54420/AT4G23260/AT3G21220/AT1G17600/AT3G53160/AT4G04510/AT4G04570/AT5G46180/AT3G28690/AT1G53440/AT3G23780/AT1G56140/AT1G61610/AT3G21650/AT1G73080/AT5G40440/AT5G45050/AT4G12480/AT1G61420/AT5G49780/AT4G23270/AT1G72840/AT1G11300/AT1G61370/AT4G03550/AT4G27300/AT4G37990/AT1G80680/AT4G21410/AT2G28830/AT1G33520/AT3G14840/AT3G25070/AT5G66850/AT1G14780",158
"GO:0140546","defense response to symbiont","170/2845","412/17791",0.412621359223301,2.58029757537496,14.1592976253767,2.22534272429305e-35,4.55750189935216e-33,3.97750731142063e-33,"AT5G26920/AT3G50930/AT5G14930/AT4G23140/AT2G18660/AT3G56400/AT1G31280/AT1G73805/AT4G23190/AT3G09830/AT2G38470/AT4G12720/AT4G16890/AT1G80840/AT1G19250/AT5G47070/AT3G46530/AT4G23170/AT4G37290/AT1G61460/AT5G13320/AT3G44670/AT2G13790/AT3G48090/AT1G44830/AT1G09970/AT4G26120/AT5G03350/AT2G39660/AT1G18570/AT5G48380/AT5G57220/AT5G10760/AT5G47220/AT2G43570/AT1G02450/AT3G49120/AT3G26830/AT5G55450/AT2G30750/AT1G61360/AT5G06320/AT2G32680/AT2G33580/AT3G52400/AT1G56120/AT3G57260/AT1G64300/AT4G23180/AT5G45110/AT3G16030/AT4G34390/AT2G26560/AT5G64905/AT3G11820/AT5G61900/AT1G72940/AT1G65390/AT4G23160/AT3G52430/AT4G23210/AT2G02220/AT5G20480/AT1G28380/AT5G01540/AT5G13190/AT4G23150/AT5G54610/AT4G11850/AT3G25882/AT3G20600/AT4G23230/AT2G35980/AT2G23270/AT5G24590/AT4G11470/AT1G31290/AT3G28450/AT5G03320/AT4G23130/AT4G28460/AT3G45860/AT1G61380/AT5G05300/AT3G15210/AT4G31800/AT1G29690/AT5G52810/AT3G07040/AT4G23310/AT1G11960/AT5G50440/AT1G12220/AT1G08450/AT4G22305/AT4G39030/AT3G21630/AT1G59870/AT3G49110/AT4G24290/AT5G44870/AT4G29040/AT2G44490/AT4G23200/AT2G14610/AT5G13160/AT4G01895/AT5G45250/AT5G46330/AT5G55460/AT5G65600/AT1G22070/AT5G20320/AT1G29340/AT5G01950/AT1G74710/AT4G23280/AT4G31300/AT3G18690/AT1G64280/AT1G17980/AT4G31550/AT5G45060/AT1G67520/AT5G43470/AT3G04210/AT5G37770/AT4G33430/AT5G59890/AT4G25230/AT4G01370/AT2G39940/AT1G32960/AT4G17720/AT5G45260/AT3G54420/AT4G23260/AT3G21220/AT1G17600/AT3G53160/AT1G05760/AT5G46180/AT3G28690/AT1G66340/AT1G53440/AT5G60410/AT1G56140/AT3G21650/AT1G73080/AT3G01420/AT5G40440/AT5G45050/AT4G12480/AT1G61420/AT4G20400/AT5G49780/AT4G23270/AT1G72840/AT1G61370/AT4G03550/AT4G37990/AT1G75040/AT1G80680/AT3G20250/AT1G33520/AT3G14840/AT2G21120/AT3G25070/AT5G66850/AT1G14780",170
