"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","144/1452","320/16941",0.45,5.25030991735537,23.5014865686821,3.43578725140499e-69,6.15349496726634e-66,5.27302927636682e-66,"AT5G62440/AT5G66470/AT2G04270/AT2G37220/AT5G26742/AT1G07840/AT5G67240/AT1G18080/AT1G15930/AT3G09200/AT5G20290/AT1G07070/AT1G04270/AT3G02560/AT3G11940/AT5G13650/AT3G02080/AT4G34730/AT1G45230/AT2G36160/AT1G31970/AT3G62870/AT3G49910/AT3G09500/AT2G01250/AT5G57280/AT5G55190/AT1G80770/AT3G11510/AT5G18570/AT4G25630/AT5G09510/AT1G72370/AT4G14510/AT1G52980/AT4G27090/AT3G57940/AT1G69620/AT3G12930/AT5G19820/AT5G02610/AT1G16280/AT2G33800/AT2G40430/AT2G20450/AT4G24770/AT3G11964/AT1G72320/AT2G39670/AT3G57150/AT5G18380/AT5G61170/AT1G12800/AT1G63980/AT3G53890/AT5G15200/AT5G16130/AT5G65900/AT3G57000/AT3G19810/AT1G26880/AT1G06720/AT1G50000/AT4G32720/AT3G25520/AT3G51270/AT3G24506/AT5G26180/AT3G52150/AT3G03920/AT5G20160/AT1G74270/AT1G48630/AT4G21770/AT3G06530/AT3G28900/AT5G61770/AT5G47930/AT5G39740/AT1G13160/AT5G46580/AT1G08410/AT1G25260/AT1G80750/AT1G60230/AT2G32060/AT3G17170/AT1G06190/AT2G37270/AT4G28830/AT1G10490/AT5G08600/AT2G09990/AT5G52470/AT3G53460/AT2G47610/AT4G26600/AT3G04770/AT2G44120/AT3G22660/AT2G20490/AT3G61110/AT3G55510/AT5G27990/AT4G28200/AT3G52580/AT2G48120/AT5G05210/AT2G17240/AT2G39390/AT5G27700/AT1G09340/AT1G48830/AT2G34160/AT1G41880/AT1G01080/AT5G64140/AT4G02400/AT1G03530/AT2G40010/AT3G18600/AT5G02250/AT3G52380/AT3G57180/AT2G24500/AT3G63140/AT2G47990/AT1G50920/AT1G22270/AT1G17690/AT3G60500/AT5G59240/AT5G67510/AT2G47420/AT3G28460/AT3G10530/AT3G01540/AT2G19870/AT1G23280/AT2G03820/AT4G12600/AT4G27010/AT3G55170/AT1G48920",144
"GO:0022613","ribonucleoprotein complex biogenesis","150/1452","394/16941",0.380710659898477,4.44188656290641,21.1647601693047,3.38530034205588e-60,3.03153645631104e-57,2.59777257827235e-57,"AT5G62440/AT5G66470/AT2G04270/AT2G37220/AT5G26742/AT1G07840/AT5G67240/AT1G18080/AT1G15930/AT3G09200/AT5G20290/AT1G07070/AT1G04270/AT3G02560/AT3G11940/AT5G13650/AT3G02080/AT4G34730/AT1G45230/AT2G36160/AT1G31970/AT3G62870/AT3G49910/AT3G09500/AT2G01250/AT5G57280/AT5G55190/AT1G80770/AT3G11510/AT5G18570/AT4G25630/AT5G09510/AT1G72370/AT4G14510/AT1G52980/AT4G27090/AT3G57940/AT1G69620/AT3G12930/AT5G19820/AT5G02610/AT1G16280/AT2G33800/AT2G40430/AT2G20450/AT4G24770/AT3G11964/AT1G72320/AT2G39670/AT3G57150/AT5G18380/AT5G61170/AT1G12800/AT1G63980/AT3G53890/AT5G15200/AT5G16130/AT5G65900/AT3G57000/AT3G19810/AT1G26880/AT1G06720/AT1G50000/AT4G32720/AT3G25520/AT3G51270/AT3G24506/AT5G26180/AT3G52150/AT3G03920/AT5G20160/AT1G74270/AT1G48630/AT4G21770/AT3G06530/AT3G28900/AT5G61770/AT5G47930/AT5G39740/AT1G13160/AT5G46580/AT1G08410/AT1G25260/AT1G80750/AT1G60230/AT2G32060/AT3G17170/AT1G06190/AT2G37270/AT4G28830/AT1G10490/AT5G08600/AT2G09990/AT5G52470/AT3G53460/AT2G47610/AT4G26600/AT3G04770/AT2G44120/AT3G22660/AT2G20490/AT3G61110/AT5G22330/AT3G55510/AT5G27990/AT4G28200/AT3G52580/AT2G48120/AT5G05210/AT2G17240/AT2G39390/AT5G27700/AT1G09340/AT1G48830/AT2G34160/AT1G41880/AT1G01080/AT5G64140/AT4G11420/AT4G02400/AT1G03530/AT2G40010/AT3G18600/AT5G02250/AT3G52380/AT3G57180/AT2G24500/AT3G63140/AT2G47990/AT1G50920/AT1G22270/AT1G04170/AT1G17690/AT2G43460/AT3G60500/AT5G59240/AT5G67510/AT2G47420/AT3G28460/AT1G20580/AT2G23930/AT3G10530/AT3G01540/AT2G19870/AT1G23280/AT2G03820/AT4G12600/AT4G27010/AT3G55170/AT1G48920",150
"GO:0006364","rRNA processing","97/1452","231/16941",0.41991341991342,4.89927909556009,18.2696575842146,2.11076142519991e-43,1.26012457084435e-40,1.07982110804964e-40,"AT5G62440/AT5G66470/AT2G04270/AT2G37220/AT1G07840/AT5G67240/AT5G20290/AT3G02560/AT5G13650/AT1G45230/AT1G31970/AT3G62870/AT3G09500/AT2G01250/AT5G57280/AT5G18570/AT4G25630/AT4G14510/AT3G57940/AT5G02610/AT1G16280/AT2G33800/AT2G40430/AT4G24770/AT3G11964/AT1G72320/AT2G39670/AT3G57150/AT5G18380/AT1G12800/AT3G53890/AT5G16130/AT5G65900/AT3G57000/AT3G19810/AT1G06720/AT1G50000/AT4G32720/AT3G51270/AT3G24506/AT5G26180/AT3G52150/AT3G03920/AT5G20160/AT4G21770/AT3G06530/AT5G61770/AT5G46580/AT1G08410/AT1G25260/AT1G80750/AT1G60230/AT3G17170/AT1G06190/AT4G28830/AT1G10490/AT5G08600/AT2G09990/AT5G52470/AT3G53460/AT2G47610/AT4G26600/AT2G44120/AT3G22660/AT2G20490/AT5G27990/AT4G28200/AT2G17240/AT2G39390/AT5G27700/AT1G09340/AT1G48830/AT2G34160/AT1G01080/AT5G64140/AT4G02400/AT3G18600/AT5G02250/AT3G52380/AT3G57180/AT2G24500/AT3G63140/AT2G47990/AT1G22270/AT1G17690/AT3G60500/AT5G59240/AT2G47420/AT3G28460/AT3G10530/AT3G01540/AT2G19870/AT1G23280/AT4G12600/AT4G27010/AT3G55170/AT1G48920",97
"GO:0016072","rRNA metabolic process","97/1452","251/16941",0.386454183266932,4.50889829113299,17.1477756809628,1.15860815189043e-39,5.1876680000894e-37,4.44539654067434e-37,"AT5G62440/AT5G66470/AT2G04270/AT2G37220/AT1G07840/AT5G67240/AT5G20290/AT3G02560/AT5G13650/AT1G45230/AT1G31970/AT3G62870/AT3G09500/AT2G01250/AT5G57280/AT5G18570/AT4G25630/AT4G14510/AT3G57940/AT5G02610/AT1G16280/AT2G33800/AT2G40430/AT4G24770/AT3G11964/AT1G72320/AT2G39670/AT3G57150/AT5G18380/AT1G12800/AT3G53890/AT5G16130/AT5G65900/AT3G57000/AT3G19810/AT1G06720/AT1G50000/AT4G32720/AT3G51270/AT3G24506/AT5G26180/AT3G52150/AT3G03920/AT5G20160/AT4G21770/AT3G06530/AT5G61770/AT5G46580/AT1G08410/AT1G25260/AT1G80750/AT1G60230/AT3G17170/AT1G06190/AT4G28830/AT1G10490/AT5G08600/AT2G09990/AT5G52470/AT3G53460/AT2G47610/AT4G26600/AT2G44120/AT3G22660/AT2G20490/AT5G27990/AT4G28200/AT2G17240/AT2G39390/AT5G27700/AT1G09340/AT1G48830/AT2G34160/AT1G01080/AT5G64140/AT4G02400/AT3G18600/AT5G02250/AT3G52380/AT3G57180/AT2G24500/AT3G63140/AT2G47990/AT1G22270/AT1G17690/AT3G60500/AT5G59240/AT2G47420/AT3G28460/AT3G10530/AT3G01540/AT2G19870/AT1G23280/AT4G12600/AT4G27010/AT3G55170/AT1G48920",97
"GO:0009657","plastid organization","95/1452","287/16941",0.331010452961672,3.86201658651769,14.9720798909203,1.82024470221827e-32,6.52011652334585e-30,5.58719321228262e-30,"AT5G62440/AT2G21280/AT2G04270/AT5G22640/AT5G26742/AT2G16800/AT3G02380/AT4G34740/AT5G42880/AT3G56910/AT1G45230/AT5G53860/AT3G17040/AT3G63190/AT1G63680/AT2G24060/AT3G51720/AT3G62910/AT2G47940/AT5G18570/AT2G37860/AT5G62430/AT5G55580/AT4G20360/AT2G33800/AT5G24020/AT5G08050/AT3G07430/AT2G38140/AT4G23940/AT3G53890/AT5G64050/AT3G29185/AT4G39460/AT4G37920/AT1G74730/AT4G26150/AT3G56290/AT1G50900/AT1G08540/AT2G21170/AT3G24506/AT3G56270/AT4G16390/AT5G54600/AT3G06730/AT5G23040/AT4G38160/AT1G44575/AT4G20130/AT1G71720/AT1G32080/AT5G36170/AT1G21600/AT5G15450/AT1G66840/AT3G54710/AT3G19720/AT4G13670/AT1G42550/AT3G46740/AT3G47450/AT1G20830/AT5G21920/AT5G65460/AT5G24314/AT5G24660/AT2G48120/AT1G11870/AT2G17240/AT3G18680/AT1G30610/AT2G40480/AT1G09340/AT4G31850/AT4G37650/AT1G15510/AT5G02250/AT3G57180/AT5G19620/AT3G63140/AT1G62750/AT5G35220/AT5G23120/AT4G25910/AT1G64500/AT1G06950/AT4G14605/AT1G10910/AT3G46610/AT5G23730/AT1G35680/AT4G34020/AT4G33650/AT3G58830",95
"GO:0009658","chloroplast organization","78/1452","214/16941",0.364485981308411,4.25258747200124,14.6607154435655,4.85919671094275e-30,1.45047021821641e-27,1.24293136922009e-27,"AT5G62440/AT2G21280/AT2G04270/AT5G22640/AT5G26742/AT2G16800/AT3G02380/AT4G34740/AT5G42880/AT1G45230/AT3G63190/AT1G63680/AT2G24060/AT3G51720/AT3G62910/AT2G47940/AT5G18570/AT2G37860/AT5G62430/AT5G55580/AT4G20360/AT5G24020/AT5G08050/AT3G07430/AT4G23940/AT3G53890/AT5G64050/AT3G29185/AT4G39460/AT4G37920/AT1G74730/AT4G26150/AT3G56290/AT1G50900/AT1G08540/AT2G21170/AT3G56270/AT4G16390/AT5G23040/AT4G38160/AT4G20130/AT1G32080/AT1G21600/AT5G15450/AT1G66840/AT3G54710/AT3G19720/AT4G13670/AT1G42550/AT3G46740/AT1G20830/AT5G21920/AT5G65460/AT5G24314/AT5G24660/AT2G48120/AT1G11870/AT3G18680/AT1G30610/AT2G40480/AT1G09340/AT1G15510/AT5G02250/AT3G57180/AT5G19620/AT3G63140/AT1G62750/AT5G35220/AT4G25910/AT1G64500/AT1G06950/AT4G14605/AT1G10910/AT5G23730/AT1G35680/AT4G34020/AT4G33650/AT3G58830",78
"GO:0002181","cytoplasmic translation","45/1452","80/16941",0.5625,6.56288739669422,15.2697497520339,1.52472211455701e-27,3.90111043881658e-25,3.34292457597613e-25,"AT5G56710/AT3G09200/AT4G36130/AT1G07070/AT4G17390/AT1G74050/AT3G49910/AT3G05560/AT3G44590/AT1G72370/AT4G16720/AT1G01100/AT2G27710/AT1G67430/AT2G18020/AT2G27720/AT4G00810/AT1G27400/AT3G53020/AT3G53740/AT5G27770/AT1G74270/AT1G18540/AT5G02450/AT2G36620/AT1G33140/AT1G72730/AT3G06700/AT2G46280/AT1G17470/AT3G04770/AT1G74060/AT2G20280/AT5G47700/AT4G26230/AT2G19740/AT5G20220/AT1G41880/AT2G37600/AT4G11420/AT2G40010/AT1G04170/AT3G06680/AT5G67510/AT1G12920",45
"GO:0042274","ribosomal small subunit biogenesis","42/1452","89/16941",0.471910112359551,5.50594298449252,13.0491820941444,7.43199888108793e-22,1.66383874950356e-19,1.42577031166134e-19,"AT5G66470/AT1G07840/AT1G15930/AT5G20290/AT1G04270/AT3G02560/AT3G11940/AT3G02080/AT2G36160/AT3G11510/AT5G09510/AT1G72370/AT3G57940/AT1G72320/AT5G18380/AT5G61170/AT3G53890/AT5G15200/AT5G16130/AT1G06720/AT3G51270/AT5G20160/AT3G06530/AT5G47930/AT2G32060/AT2G37270/AT1G10490/AT2G09990/AT3G04770/AT3G61110/AT5G27990/AT4G28200/AT3G52580/AT5G05210/AT5G27700/AT1G48830/AT5G64140/AT1G22270/AT1G17690/AT5G59240/AT3G10530/AT4G12600",42
"GO:0042273","ribosomal large subunit biogenesis","34/1452","67/16941",0.507462686567164,5.92074750215863,12.356281134259,3.18952394207875e-19,6.34715264473671e-17,5.43897766965008e-17,"AT1G07070/AT3G62870/AT3G49910/AT3G09500/AT2G01250/AT1G80770/AT4G27090/AT5G02610/AT2G40430/AT2G20450/AT5G65900/AT3G25520/AT1G74270/AT5G61770/AT5G39740/AT1G13160/AT1G25260/AT1G80750/AT2G47610/AT4G26600/AT2G44120/AT3G22660/AT3G55510/AT5G05210/AT2G39390/AT1G41880/AT3G18600/AT2G24500/AT1G50920/AT1G22270/AT5G67510/AT1G23280/AT4G27010/AT3G55170",34
"GO:1901259","chloroplast rRNA processing","17/1452","24/16941",0.708333333333333,8.26437672176309,10.9036179413725,1.2875163394208e-13,2.30594176390265e-11,1.97599876092161e-11,"AT5G62440/AT2G04270/AT2G37220/AT1G45230/AT2G33800/AT4G24770/AT1G12800/AT3G24506/AT3G52150/AT5G46580/AT1G06190/AT3G53460/AT2G17240/AT1G01080/AT3G52380/AT3G57180/AT3G28460",17
