"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001666","response to hypoxia","65/1403","266/16941",0.244360902255639,2.95061870642394,9.63536701501393,8.82838623965344e-16,1.39009731746269e-12,1.16224209278064e-12,"AT1G53910/AT1G76680/AT2G25735/AT4G19520/AT5G54940/AT1G25560/AT1G68840/AT1G74940/AT4G30280/AT3G20770/AT2G41430/AT1G50740/AT1G13260/AT2G40000/AT1G63090/AT1G73500/AT5G54960/AT5G57510/AT5G19120/AT1G19020/AT3G01090/AT4G20860/AT4G32480/AT2G46500/AT3G14230/AT3G52800/AT5G35735/AT4G24160/AT1G21550/AT1G72360/AT1G32928/AT5G04340/AT5G54490/AT5G59820/AT5G03730/AT1G76600/AT3G49780/AT5G19230/AT5G64260/AT3G46090/AT3G08720/AT4G13395/AT4G01250/AT4G27470/AT3G46080/AT1G26270/AT2G13790/AT5G13190/AT1G15010/AT4G17230/AT4G29780/AT3G30775/AT4G24110/AT3G25250/AT1G72330/AT1G23710/AT4G38470/AT5G26920/AT4G19880/AT4G34131/AT5G65207/AT4G01360/AT1G76650/AT5G20230/AT5G27420",65
"GO:0036293","response to decreased oxygen levels","65/1403","270/16941",0.240740740740741,2.90690583669914,9.49113791909758,1.92850034821722e-15,1.39009731746269e-12,1.16224209278064e-12,"AT1G53910/AT1G76680/AT2G25735/AT4G19520/AT5G54940/AT1G25560/AT1G68840/AT1G74940/AT4G30280/AT3G20770/AT2G41430/AT1G50740/AT1G13260/AT2G40000/AT1G63090/AT1G73500/AT5G54960/AT5G57510/AT5G19120/AT1G19020/AT3G01090/AT4G20860/AT4G32480/AT2G46500/AT3G14230/AT3G52800/AT5G35735/AT4G24160/AT1G21550/AT1G72360/AT1G32928/AT5G04340/AT5G54490/AT5G59820/AT5G03730/AT1G76600/AT3G49780/AT5G19230/AT5G64260/AT3G46090/AT3G08720/AT4G13395/AT4G01250/AT4G27470/AT3G46080/AT1G26270/AT2G13790/AT5G13190/AT1G15010/AT4G17230/AT4G29780/AT3G30775/AT4G24110/AT3G25250/AT1G72330/AT1G23710/AT4G38470/AT5G26920/AT4G19880/AT4G34131/AT5G65207/AT4G01360/AT1G76650/AT5G20230/AT5G27420",65
"GO:0070482","response to oxygen levels","65/1403","271/16941",0.239852398523985,2.89617924689582,9.45549380709939,2.33760759663008e-15,1.39009731746269e-12,1.16224209278064e-12,"AT1G53910/AT1G76680/AT2G25735/AT4G19520/AT5G54940/AT1G25560/AT1G68840/AT1G74940/AT4G30280/AT3G20770/AT2G41430/AT1G50740/AT1G13260/AT2G40000/AT1G63090/AT1G73500/AT5G54960/AT5G57510/AT5G19120/AT1G19020/AT3G01090/AT4G20860/AT4G32480/AT2G46500/AT3G14230/AT3G52800/AT5G35735/AT4G24160/AT1G21550/AT1G72360/AT1G32928/AT5G04340/AT5G54490/AT5G59820/AT5G03730/AT1G76600/AT3G49780/AT5G19230/AT5G64260/AT3G46090/AT3G08720/AT4G13395/AT4G01250/AT4G27470/AT3G46080/AT1G26270/AT2G13790/AT5G13190/AT1G15010/AT4G17230/AT4G29780/AT3G30775/AT4G24110/AT3G25250/AT1G72330/AT1G23710/AT4G38470/AT5G26920/AT4G19880/AT4G34131/AT5G65207/AT4G01360/AT1G76650/AT5G20230/AT5G27420",65
"GO:0006468","protein phosphorylation","87/1403","435/16941",0.2,2.41496792587313,8.98376294269498,5.80349415909369e-15,2.27852319453071e-12,1.90504328926718e-12,"AT4G14340/AT2G01450/AT5G44290/AT4G32300/AT2G31800/AT1G61380/AT1G30640/AT1G53440/AT1G51800/AT1G51850/AT1G09970/AT1G51805/AT1G70530/AT4G28860/AT1G07650/AT1G51820/AT5G18525/AT2G17290/AT1G66920/AT4G28350/AT1G34300/AT5G10290/AT1G59580/AT2G17520/AT5G24430/AT2G30360/AT1G51790/AT1G73500/AT5G26751/AT5G11850/AT1G14370/AT3G58640/AT4G18950/AT1G56140/AT2G30740/AT1G70520/AT1G53570/AT1G63500/AT3G21630/AT2G46500/AT4G29810/AT1G78940/AT2G19190/AT4G08850/AT5G45840/AT3G58760/AT4G08920/AT1G66930/AT3G07980/AT5G20480/AT1G18160/AT5G03730/AT4G11570/AT1G35670/AT4G00960/AT5G25440/AT5G57565/AT3G08720/AT5G49760/AT1G75820/AT5G41990/AT5G04870/AT3G20410/AT5G01950/AT2G13790/AT3G51550/AT2G35050/AT2G31010/AT2G33170/AT4G24400/AT5G18190/AT2G39660/AT3G04910/AT3G25250/AT1G67890/AT3G59350/AT1G48490/AT4G13160/AT3G22420/AT4G38470/AT5G57035/AT2G17700/AT1G25320/AT3G59700/AT2G43790/AT2G30040/AT2G13800",87
"GO:0071456","cellular response to hypoxia","59/1403","236/16941",0.25,3.01870990734141,9.38414383733154,6.38599550036633e-15,2.27852319453071e-12,1.90504328926718e-12,"AT1G76680/AT2G25735/AT4G19520/AT5G54940/AT1G25560/AT1G68840/AT1G74940/AT4G30280/AT2G41430/AT1G50740/AT1G13260/AT2G40000/AT1G63090/AT1G73500/AT5G54960/AT5G57510/AT5G19120/AT1G19020/AT4G20860/AT4G32480/AT2G46500/AT3G52800/AT5G35735/AT4G24160/AT1G21550/AT1G72360/AT1G32928/AT5G04340/AT5G54490/AT5G59820/AT1G76600/AT3G49780/AT5G19230/AT5G64260/AT3G46090/AT3G08720/AT4G13395/AT4G01250/AT4G27470/AT3G46080/AT1G26270/AT2G13790/AT5G13190/AT1G15010/AT4G17230/AT4G29780/AT3G30775/AT4G24110/AT3G25250/AT1G23710/AT4G38470/AT5G26920/AT4G19880/AT4G34131/AT5G65207/AT4G01360/AT1G76650/AT5G20230/AT5G27420",59
"GO:0036294","cellular response to decreased oxygen levels","59/1403","238/16941",0.247899159663866,2.99334259719569,9.30595965879699,9.59672117946302e-15,2.44579294059458e-12,2.04489532500738e-12,"AT1G76680/AT2G25735/AT4G19520/AT5G54940/AT1G25560/AT1G68840/AT1G74940/AT4G30280/AT2G41430/AT1G50740/AT1G13260/AT2G40000/AT1G63090/AT1G73500/AT5G54960/AT5G57510/AT5G19120/AT1G19020/AT4G20860/AT4G32480/AT2G46500/AT3G52800/AT5G35735/AT4G24160/AT1G21550/AT1G72360/AT1G32928/AT5G04340/AT5G54490/AT5G59820/AT1G76600/AT3G49780/AT5G19230/AT5G64260/AT3G46090/AT3G08720/AT4G13395/AT4G01250/AT4G27470/AT3G46080/AT1G26270/AT2G13790/AT5G13190/AT1G15010/AT4G17230/AT4G29780/AT3G30775/AT4G24110/AT3G25250/AT1G23710/AT4G38470/AT5G26920/AT4G19880/AT4G34131/AT5G65207/AT4G01360/AT1G76650/AT5G20230/AT5G27420",59
"GO:0071453","cellular response to oxygen levels","59/1403","238/16941",0.247899159663866,2.99334259719569,9.30595965879699,9.59672117946302e-15,2.44579294059458e-12,2.04489532500738e-12,"AT1G76680/AT2G25735/AT4G19520/AT5G54940/AT1G25560/AT1G68840/AT1G74940/AT4G30280/AT2G41430/AT1G50740/AT1G13260/AT2G40000/AT1G63090/AT1G73500/AT5G54960/AT5G57510/AT5G19120/AT1G19020/AT4G20860/AT4G32480/AT2G46500/AT3G52800/AT5G35735/AT4G24160/AT1G21550/AT1G72360/AT1G32928/AT5G04340/AT5G54490/AT5G59820/AT1G76600/AT3G49780/AT5G19230/AT5G64260/AT3G46090/AT3G08720/AT4G13395/AT4G01250/AT4G27470/AT3G46080/AT1G26270/AT2G13790/AT5G13190/AT1G15010/AT4G17230/AT4G29780/AT3G30775/AT4G24110/AT3G25250/AT1G23710/AT4G38470/AT5G26920/AT4G19880/AT4G34131/AT5G65207/AT4G01360/AT1G76650/AT5G20230/AT5G27420",59
"GO:0014070","response to organic cyclic compound","70/1403","341/16941",0.205278592375367,2.47870608227447,8.2888252689415,7.60020537323704e-13,1.69484579823186e-10,1.41703829129959e-10,"AT1G04400/AT1G22070/AT1G76680/AT1G60490/AT1G18740/AT1G59870/AT4G24290/AT3G50480/AT2G44080/AT4G23270/AT2G03760/AT1G13260/AT5G08790/AT2G40000/AT5G04760/AT4G30270/AT2G22300/AT1G02860/AT4G05320/AT2G17520/AT4G32940/AT4G33430/AT3G51450/AT5G45110/AT3G61460/AT3G50750/AT4G39030/AT1G22890/AT5G08520/AT3G44860/AT5G36925/AT5G27830/AT1G63500/AT3G02570/AT4G08920/AT4G37610/AT3G11340/AT4G36110/AT3G48360/AT1G05560/AT3G54030/AT1G22500/AT5G56140/AT1G14780/AT5G51060/AT5G05190/AT3G52400/AT1G13960/AT1G28480/AT3G09370/AT1G80840/AT3G21650/AT1G65486/AT2G13790/AT3G51550/AT5G08130/AT5G41260/AT3G59060/AT4G00710/AT5G26980/AT5G46760/AT1G65500/AT3G11820/AT1G28380/AT1G07200/AT5G65430/AT1G62820/AT4G23130/AT1G76650/AT1G14000",70
"GO:0009611","response to wounding","56/1403","261/16941",0.21455938697318,2.59077018867615,7.78247356378578,2.50533938891542e-11,4.9661394109168e-09,4.15212387613235e-09,"AT1G76680/AT1G06160/AT5G56550/AT2G02220/AT1G20510/AT4G24220/AT1G80440/AT2G02860/AT5G08790/AT5G20900/AT1G67560/AT1G59580/AT4G32940/AT5G54170/AT3G51450/AT1G73500/AT1G19020/AT3G15356/AT1G71697/AT3G44860/AT4G24350/AT5G47240/AT1G74930/AT3G53600/AT1G19180/AT1G74950/AT3G14050/AT1G48500/AT1G51760/AT5G59820/AT1G42540/AT3G48360/AT1G30135/AT1G32920/AT2G06050/AT1G72450/AT3G54150/AT2G25180/AT1G80840/AT5G44575/AT5G50200/AT5G56980/AT3G61060/AT5G04190/AT3G43440/AT3G25250/AT4G08170/AT1G17420/AT1G70700/AT3G13790/AT5G05730/AT4G22880/AT1G76650/AT5G20230/AT3G19710/AT5G42650",56
"GO:0031347","regulation of defense response","65/1403","329/16941",0.197568389057751,2.38560661370446,7.62631808675643,2.95005757446825e-11,5.26290271285136e-09,4.40024377160159e-09,"AT4G25230/AT1G60490/AT1G61380/AT5G46330/AT4G12560/AT1G61370/AT1G53440/AT1G51800/AT2G02220/AT1G59870/AT1G17980/AT3G09830/AT5G26240/AT5G20900/AT2G22300/AT3G12620/AT5G45110/AT5G48380/AT1G14370/AT5G18650/AT4G39030/AT5G51450/AT1G56140/AT1G53570/AT3G02150/AT3G21630/AT4G16990/AT3G07780/AT4G08850/AT4G08920/AT1G29720/AT5G20480/AT1G19180/AT1G74950/AT1G48500/AT1G33520/AT1G42540/AT1G30135/AT3G55560/AT5G25440/AT1G72450/AT5G05190/AT3G52400/AT1G13960/AT1G80840/AT5G01950/AT3G21650/AT5G50440/AT5G13190/AT5G05600/AT2G39660/AT3G43440/AT1G02660/AT5G26920/AT1G70700/AT1G28280/AT3G11820/AT1G44350/AT2G45180/AT3G59700/AT4G11890/AT2G43790/AT1G29750/AT1G71860/AT1G61420",65
