SampleName,Study,Genotype,Radiation,Timepoint,Replicate,OriginalID
OSD498_WT_gammaCo60_100Gy_10min_Rep1,OSD498,WT,gammaCo60_100Gy,10min,1,GSM3072467
OSD498_WT_gammaCo60_100Gy_10min_Rep2,OSD498,WT,gammaCo60_100Gy,10min,2,GSM3072468
OSD498_WT_gammaCo60_100Gy_20min_Rep1,OSD498,WT,gammaCo60_100Gy,20min,1,GSM3072469
OSD498_WT_gammaCo60_100Gy_20min_Rep2,OSD498,WT,gammaCo60_100Gy,20min,2,GSM3072470
OSD498_WT_gammaCo60_100Gy_90min_Rep1,OSD498,WT,gammaCo60_100Gy,90min,1,GSM3072471
OSD498_WT_gammaCo60_100Gy_90min_Rep2,OSD498,WT,gammaCo60_100Gy,90min,2,GSM3072472
OSD498_WT_gammaCo60_100Gy_1440min_Rep1,OSD498,WT,gammaCo60_100Gy,1440min,1,GSM3072473
OSD498_WT_gammaCo60_100Gy_1440min_Rep2,OSD498,WT,gammaCo60_100Gy,1440min,2,GSM3072474
OSD498_WT_none_10min_Rep1,OSD498,WT,none,10min,1,GSM3072475
OSD498_WT_none_10min_Rep2,OSD498,WT,none,10min,2,GSM3072476
OSD498_WT_none_20min_Rep1,OSD498,WT,none,20min,1,GSM3072477
OSD498_WT_none_20min_Rep2,OSD498,WT,none,20min,2,GSM3072478
OSD498_WT_none_90min_Rep1,OSD498,WT,none,90min,1,GSM3072479
OSD498_WT_none_90min_Rep2,OSD498,WT,none,90min,2,GSM3072480
OSD498_WT_none_1440min_Rep1,OSD498,WT,none,1440min,1,GSM3072481
OSD498_WT_none_1440min_Rep2,OSD498,WT,none,1440min,2,GSM3072482
OSD502_WT_none_3h_Rep1,OSD502,WT,none,3h,1,GSM3072483
OSD502_WT_gammaCo60_100Gy_3h_Rep1,OSD502,WT,gammaCo60_100Gy,3h,1,GSM3072484
OSD502_myb3r135_none_3h_Rep1,OSD502,myb3r135,none,3h,1,GSM3072485
OSD502_myb3r135_gammaCo60_100Gy_3h_Rep1,OSD502,myb3r135,gammaCo60_100Gy,3h,1,GSM3072486
OSD502_WT_none_3h_Rep2,OSD502,WT,none,3h,2,GSM3072487
OSD502_WT_gammaCo60_100Gy_3h_Rep2,OSD502,WT,gammaCo60_100Gy,3h,2,GSM3072488
OSD502_myb3r135_none_3h_Rep2,OSD502,myb3r135,none,3h,2,GSM3072489
OSD502_myb3r135_gammaCo60_100Gy_3h_Rep2,OSD502,myb3r135,gammaCo60_100Gy,3h,2,GSM3072490
OSD508_WT_none_0min_Rep1,OSD508,WT,none,0min,1,GSM3082835
OSD508_WT_none_0min_Rep2,OSD508,WT,none,0min,2,GSM3082836
OSD508_WT_gammaCo60_100Gy_10min_Rep1,OSD508,WT,gammaCo60_100Gy,10min,1,GSM3082837
OSD508_WT_gammaCo60_100Gy_10min_Rep2,OSD508,WT,gammaCo60_100Gy,10min,2,GSM3082838
OSD508_WT_gammaCo60_100Gy_20min_Rep1,OSD508,WT,gammaCo60_100Gy,20min,1,GSM3082839
OSD508_WT_gammaCo60_100Gy_20min_Rep2,OSD508,WT,gammaCo60_100Gy,20min,2,GSM3082840
OSD508_WT_gammaCo60_100Gy_45min_Rep1,OSD508,WT,gammaCo60_100Gy,45min,1,GSM3082841
OSD508_WT_gammaCo60_100Gy_45min_Rep2,OSD508,WT,gammaCo60_100Gy,45min,2,GSM3082842
OSD508_WT_gammaCo60_100Gy_90min_Rep1,OSD508,WT,gammaCo60_100Gy,90min,1,GSM3082843
OSD508_WT_gammaCo60_100Gy_90min_Rep2,OSD508,WT,gammaCo60_100Gy,90min,2,GSM3082844
OSD508_WT_gammaCo60_100Gy_180min_Rep1,OSD508,WT,gammaCo60_100Gy,180min,1,GSM3082845
OSD508_WT_gammaCo60_100Gy_180min_Rep2,OSD508,WT,gammaCo60_100Gy,180min,2,GSM3082846
OSD508_WT_gammaCo60_100Gy_360min_Rep1,OSD508,WT,gammaCo60_100Gy,360min,1,GSM3082847
OSD508_WT_gammaCo60_100Gy_360min_Rep2,OSD508,WT,gammaCo60_100Gy,360min,2,GSM3082848
OSD508_WT_gammaCo60_100Gy_720min_Rep1,OSD508,WT,gammaCo60_100Gy,720min,1,GSM3082849
OSD508_WT_gammaCo60_100Gy_720min_Rep2,OSD508,WT,gammaCo60_100Gy,720min,2,GSM3082850
OSD508_WT_gammaCo60_100Gy_1440min_Rep1,OSD508,WT,gammaCo60_100Gy,1440min,1,GSM3082851
OSD508_WT_gammaCo60_100Gy_1440min_Rep2,OSD508,WT,gammaCo60_100Gy,1440min,2,GSM3082852
OSD508_sog1_1_none_0min_Rep1,OSD508,sog1_1,none,0min,1,GSM3082853
OSD508_sog1_1_none_0min_Rep2,OSD508,sog1_1,none,0min,2,GSM3082854
OSD508_sog1_1_gammaCo60_100Gy_10min_Rep1,OSD508,sog1_1,gammaCo60_100Gy,10min,1,GSM3082855
OSD508_sog1_1_gammaCo60_100Gy_10min_Rep2,OSD508,sog1_1,gammaCo60_100Gy,10min,2,GSM3082856
OSD508_sog1_1_gammaCo60_100Gy_20min_Rep1,OSD508,sog1_1,gammaCo60_100Gy,20min,1,GSM3082857
OSD508_sog1_1_gammaCo60_100Gy_20min_Rep2,OSD508,sog1_1,gammaCo60_100Gy,20min,2,GSM3082858
OSD508_sog1_1_gammaCo60_100Gy_45min_Rep1,OSD508,sog1_1,gammaCo60_100Gy,45min,1,GSM3082859
OSD508_sog1_1_gammaCo60_100Gy_45min_Rep2,OSD508,sog1_1,gammaCo60_100Gy,45min,2,GSM3082860
OSD508_sog1_1_gammaCo60_100Gy_90min_Rep1,OSD508,sog1_1,gammaCo60_100Gy,90min,1,GSM3082861
OSD508_sog1_1_gammaCo60_100Gy_90min_Rep2,OSD508,sog1_1,gammaCo60_100Gy,90min,2,GSM3082862
OSD508_sog1_1_gammaCo60_100Gy_180min_Rep1,OSD508,sog1_1,gammaCo60_100Gy,180min,1,GSM3082863
OSD508_sog1_1_gammaCo60_100Gy_180min_Rep2,OSD508,sog1_1,gammaCo60_100Gy,180min,2,GSM3082864
OSD508_sog1_1_gammaCo60_100Gy_360min_Rep1,OSD508,sog1_1,gammaCo60_100Gy,360min,1,GSM3082865
OSD508_sog1_1_gammaCo60_100Gy_360min_Rep2,OSD508,sog1_1,gammaCo60_100Gy,360min,2,GSM3082866
OSD508_sog1_1_gammaCo60_100Gy_720min_Rep1,OSD508,sog1_1,gammaCo60_100Gy,720min,1,GSM3082867
OSD508_sog1_1_gammaCo60_100Gy_720min_Rep2,OSD508,sog1_1,gammaCo60_100Gy,720min,2,GSM3082868
OSD508_sog1_1_gammaCo60_100Gy_1440min_Rep1,OSD508,sog1_1,gammaCo60_100Gy,1440min,1,GSM3082869
OSD508_sog1_1_gammaCo60_100Gy_1440min_Rep2,OSD508,sog1_1,gammaCo60_100Gy,1440min,2,GSM3082870
OSD510_WT_gammaCo60_100Gy_20min_Rep1,OSD510,WT,gammaCo60_100Gy,20min,1,GSM3072302
OSD510_WT_gammaCo60_100Gy_20min_Rep2,OSD510,WT,gammaCo60_100Gy,20min,2,GSM3072303
OSD510_WT_gammaCo60_100Gy_90min_Rep1,OSD510,WT,gammaCo60_100Gy,90min,1,GSM3072304
OSD510_WT_gammaCo60_100Gy_90min_Rep2,OSD510,WT,gammaCo60_100Gy,90min,2,GSM3072305
OSD510_WT_gammaCo60_100Gy_180min_Rep1,OSD510,WT,gammaCo60_100Gy,180min,1,GSM3072306
OSD510_WT_gammaCo60_100Gy_180min_Rep2,OSD510,WT,gammaCo60_100Gy,180min,2,GSM3072307
OSD510_WT_gammaCo60_100Gy_360min_Rep1,OSD510,WT,gammaCo60_100Gy,360min,1,GSM3072308
OSD510_WT_gammaCo60_100Gy_360min_Rep2,OSD510,WT,gammaCo60_100Gy,360min,2,GSM3072309
OSD510_WT_gammaCo60_100Gy_720min_Rep1,OSD510,WT,gammaCo60_100Gy,720min,1,GSM3072310
OSD510_WT_gammaCo60_100Gy_720min_Rep2,OSD510,WT,gammaCo60_100Gy,720min,2,GSM3072311
OSD510_WT_gammaCo60_100Gy_1440min_Rep1,OSD510,WT,gammaCo60_100Gy,1440min,1,GSM3072312
