broad_organ,sub_tissue,total_DEGs,upregulated,downregulated,median_log2FC,mean_log2FC,mean_tau_subtissue
Root,root,26,26,0,1.361,1.613,0.8242
Seedling,seedling_green_parts,25,25,0,1.283,1.648,0.7993
Seedling,whole_plant_pre_bolting,3,3,0,1.235,1.415,0.8045
Leaf_Shoot,cauline_leaf,8,7,1,1.637,1.43,0.8732
Leaf_Shoot,cotyledon,15,15,0,1.731,1.725,0.8072
Leaf_Shoot,hypocotyl,2,2,0,1.953,1.953,0.7383
Leaf_Shoot,senescing_leaf,44,44,0,2.3,2.321,0.8705
Leaf_Shoot,shoot_apex_vegetative_with_leaves,1,1,0,2.687,2.687,0.8666
Leaf_Shoot,stem,3,3,0,2.403,2.158,0.9158
Flower,carpel,4,4,0,1.867,2.21,0.8234
Flower,flower_stage_10_11,3,3,0,1.747,1.763,0.7241
Flower,flower_stage_12,1,1,0,2.615,2.615,0.8522
Flower,flower_stage_15,2,2,0,2.842,2.842,0.8233
Flower,flower_stage_9,4,3,1,2.195,1.797,0.8412
Flower,inflorescence_apex,16,7,9,-1.033,0.17,0.7232
Flower,mature_pollen,28,25,3,1.543,1.617,0.916
Flower,pedicel,1,1,0,3.64,3.64,0.8606
Flower,petal,2,2,0,2.919,2.919,0.7832
Flower,sepal,9,9,0,1.72,2.171,0.8593
Flower,stamen,5,5,0,1.211,2.294,0.9172
Seed_Silique,seed_stage_10,17,15,2,1.579,1.907,0.8362
Seed_Silique,seed_stage_6,1,1,0,1.548,1.548,0.769
Seed_Silique,seed_stage_7,4,4,0,1.764,1.845,0.715
Seed_Silique,seed_stage_8,7,6,1,1.324,1.274,0.8107
Seed_Silique,seed_stage_9,14,13,1,1.216,1.281,0.8096
Seed_Silique,silique_stage_3,3,3,0,1.422,1.413,0.9074
Seed_Silique,silique_stage_4,8,8,0,2.789,3.133,0.8502
Seed_Silique,silique_stage_5,1,1,0,2.849,2.849,0.8726
