broad_organ,sub_tissue,total_DEGs,upregulated,downregulated,median_log2FC,mean_log2FC,mean_tau_subtissue
Root,root,32,4,28,-1.237,-1.258,0.8718
Seedling,seedling_green_parts,1,0,1,-3.263,-3.263,0.9494
Leaf_Shoot,cauline_leaf,1,1,0,1.934,1.934,0.6465
Leaf_Shoot,cotyledon,1,0,1,-1.116,-1.116,0.6854
Leaf_Shoot,hypocotyl,2,0,2,-1.831,-1.831,0.6573
Leaf_Shoot,senescing_leaf,1,0,1,-2.228,-2.228,0.9026
Leaf_Shoot,shoot_apex_vegetative_with_leaves,1,1,0,1.124,1.124,0.7841
Leaf_Shoot,stem,4,1,3,-2.069,-1.403,0.8513
Flower,carpel,3,0,3,-1.822,-2.355,0.7657
Flower,flower_stage_10_11,4,2,2,-0.06,-0.494,0.7614
Flower,flower_stage_12,2,1,1,-1.767,-1.767,0.8906
Flower,flower_stage_15,1,0,1,-2.805,-2.805,0.7358
Flower,flower_stage_9,4,1,3,-1.927,-1.362,0.7588
Flower,inflorescence_apex,18,13,5,1.203,0.245,0.7492
Flower,mature_pollen,21,5,16,-1.492,-1.227,0.9214
Flower,petal,2,0,2,-2.301,-2.301,0.8352
Flower,sepal,4,0,4,-1.582,-1.515,0.8055
Flower,stamen,4,0,4,-1.792,-2.352,0.9055
Seed_Silique,seed_stage_10,28,1,27,-2.703,-2.931,0.894
Seed_Silique,seed_stage_6,3,2,1,1.234,0.302,0.7922
Seed_Silique,seed_stage_7,5,1,4,-1.315,-1.576,0.7277
Seed_Silique,seed_stage_8,2,0,2,-2.137,-2.137,0.8432
Seed_Silique,seed_stage_9,19,0,19,-3.325,-3.146,0.862
Seed_Silique,silique_stage_3,2,1,1,-1.263,-1.263,0.901
Seed_Silique,silique_stage_4,3,0,3,-1.545,-1.945,0.8308
Seed_Silique,silique_stage_5,2,0,2,-1.992,-1.992,0.7733
