comparison,organ_1,organ_2,rate_1,rate_2,odds_ratio,pvalue,padj_bonf,higher
Cs137_10cGy,Root,Seedling,0.9,1.64,0.543,0.0466626669834456,0.466626669834456,Seedling
Cs137_10cGy,Root,Leaf_Shoot,0.9,0.19,4.862,0.0169682788476712,0.169682788476712,Root
Cs137_10cGy,Root,Flower,0.9,0.07,12.71,3.08194269021291e-06,3.08194269021291e-05,Root
Cs137_10cGy,Root,Seed_Silique,0.9,0.45,2.009,0.0499493539366322,0.499493539366322,Root
Cs137_10cGy,Seedling,Leaf_Shoot,1.64,0.19,8.959,0.00024708430411901,0.0024708430411901,Seedling
Cs137_10cGy,Seedling,Flower,1.64,0.07,23.416,6.81048638239787e-09,6.81048638239787e-08,Seedling
Cs137_10cGy,Seedling,Seed_Silique,1.64,0.45,3.704,0.000512635806675321,0.00512635806675321,Seedling
Cs137_10cGy,Leaf_Shoot,Flower,0.19,0.07,2.613,0.307901847302513,1,Leaf_Shoot
Cs137_10cGy,Leaf_Shoot,Seed_Silique,0.19,0.45,0.413,0.374513165899211,1,Seed_Silique
Cs137_10cGy,Flower,Seed_Silique,0.07,0.45,0.158,0.0061768666070269,0.061768666070269,Seed_Silique
