comparison,organ_1,organ_2,rate_1,rate_2,odds_ratio,pvalue,padj_bonf,higher
radiation_effect,Root,Seedling,3.1,12.68,0.22,1.7613844254531e-29,1.7613844254531e-28,Seedling
radiation_effect,Root,Leaf_Shoot,3.1,8.13,0.362,7.32436992523409e-11,7.3243699252341e-10,Leaf_Shoot
radiation_effect,Root,Flower,3.1,3.38,0.915,0.56121690621207,1,Flower
radiation_effect,Root,Seed_Silique,3.1,3.37,0.917,0.560473354522297,1,Seed_Silique
radiation_effect,Seedling,Leaf_Shoot,12.68,8.13,1.642,0.000433963931105571,0.00433963931105571,Seedling
radiation_effect,Seedling,Flower,12.68,3.38,4.153,3.73211958781701e-26,3.73211958781701e-25,Seedling
radiation_effect,Seedling,Seed_Silique,12.68,3.37,4.162,3.70797737241481e-26,3.70797737241481e-25,Seedling
radiation_effect,Leaf_Shoot,Flower,8.13,3.38,2.529,1.95583619683803e-09,1.95583619683803e-08,Leaf_Shoot
radiation_effect,Leaf_Shoot,Seed_Silique,8.13,3.37,2.535,2.85431684662462e-09,2.85431684662462e-08,Leaf_Shoot
radiation_effect,Flower,Seed_Silique,3.38,3.37,1.002,1,1,Flower
