broad_organ,comparison,DEGs,upregulated,downregulated,total_atlas_genes,deg_rate
Root,radiation_effect,99,96,3,3261,3.04
Seedling,radiation_effect,148,148,0,1237,11.96
Leaf_Shoot,radiation_effect,88,86,2,1141,7.71
Flower,radiation_effect,97,74,23,3398,2.85
Seed_Silique,radiation_effect,96,90,6,3735,2.57
Root,genotype_interaction,75,8,67,3261,2.3
Seedling,genotype_interaction,22,0,22,1237,1.78
Leaf_Shoot,genotype_interaction,14,3,11,1141,1.23
Flower,genotype_interaction,90,39,51,3398,2.65
Seed_Silique,genotype_interaction,85,7,78,3735,2.28
Root,GCR40,0,0,0,3261,0
Seedling,GCR40,0,0,0,1237,0
Leaf_Shoot,GCR40,1,0,1,1141,0.09
Flower,GCR40,1,1,0,3398,0.03
Seed_Silique,GCR40,0,0,0,3735,0
Root,GCR80,0,0,0,3261,0
Seedling,GCR80,0,0,0,1237,0
Leaf_Shoot,GCR80,1,1,0,1141,0.09
Flower,GCR80,3,3,0,3398,0.09
Seed_Silique,GCR80,0,0,0,3735,0
Root,Cs137_100cGy,69,67,2,3261,2.12
Seedling,Cs137_100cGy,35,35,0,1237,2.83
Leaf_Shoot,Cs137_100cGy,7,7,0,1141,0.61
Flower,Cs137_100cGy,14,14,0,3398,0.41
Seed_Silique,Cs137_100cGy,46,46,0,3735,1.23
Root,Cs137_10cGy,26,25,1,3261,0.8
Seedling,Cs137_10cGy,19,18,1,1237,1.54
Leaf_Shoot,Cs137_10cGy,2,2,0,1141,0.18
Flower,Cs137_10cGy,2,2,0,3398,0.06
Seed_Silique,Cs137_10cGy,12,12,0,3735,0.32
