comparison,sub_tissue,broad_organ,n_genes,n_degs,deg_rate,odds_ratio,p_value,padj_bonf,enrichment
Cs137_100cGy,seedling_green_parts,Seedling,119,12,10.08,7.239,4.74044885497138e-07,1.3747301679417e-05,enriched
Cs137_100cGy,mature_pollen,Flower,2095,17,0.81,0.441,0.000653135628015566,0.0189409332124514,depleted
Cs137_100cGy,shoot_apex_transition,Leaf_Shoot,462,0,0,0,0.00093888956269328,0.0272277973181051,depleted
Cs137_100cGy,stem,Leaf_Shoot,428,0,0,0,0.00136512370382399,0.0395885874108958,depleted
Cs137_100cGy,root,Root,1018,29,2.85,1.938,0.00242658975812244,0.0703711029855508,enriched
Cs137_100cGy,senescing_leaf,Leaf_Shoot,834,25,3,2.024,0.00243322111905186,0.0705634124525039,enriched
Cs137_100cGy,inflorescence_apex,Leaf_Shoot,380,0,0,0,0.00308177506234469,0.089371476807996,depleted
Cs137_100cGy,cotyledon,Seedling,347,13,3.75,2.473,0.00423555028400282,0.122830958236082,enriched
Cs137_100cGy,seed_stage_8,Seed_Silique,211,9,4.27,2.797,0.00740333922010232,0.214696837382967,enriched
Cs137_100cGy,stamen,Flower,260,10,3.85,2.515,0.00978754529283209,0.28383881349213,enriched
Cs137_100cGy,sepal,Flower,292,10,3.42,2.223,0.0284421978675665,0.824823738159429,enriched
Cs137_100cGy,seed_stage_9,Seed_Silique,432,13,3.01,1.955,0.0296522374527348,0.859914886129309,enriched
Cs137_100cGy,seed_stage_10,Seed_Silique,702,11,1.57,0.963,1,1,ns
Cs137_100cGy,hypocotyl,Seedling,375,3,0.8,0.48,0.293080029122144,1,ns
Cs137_100cGy,silique_stage_5,Seed_Silique,70,1,1.43,0.879,1,1,ns
Cs137_100cGy,silique_stage_4,Seed_Silique,172,2,1.16,0.71,1,1,ns
Cs137_100cGy,seed_stage_7,Seed_Silique,269,4,1.49,0.914,1,1,ns
Cs137_100cGy,seed_stage_6,Seed_Silique,245,0,0,0,0.0356849043068705,1,depleted
Cs137_100cGy,petal,Flower,367,5,1.36,0.833,0.83516762036922,1,ns
Cs137_100cGy,cauline_leaf,Leaf_Shoot,272,1,0.37,0.219,0.137030800997595,1,ns
Cs137_100cGy,rosette_leaf,Leaf_Shoot,81,1,1.23,0.757,1,1,ns
Cs137_100cGy,rosette_vegetative,Leaf_Shoot,219,0,0,0,0.0530417368064367,1,ns
Cs137_100cGy,pedicel,Flower,150,1,0.67,0.404,0.522971825639911,1,ns
Cs137_100cGy,carpel,Flower,114,0,0,0,0.267544903588164,1,ns
Cs137_100cGy,shoot_apex_vegetative,Leaf_Shoot,160,0,0,0,0.117527226911462,1,ns
Cs137_100cGy,silique_stage_3,Flower,141,1,0.71,0.43,0.731020089398615,1,ns
Cs137_100cGy,flower_stage_10_11,Flower,75,2,2.67,1.67,0.344117380198768,1,ns
Cs137_100cGy,shoot_apex_vegetative_with_leaves,Leaf_Shoot,109,0,0,0,0.4265842664291,1,ns
Cs137_100cGy,flower_stage_9,Flower,146,1,0.68,0.415,0.734218849302573,1,ns
Cs137_10cGy,seedling_green_parts,Seedling,119,9,7.56,16.304,2.31908080655155e-08,6.72533433899951e-07,enriched
Cs137_10cGy,root,Root,1018,12,1.18,2.307,0.0145507975349298,0.421973128512963,enriched
Cs137_10cGy,cotyledon,Seedling,347,6,1.73,3.244,0.0147470179867531,0.427663521615839,enriched
Cs137_10cGy,mature_pollen,Flower,2095,5,0.24,0.359,0.022812116490356,0.661551378220324,depleted
Cs137_10cGy,sepal,Flower,292,5,1.71,3.172,0.0265094311280489,0.768773502713419,enriched
Cs137_10cGy,seed_stage_9,Seed_Silique,432,3,0.69,1.212,0.739153993066942,1,ns
Cs137_10cGy,seed_stage_10,Seed_Silique,702,3,0.43,0.724,0.797435198301965,1,ns
Cs137_10cGy,hypocotyl,Seedling,375,3,0.8,1.406,0.479076906222147,1,ns
Cs137_10cGy,inflorescence_apex,Leaf_Shoot,380,0,0,0,0.174050930443879,1,ns
Cs137_10cGy,senescing_leaf,Leaf_Shoot,834,4,0.48,0.816,1,1,ns
Cs137_10cGy,silique_stage_5,Seed_Silique,70,0,0,0,1,1,ns
Cs137_10cGy,shoot_apex_transition,Leaf_Shoot,462,0,0,0,0.114471041743616,1,ns
Cs137_10cGy,stamen,Flower,260,2,0.77,1.344,0.663218980086143,1,ns
Cs137_10cGy,silique_stage_4,Seed_Silique,172,2,1.16,2.056,0.26234453503213,1,ns
Cs137_10cGy,seed_stage_7,Seed_Silique,269,1,0.37,0.635,1,1,ns
Cs137_10cGy,seed_stage_6,Seed_Silique,245,1,0.41,0.699,1,1,ns
Cs137_10cGy,petal,Flower,367,0,0,0,0.276712987225181,1,ns
Cs137_10cGy,stem,Leaf_Shoot,428,0,0,0,0.180102715641984,1,ns
Cs137_10cGy,cauline_leaf,Leaf_Shoot,272,0,0,0,0.410161340221199,1,ns
Cs137_10cGy,seed_stage_8,Seed_Silique,211,1,0.47,0.815,1,1,ns
Cs137_10cGy,rosette_leaf,Leaf_Shoot,81,1,1.23,2.167,0.376072255073689,1,ns
Cs137_10cGy,rosette_vegetative,Leaf_Shoot,219,1,0.46,0.785,1,1,ns
Cs137_10cGy,pedicel,Flower,150,1,0.67,1.156,0.583743803918397,1,ns
Cs137_10cGy,carpel,Flower,114,0,0,0,1,1,ns
Cs137_10cGy,shoot_apex_vegetative,Leaf_Shoot,160,0,0,0,1,1,ns
Cs137_10cGy,silique_stage_3,Flower,141,0,0,0,1,1,ns
Cs137_10cGy,flower_stage_10_11,Flower,75,1,1.33,2.344,0.353804417539892,1,ns
Cs137_10cGy,shoot_apex_vegetative_with_leaves,Leaf_Shoot,109,0,0,0,1,1,ns
Cs137_10cGy,flower_stage_9,Flower,146,0,0,0,1,1,ns
genotype_interaction,inflorescence_apex,Leaf_Shoot,387,18,4.65,1.952,0.0118342222342472,0.34319244479317,enriched
genotype_interaction,seed_stage_9,Seed_Silique,498,20,4.02,1.67,0.038606340728703,1,enriched
genotype_interaction,seed_stage_10,Seed_Silique,788,29,3.68,1.536,0.0435341977478685,1,enriched
genotype_interaction,sepal,Flower,287,13,4.53,1.88,0.0347240656571513,1,enriched
genotype_interaction,hypocotyl,Seedling,378,10,2.65,1.056,0.866412851902846,1,ns
genotype_interaction,root,Root,1207,32,2.65,1.063,0.698029476486994,1,ns
genotype_interaction,mature_pollen,Flower,2312,44,1.9,0.707,0.036693100500727,1,depleted
genotype_interaction,senescing_leaf,Leaf_Shoot,840,22,2.62,1.046,0.818562851498131,1,ns
genotype_interaction,cotyledon,Seedling,349,6,1.72,0.671,0.48388065644477,1,ns
genotype_interaction,silique_stage_5,Seed_Silique,76,2,2.63,1.048,0.716898144069938,1,ns
genotype_interaction,shoot_apex_transition,Leaf_Shoot,466,16,3.43,1.401,0.223217667626928,1,ns
genotype_interaction,stamen,Flower,275,8,2.91,1.166,0.693635207295927,1,ns
genotype_interaction,silique_stage_4,Seed_Silique,195,4,2.05,0.809,1,1,ns
genotype_interaction,seed_stage_7,Seed_Silique,281,5,1.78,0.697,0.562134921770716,1,ns
genotype_interaction,seed_stage_6,Seed_Silique,259,4,1.54,0.603,0.420998169497713,1,ns
genotype_interaction,petal,Flower,374,4,1.07,0.411,0.0893064074883116,1,ns
genotype_interaction,stem,Leaf_Shoot,431,12,2.78,1.115,0.638849281900696,1,ns
genotype_interaction,cauline_leaf,Leaf_Shoot,272,2,0.74,0.282,0.0727237188908779,1,ns
genotype_interaction,seed_stage_8,Seed_Silique,225,4,1.78,0.698,0.665427601744615,1,ns
genotype_interaction,rosette_leaf,Leaf_Shoot,82,0,0,0,0.274256450252529,1,ns
genotype_interaction,rosette_vegetative,Leaf_Shoot,219,1,0.46,0.175,0.0468272289943425,1,depleted
genotype_interaction,pedicel,Flower,152,1,0.66,0.254,0.189890070651219,1,ns
genotype_interaction,carpel,Flower,123,4,3.25,1.308,0.554250374831938,1,ns
genotype_interaction,shoot_apex_vegetative,Leaf_Shoot,161,3,1.86,0.733,0.800808902763964,1,ns
genotype_interaction,silique_stage_3,Flower,149,5,3.36,1.352,0.42809269844217,1,ns
genotype_interaction,flower_stage_10_11,Flower,75,4,5.33,2.201,0.119782962141126,1,ns
genotype_interaction,seedling_green_parts,Seedling,123,2,1.63,0.638,0.772296679607282,1,ns
genotype_interaction,shoot_apex_vegetative_with_leaves,Leaf_Shoot,109,1,0.92,0.357,0.529806173431136,1,ns
genotype_interaction,flower_stage_9,Flower,163,7,4.29,1.758,0.132242951140668,1,ns
radiation_effect,senescing_leaf,Leaf_Shoot,840,118,14.05,4.004,7.00812717531966e-29,2.0323568808427e-27,enriched
radiation_effect,cotyledon,Seedling,349,67,19.2,5.396,7.13515525178691e-24,2.0691950230182e-22,enriched
radiation_effect,seedling_green_parts,Seedling,123,26,21.14,5.682,6.67974101027332e-11,1.93712489297926e-09,enriched
radiation_effect,sepal,Flower,285,36,12.63,3.083,5.09209519920835e-08,1.47670760777042e-06,enriched
radiation_effect,root,Root,1207,26,2.15,0.419,2.26978891901193e-06,6.58238786513459e-05,depleted
radiation_effect,rosette_vegetative,Leaf_Shoot,219,0,0,0,5.81913756940351e-05,0.00168754989512702,depleted
radiation_effect,seed_stage_6,Seed_Silique,256,1,0.39,0.078,0.000122239941315968,0.00354495829816306,depleted
radiation_effect,stem,Leaf_Shoot,429,7,1.63,0.328,0.000979861034753504,0.0284159700078516,depleted
radiation_effect,mature_pollen,Flower,2242,77,3.43,0.675,0.00140291844441116,0.0406846348879237,depleted
radiation_effect,seed_stage_10,Seed_Silique,761,19,2.5,0.502,0.00180815893707273,0.0524366091751092,depleted
radiation_effect,seed_stage_7,Seed_Silique,278,4,1.44,0.291,0.00574406514375953,0.166577889169026,depleted
radiation_effect,shoot_apex_vegetative,Leaf_Shoot,160,1,0.62,0.126,0.00732931973716745,0.212550272377856,depleted
radiation_effect,petal,Flower,371,8,2.16,0.44,0.0167721509442539,0.486392377383362,depleted
radiation_effect,rosette_leaf,Leaf_Shoot,82,0,0,0,0.0335031281448492,0.971590716200627,depleted
radiation_effect,seed_stage_9,Seed_Silique,489,16,3.27,0.678,0.153737662107579,1,ns
radiation_effect,hypocotyl,Seedling,378,11,2.91,0.601,0.106733698007956,1,ns
radiation_effect,inflorescence_apex,Leaf_Shoot,384,17,4.43,0.94,0.902426664526166,1,ns
radiation_effect,silique_stage_5,Seed_Silique,76,1,1.32,0.27,0.267748251017552,1,ns
radiation_effect,shoot_apex_transition,Leaf_Shoot,466,16,3.43,0.714,0.217914885654079,1,ns
radiation_effect,stamen,Flower,269,6,2.23,0.458,0.0561789068278772,1,ns
radiation_effect,silique_stage_4,Seed_Silique,184,12,6.52,1.428,0.218297044867439,1,ns
radiation_effect,cauline_leaf,Leaf_Shoot,272,12,4.41,0.937,1,1,ns
radiation_effect,seed_stage_8,Seed_Silique,221,10,4.52,0.963,1,1,ns
radiation_effect,pedicel,Flower,150,5,3.33,0.698,0.559778006923738,1,ns
radiation_effect,carpel,Flower,120,7,5.83,1.263,0.511590024537069,1,ns
radiation_effect,silique_stage_3,Flower,140,4,2.86,0.595,0.418850785266315,1,ns
radiation_effect,flower_stage_10_11,Flower,75,3,4,0.846,1,1,ns
radiation_effect,shoot_apex_vegetative_with_leaves,Leaf_Shoot,109,3,2.75,0.573,0.491857375246912,1,ns
radiation_effect,flower_stage_9,Flower,158,7,4.43,0.942,1,1,ns
