sub_tissue,broad_organ,mag_radiation_effect,mag_Cs137_100cGy,mag_Cs137_10cGy,mag_genotype_interaction,dir_radiation_effect,dir_Cs137_100cGy,dir_Cs137_10cGy,dir_genotype_interaction
sepal,Flower,0.2912,0.2115,0.1942,0.2759,0.607,0.526,0.462,-0.328
mature_pollen,Flower,0.285,0.2815,0.2539,0.3939,0.344,0.426,0.344,-0.195
flower_stage_15,Flower,0.2485,0.1908,0.1823,0.2735,0.434,0.429,0.347,-0.142
stamen,Flower,0.2379,0.2264,0.2119,0.3202,0.347,0.444,0.376,-0.231
silique_stage_3,Flower,0.219,0.1761,0.1695,0.2796,0.179,0.22,0.15,-0.013
pedicel,Flower,0.2131,0.1533,0.1511,0.2429,0.219,0.167,0.118,-0.02
flower_stage_9,Flower,0.2129,0.1535,0.1586,0.2814,0.104,0.078,0.021,0.086
carpel,Flower,0.2123,0.1553,0.1539,0.266,0.206,0.151,0.098,0.043
flower_stage_12,Flower,0.2113,0.165,0.1641,0.2734,0.183,0.193,0.128,-0.006
flower_whole,Flower,0.2113,0.1516,0.1527,0.2665,0.172,0.138,0.066,0.066
petal,Flower,0.208,0.1745,0.1705,0.2547,0.301,0.362,0.315,-0.133
flower_stage_10_11,Flower,0.2038,0.1512,0.154,0.2667,0.123,0.123,0.055,0.054
senescing_leaf,Leaf_Shoot,0.3166,0.2097,0.1928,0.2852,0.711,0.626,0.547,-0.359
cauline_leaf,Leaf_Shoot,0.2574,0.1631,0.1597,0.2437,0.529,0.411,0.389,-0.207
rosette_leaf,Leaf_Shoot,0.2499,0.1693,0.1653,0.2448,0.37,0.275,0.247,-0.098
shoot_apex_vegetative_with_leaves,Leaf_Shoot,0.2182,0.1545,0.1537,0.2523,0.13,0.092,0.057,0.101
shoot_apex_vegetative,Leaf_Shoot,0.2059,0.1475,0.1493,0.262,0.054,0.046,-0.019,0.15
inflorescence_apex,Leaf_Shoot,0.203,0.1397,0.143,0.2716,0.013,-0.006,-0.067,0.222
stem,Leaf_Shoot,0.201,0.1489,0.1513,0.2394,0.311,0.318,0.191,-0.091
shoot_apex_transition,Leaf_Shoot,0.1961,0.1353,0.139,0.2675,-0.02,-0.014,-0.08,0.241
rosette_vegetative,Leaf_Shoot,0.1934,0.1493,0.1497,0.2334,0.029,0.087,0.075,0.051
root,Root,0.2379,0.274,0.2551,0.3043,0.131,0.537,0.327,-0.321
seed_stage_10,Seed_Silique,0.2615,0.2485,0.2281,0.402,0.285,0.556,0.418,-0.447
seed_stage_9,Seed_Silique,0.2548,0.2512,0.2293,0.3973,0.267,0.56,0.422,-0.456
seed_stage_8,Seed_Silique,0.2485,0.2372,0.2176,0.373,0.287,0.542,0.401,-0.413
silique_stage_4,Seed_Silique,0.227,0.1719,0.1692,0.2865,0.253,0.245,0.162,-0.049
seed_stage_6,Seed_Silique,0.2217,0.1865,0.1804,0.3042,0.167,0.31,0.192,-0.094
seed_stage_7,Seed_Silique,0.2217,0.2028,0.1904,0.3157,0.211,0.401,0.273,-0.204
silique_stage_5,Seed_Silique,0.2186,0.1714,0.1679,0.2831,0.211,0.271,0.189,-0.054
cotyledon,Seedling,0.2857,0.186,0.18,0.2493,0.516,0.389,0.374,-0.202
seedling_green_parts,Seedling,0.2617,0.1993,0.1934,0.2539,0.435,0.438,0.393,-0.191
whole_plant_pre_bolting,Seedling,0.2454,0.1598,0.1573,0.2472,0.372,0.247,0.206,-0.073
hypocotyl,Seedling,0.2275,0.1809,0.1751,0.2636,0.271,0.368,0.24,-0.066
