comparison,broad_organ,organ_DEGs,organ_total,organ_rate,rest_DEGs,rest_total,rest_rate,odds_ratio,ci95_low,ci95_high,pvalue,padj_bonf,enrichment
radiation_effect,Root,99,3193,3.1,429,7970,5.38,0.562,0.446,0.704,1.15180378930413e-07,5.75901894652064e-07,depleted
radiation_effect,Seedling,148,1167,12.68,380,9996,3.8,3.674,2.986,4.506,3.09147349005741e-31,1.54573674502871e-30,enriched
radiation_effect,Leaf_Shoot,88,1083,8.13,440,10080,4.37,1.938,1.509,2.465,3.37332287295065e-07,1.68666143647533e-06,enriched
radiation_effect,Flower,97,2872,3.38,431,8291,5.2,0.637,0.504,0.8,5.33828650230613e-05,0.000266914325115306,depleted
radiation_effect,Seed_Silique,96,2848,3.37,432,8315,5.2,0.637,0.503,0.799,5.11425522969744e-05,0.000255712761484872,depleted
genotype_interaction,Root,75,3200,2.34,211,8127,2.6,0.9,0.68,1.181,0.464861418346894,1,ns
genotype_interaction,Seedling,22,1171,1.88,264,10156,2.6,0.717,0.44,1.115,0.167386212647369,0.836931063236843,ns
genotype_interaction,Leaf_Shoot,14,1089,1.29,272,10238,2.66,0.477,0.256,0.818,0.00425422950299625,0.0212711475149812,depleted
genotype_interaction,Flower,90,2932,3.07,196,8395,2.33,1.325,1.017,1.715,0.0338052228990342,0.169026114495171,enriched
genotype_interaction,Seed_Silique,85,2935,2.9,201,8392,2.4,1.215,0.928,1.58,0.150907536495016,0.754537682475079,ns
GCR40,Root,0,3021,0,2,7049,0.03,0,0,12.428,1,1,ns
GCR40,Seedling,0,1119,0,2,8951,0.02,0,0,42.597,1,1,ns
GCR40,Leaf_Shoot,1,1002,0.1,1,9068,0.01,9.054,0.115,706.705,0.18911490852147,0.94557454260735,ns
GCR40,Flower,1,2529,0.04,1,7541,0.01,2.982,0.038,233.715,0.439230382850881,1,ns
GCR40,Seed_Silique,0,2399,0,2,7671,0.03,0,0,17.028,1,1,ns
GCR80,Root,0,3021,0,4,7049,0.06,0,0,3.535,0.323697381435337,1,ns
GCR80,Seedling,0,1119,0,4,8951,0.04,0,0,12.126,1,1,ns
GCR80,Leaf_Shoot,1,1002,0.1,3,9068,0.03,3.018,0.057,37.631,0.342494237460262,1,ns
GCR80,Flower,3,2529,0.12,1,7541,0.01,8.951,0.718,468.873,0.0513909888768772,0.256954944384386,ns
GCR80,Seed_Silique,0,2399,0,4,7671,0.05,0,0,4.844,0.578674992815464,1,ns
Cs137_100cGy,Root,69,2897,2.38,102,7717,1.32,1.821,1.318,2.505,0.000186078943231202,0.000930394716156012,enriched
Cs137_100cGy,Seedling,35,1157,3.03,136,9457,1.44,2.138,1.423,3.137,0.000263319146979204,0.00131659573489602,enriched
Cs137_100cGy,Leaf_Shoot,7,1076,0.65,164,9538,1.72,0.374,0.148,0.792,0.00670795458505922,0.0335397729252961,depleted
Cs137_100cGy,Flower,14,2809,0.5,157,7805,2.01,0.244,0.13,0.423,2.23502974180862e-09,1.11751487090431e-08,depleted
Cs137_100cGy,Seed_Silique,46,2675,1.72,125,7939,1.57,1.094,0.76,1.55,0.59496462965064,1,ns
Cs137_10cGy,Root,26,2897,0.9,35,7717,0.45,1.988,1.147,3.404,0.00926774887033467,0.0463387443516734,enriched
Cs137_10cGy,Seedling,19,1157,1.64,42,9457,0.44,3.742,2.048,6.604,1.49225847641341e-05,7.46129238206706e-05,enriched
Cs137_10cGy,Leaf_Shoot,2,1076,0.19,59,9538,0.62,0.299,0.035,1.133,0.0864800528260193,0.432400264130097,ns
Cs137_10cGy,Flower,2,2809,0.07,59,7805,0.76,0.094,0.011,0.354,2.95137808679195e-06,1.47568904339597e-05,depleted
Cs137_10cGy,Seed_Silique,12,2675,0.45,49,7939,0.62,0.726,0.351,1.387,0.376161913665296,1,ns
