gene_id,category
AT1G01150,Co60_only
AT1G01560,Co60_only
AT1G01680,Co60_only
AT1G02450,Co60_only
AT1G02520,Co60_only
AT1G02650,Co60_only
AT1G02730,Co60_only
AT1G02920,Co60_only
AT1G04313,Co60_only
AT1G04323,Co60_only
AT1G04455,Co60_only
AT1G04470,Co60_only
AT1G04625,Co60_only
AT1G04833,Co60_only
AT1G05035,Co60_only
AT1G05040,Co60_only
AT1G05490,Co60_only
AT1G05675,Co60_only
AT1G05880,Co60_only
AT1G06148,Co60_only
AT1G06577,Co60_only
AT1G06583,Co60_only
AT1G06587,Co60_only
AT1G06593,Co60_only
AT1G06983,Co60_only
AT1G07135,Co60_only
AT1G07367,Co60_only
AT1G07500,Co60_only
AT1G07520,Co60_only
AT1G07900,Co60_only
AT1G08250,Co60_only
AT1G08260,Co60_only
AT1G08270,Co60_only
AT1G08387,Co60_only
AT1G08560,Co60_only
AT1G08860,Co60_only
AT1G09070,Co60_only
AT1G09080,Co60_only
AT1G09176,Co60_only
AT1G09180,Co60_only
AT1G09815,Co60_only
AT1G09930,Co60_only
AT1G09932,Co60_only
AT1G09950,Co60_only
AT1G10050,Co60_only
AT1G10340,Co60_only
AT1G10585,Co60_only
AT1G11920,Co60_only
AT1G12030,Co60_only
AT1G12480,Co60_only
AT1G12940,Co60_only
AT1G13310,Co60_only
AT1G13330,Co60_only
AT1G13470,Co60_only
AT1G14540,Co60_only
AT1G14550,Co60_only
AT1G15190,Co60_only
AT1G15580,Co60_only
AT1G15790,Co60_only
AT1G16630,Co60_only
AT1G17147,Co60_only
AT1G17380,Co60_only
AT1G17460,Co60_only
AT1G17960,Co60_only
AT1G18570,Co60_only
AT1G18830,Co60_only
AT1G19020,Co60_only
AT1G19160,Co60_only
AT1G19250,Co60_only
AT1G19380,Co60_only
AT1G19410,Co60_only
AT1G19770,Co60_only
AT1G20120,Co60_only
AT1G20310,Co60_only
AT1G20350,Co60_only
AT1G20750,Co60_only
AT1G21100,Co60_only
AT1G21120,Co60_only
AT1G21230,Co60_only
AT1G21240,Co60_only
AT1G21250,Co60_only
AT1G21326,Co60_only
AT1G21470,Co60_only
AT1G21520,Co60_only
AT1G21528,Co60_only
AT1G22240,Co60_only
