gene_id,category
AT1G01480,Cs137_100cGy_only
AT1G02400,Cs137_100cGy_only
AT1G05100,Cs137_100cGy_only
AT1G05340,Cs137_100cGy_only
AT1G10550,Cs137_100cGy_only
AT1G13608,Cs137_100cGy_only
AT1G14780,Cs137_100cGy_only
AT1G15040,Cs137_100cGy_only
AT1G18980,Cs137_100cGy_only
AT1G21280,Cs137_100cGy_only
AT1G21850,Cs137_100cGy_only
AT1G22470,Cs137_100cGy_only
AT1G29290,Cs137_100cGy_only
AT1G30700,Cs137_100cGy_only
AT1G30720,Cs137_100cGy_only
AT1G35140,Cs137_100cGy_only
AT1G43160,Cs137_100cGy_only
AT1G49450,Cs137_100cGy_only
AT1G52200,Cs137_100cGy_only
AT1G52690,Cs137_100cGy_only
AT1G52890,Cs137_100cGy_only
AT1G62440,Cs137_100cGy_only
AT1G64195,Cs137_100cGy_only
AT1G65610,Cs137_100cGy_only
AT1G66370,Cs137_100cGy_only
AT1G66380,Cs137_100cGy_only
AT1G66860,Cs137_100cGy_only
AT1G68450,Cs137_100cGy_only
AT1G68850,Cs137_100cGy_only
AT1G69930,Cs137_100cGy_only
AT1G70170,Cs137_100cGy_only
AT1G76470,Cs137_100cGy_only
AT2G02010,Cs137_100cGy_only
AT2G22760,Cs137_100cGy_only
AT2G27389,Cs137_100cGy_only
AT2G29460,Cs137_100cGy_only
AT2G34500,Cs137_100cGy_only
AT2G34600,Cs137_100cGy_only
AT2G35640,Cs137_100cGy_only
AT2G38240,Cs137_100cGy_only
AT2G40170,Cs137_100cGy_only
AT2G40740,Cs137_100cGy_only
AT2G42350,Cs137_100cGy_only
AT2G42560,Cs137_100cGy_only
AT2G43570,Cs137_100cGy_only
AT2G44010,Cs137_100cGy_only
AT2G44810,Cs137_100cGy_only
AT2G47550,Cs137_100cGy_only
AT2G47950,Cs137_100cGy_only
AT3G04060,Cs137_100cGy_only
AT3G06490,Cs137_100cGy_only
AT3G15500,Cs137_100cGy_only
AT3G17580,Cs137_100cGy_only
AT3G21320,Cs137_100cGy_only
AT3G22600,Cs137_100cGy_only
AT3G27415,Cs137_100cGy_only
AT3G29034,Cs137_100cGy_only
AT3G43250,Cs137_100cGy_only
AT3G43930,Cs137_100cGy_only
AT3G45970,Cs137_100cGy_only
AT3G46660,Cs137_100cGy_only
AT3G48450,Cs137_100cGy_only
AT3G48520,Cs137_100cGy_only
AT3G50260,Cs137_100cGy_only
AT3G50970,Cs137_100cGy_only
AT3G55150,Cs137_100cGy_only
AT3G59370,Cs137_100cGy_only
AT3G61390,Cs137_100cGy_only
AT4G02380,Cs137_100cGy_only
AT4G03460,Cs137_100cGy_only
AT4G04745,Cs137_100cGy_only
AT4G05100,Cs137_100cGy_only
AT4G18170,Cs137_100cGy_only
AT4G18422,Cs137_100cGy_only
AT4G18980,Cs137_100cGy_only
AT4G20000,Cs137_100cGy_only
AT4G21440,Cs137_100cGy_only
AT4G21680,Cs137_100cGy_only
AT4G30290,Cs137_100cGy_only
AT4G33390,Cs137_100cGy_only
AT4G33467,Cs137_100cGy_only
AT4G33930,Cs137_100cGy_only
AT4G36950,Cs137_100cGy_only
AT4G39670,Cs137_100cGy_only
AT5G05410,Cs137_100cGy_only
AT5G06090,Cs137_100cGy_only
AT5G08950,Cs137_100cGy_only
AT5G12340,Cs137_100cGy_only
AT5G13080,Cs137_100cGy_only
AT5G13220,Cs137_100cGy_only
AT5G14470,Cs137_100cGy_only
AT5G15660,Cs137_100cGy_only
AT5G16360,Cs137_100cGy_only
AT5G16960,Cs137_100cGy_only
AT5G18840,Cs137_100cGy_only
AT5G24080,Cs137_100cGy_only
AT5G24090,Cs137_100cGy_only
AT5G25910,Cs137_100cGy_only
AT5G38310,Cs137_100cGy_only
AT5G39610,Cs137_100cGy_only
AT5G40260,Cs137_100cGy_only
AT5G44575,Cs137_100cGy_only
AT5G45890,Cs137_100cGy_only
AT5G48400,Cs137_100cGy_only
AT5G48410,Cs137_100cGy_only
AT5G49690,Cs137_100cGy_only
AT5G50360,Cs137_100cGy_only
AT5G50760,Cs137_100cGy_only
AT5G52400,Cs137_100cGy_only
AT5G54230,Cs137_100cGy_only
AT5G57760,Cs137_100cGy_only
AT5G62520,Cs137_100cGy_only
AT5G63450,Cs137_100cGy_only
AT5G66780,Cs137_100cGy_only
