gene_id,category
AT1G05575,universal_gamma
AT1G13520,universal_gamma
AT1G15010,universal_gamma
AT1G25400,universal_gamma
AT1G28480,universal_gamma
AT1G53625,universal_gamma
AT1G62420,universal_gamma
AT1G71520,universal_gamma
AT1G76600,universal_gamma
AT1G80840,universal_gamma
AT2G25460,universal_gamma
AT2G25735,universal_gamma
AT2G37430,universal_gamma
AT2G40340,universal_gamma
AT2G41240,universal_gamma
AT2G43620,universal_gamma
AT3G01830,universal_gamma
AT3G02840,universal_gamma
AT3G22910,universal_gamma
AT3G23250,universal_gamma
AT3G25250,universal_gamma
AT3G26200,universal_gamma
AT3G46080,universal_gamma
AT4G01360,universal_gamma
AT4G11170,universal_gamma
AT4G13395,universal_gamma
AT4G14370,universal_gamma
AT5G01380,universal_gamma
AT5G36925,universal_gamma
AT5G57510,universal_gamma
AT5G59820,universal_gamma
AT5G61890,universal_gamma
