gene_id,lfc_10cGy,padj_10cGy,deg_10cGy,dir_10cGy,lfc_100cGy,padj_100cGy,deg_100cGy,dir_100cGy,dose_category
AT1G01010,0.0834560784611861,0.674795801849063,no,none,0.165334073282598,0.36546087200622,no,none,neither
AT1G01020,0.0481964907436137,0.556336028404809,no,none,0.00343452421826314,0.975841748700319,no,none,neither
AT1G01030,-0.090211284741325,0.671958685655808,no,none,-0.0457488535942479,0.855821438677888,no,none,neither
AT1G01040,0.0441300545305466,0.200898258573083,no,none,0.0381872269370656,0.303304079554882,no,none,neither
AT1G01046,0.33541391898822,,no,none,0.293369081786499,,no,none,neither
AT1G01050,-0.115543502791173,0.0018292424571492,no,none,-0.136308745450937,0.000275634740708433,no,none,neither
AT1G01060,-0.17335249252983,0.109382902942756,no,none,-0.0317499223213985,0.838285170082161,no,none,neither
AT1G01070,-0.079899346007461,0.682560504095807,no,none,0.0510029366690397,0.818845239347816,no,none,neither
AT1G01080,-0.119155510218514,0.0230939553632278,no,none,-0.152095336092696,0.00363891133682038,no,none,neither
AT1G01090,-0.135765435385227,0.00116953581212885,no,none,-0.138655208525257,0.00111771780930712,no,none,neither
AT1G01100,-0.22554316597933,0.00169190894273986,no,none,-0.207792346190743,0.00477605530023019,no,none,neither
AT1G01110,-0.0533472433704077,0.731715539919899,no,none,0.0618649466173781,0.697795461986168,no,none,neither
AT1G01120,0.0328837964089392,0.83439470188902,no,none,0.159669716139647,0.206086760592237,no,none,neither
AT1G01130,0.563682743405587,,no,none,0.139776680426312,0.874256082886318,no,none,neither
AT1G01140,0.19906258531206,0.115009973848596,no,none,0.192648937364317,0.139313286191058,no,none,neither
AT1G01150,-0.00697894474809189,,no,none,0.269512818656885,0.731083506292584,no,none,neither
AT1G01160,-0.0718734872893384,0.188398732325397,no,none,-0.0707431609147736,0.211209030127928,no,none,neither
AT1G01170,-0.0142097063610866,0.846656919776769,no,none,-0.0785467915350815,0.173731831513473,no,none,neither
AT1G01180,0.112780638022109,0.401317777979742,no,none,0.0889250165174236,0.552879986200797,no,none,neither
AT1G01190,-0.432843226339332,0.0052830262529095,no,none,-0.262701500054582,0.118457042233595,no,none,neither
AT1G01200,-0.105166743322626,0.546090415512344,no,none,0.0974355711288763,0.600207338865364,no,none,neither
AT1G01210,-0.199845901473492,0.0272199759513621,no,none,-0.157552247930514,0.0988532941314861,no,none,neither
AT1G01220,-0.11387500527728,0.00720763257993563,no,none,-0.0336747447758227,0.537627908919642,no,none,neither
AT1G01225,0.0439433017231235,0.746325755148504,no,none,-0.00617810975245704,0.971085997660023,no,none,neither
AT1G01230,0.170713155073368,0.00223164671768663,no,none,0.20024348227245,0.000372062885827695,no,none,neither
AT1G01240,0.227770065069998,0.0358802640895432,no,none,0.261543119728577,0.0166300407980411,no,none,neither
AT1G01250,-0.0269271165484848,0.919739516931173,no,none,-0.0481590109650649,0.862443062905758,no,none,neither
AT1G01260,0.1096988314616,0.170162718297763,no,none,0.110130430160377,0.181989405858305,no,none,neither
AT1G01290,0.036708173209548,0.530329800939002,no,none,0.0239491337041765,0.722940882945342,no,none,neither
AT1G01300,0.057442569479146,0.672464813507829,no,none,0.125160724069829,0.308380707381148,no,none,neither
AT1G01310,0.413997901463923,,no,none,0.286134274660053,,no,none,neither
AT1G01320,-0.235318776071109,1.20794936359192e-06,no,none,-0.220096663577082,1.31266425809805e-05,no,none,neither
AT1G01340,0.285104654788555,0.050780223044015,no,none,0.373384465502765,0.0095789710128689,no,none,neither
AT1G01350,0.116843696974113,0.0704877482352786,no,none,0.0900730855726922,0.194824789799473,no,none,neither
AT1G01355,-0.262588042995742,,no,none,0.0988771154984754,,no,none,neither
AT1G01360,0.18212521455711,0.0519971911795063,no,none,0.262056846459896,0.00422801140259457,no,none,neither
AT1G01370,-0.205255863603654,0.110569289868182,no,none,-0.295410189449724,0.0186641318203301,no,none,neither
AT1G01380,0.0692804843776504,0.7835757490727,no,none,-0.0278026639487642,0.927891270036507,no,none,neither
AT1G01390,0.0505549209502681,0.653976415046459,no,none,-0.162340413598032,0.0850781422170427,no,none,neither
AT1G01420,0.10450299159986,0.166526729969481,no,none,0.0895697480654383,0.267255701119939,no,none,neither
AT1G01430,-2.61763271004284e-05,0.999856858918311,no,none,-0.0157598436121235,0.903480217324051,no,none,neither
