gene_id,lfc_40cGy,padj_40cGy,deg_40cGy,dir_40cGy,lfc_80cGy,padj_80cGy,deg_80cGy,dir_80cGy,dose_category
AT1G01010,-0.600905546102248,0.752681072880804,no,none,-0.164276775045602,1,no,none,neither
AT1G01020,-0.0977208737289437,0.999808032263671,no,none,0.0463957748749045,1,no,none,neither
AT1G01030,-0.0527485574984256,0.999808032263671,no,none,0.250350920927411,1,no,none,neither
AT1G01040,0.196514397132974,0.999808032263671,no,none,0.203647918839039,1,no,none,neither
AT1G01046,0.131543598576183,,no,none,0.0893901516788843,1,no,none,neither
AT1G01050,-0.0405798248297573,0.999808032263671,no,none,-0.0612394762744813,1,no,none,neither
AT1G01060,-0.147739165194726,0.999808032263671,no,none,-0.384573389348764,1,no,none,neither
AT1G01070,-0.251223626635107,0.999808032263671,no,none,-0.337034519837385,1,no,none,neither
AT1G01080,-0.235499302540812,0.999808032263671,no,none,-0.247695446355188,1,no,none,neither
AT1G01090,0.169286236074805,0.999808032263671,no,none,0.0597411808948222,1,no,none,neither
AT1G01100,-0.106325525787712,0.999808032263671,no,none,-0.0772517678414416,1,no,none,neither
AT1G01110,0.0427877422408557,0.999808032263671,no,none,-0.0357460390193847,1,no,none,neither
AT1G01120,0.0858879472886318,0.999808032263671,no,none,-0.168237766124533,1,no,none,neither
AT1G01130,0.295555332913845,,no,none,0.534299458358993,1,no,none,neither
AT1G01140,0.1059007917683,0.999808032263671,no,none,0.0624281587934638,1,no,none,neither
AT1G01150,1.01982141955914,,no,none,0.178492251301863,1,no,none,neither
AT1G01160,-0.0630296394070405,0.999808032263671,no,none,-0.0326671125619099,1,no,none,neither
AT1G01170,-0.0119443377874957,0.999808032263671,no,none,0.0250254864181352,1,no,none,neither
AT1G01180,0.306028368209595,0.999808032263671,no,none,0.108274738795025,1,no,none,neither
AT1G01190,-0.990589688814209,,no,none,-0.560241927304725,1,no,none,neither
AT1G01200,0.0577158417790056,0.999808032263671,no,none,-0.181140454373391,1,no,none,neither
AT1G01210,-0.268237810877985,0.999808032263671,no,none,-0.0646933629134404,1,no,none,neither
AT1G01220,0.131336163460892,0.999808032263671,no,none,0.0146121082397508,1,no,none,neither
AT1G01225,-0.385098008928996,,no,none,-0.0222883498962616,1,no,none,neither
AT1G01230,-0.0731105303760964,0.999808032263671,no,none,-0.0100853081828919,1,no,none,neither
AT1G01240,0.066789153662808,0.999808032263671,no,none,-0.00659228996850392,1,no,none,neither
AT1G01250,-0.315139357866586,,no,none,-0.881514143777141,1,no,none,neither
AT1G01260,-0.00384607298269338,0.999808032263671,no,none,0.0410080216667231,1,no,none,neither
AT1G01290,0.109067841195613,0.999808032263671,no,none,0.0896004861871304,1,no,none,neither
AT1G01300,0.0389427665609614,0.999808032263671,no,none,-0.115293935391596,1,no,none,neither
AT1G01305,0.431593245385695,,no,none,1.06187055166346,1,no,none,neither
AT1G01320,0.0554345313479131,0.999808032263671,no,none,0.056716164370858,1,no,none,neither
AT1G01340,0.00916109472845001,0.999808032263671,no,none,-0.343965996291406,1,no,none,neither
AT1G01350,0.043305256000977,0.999808032263671,no,none,-0.0554982681413659,1,no,none,neither
AT1G01355,0.0968665357185137,,no,none,-0.0362188929470219,1,no,none,neither
AT1G01360,-0.0605392746691055,0.999808032263671,no,none,0.0532198208294211,1,no,none,neither
AT1G01370,-0.337857181036729,,no,none,-0.631249833447812,1,no,none,neither
AT1G01380,0.977430869704409,,no,none,0.309704425517033,1,no,none,neither
AT1G01390,0.0388871153562459,,no,none,-0.0872334780510165,1,no,none,neither
AT1G01420,0.0733776964177789,0.999808032263671,no,none,0.215907745951535,1,no,none,neither
AT1G01430,0.0780134775768096,0.999808032263671,no,none,-0.0799108555994192,1,no,none,neither
AT1G01440,0.152463966542337,0.999808032263671,no,none,0.0733159540203319,1,no,none,neither
AT1G01448,0.0711367322328284,0.999808032263671,no,none,0.244951854811665,1,no,none,neither
AT1G01453,0.183892282984124,,no,none,-0.151130804152347,1,no,none,neither
