gene_id,lfc_10cGy,padj_10cGy,deg_10cGy,dir_10cGy,lfc_100cGy,padj_100cGy,deg_100cGy,dir_100cGy,dose_category
AT1G05575,1.25370290105082,0.00808391820993557,yes,up,1.14721545329793,0.0193324023267713,yes,up,dose_plateau
AT1G06160,1.4573694211987,4.09410281069003e-05,yes,up,1.11990629191758,0.0026240489307556,yes,up,dose_plateau
AT1G13520,2.07917653952759,0.0416591053959481,yes,up,2.74514308665156,0.00666935225081264,yes,up,dose_increasing
AT1G13609,-1.38559120944904,0.000132309238485294,yes,down,-1.06298355643555,0.00383026500677055,yes,down,dose_plateau
AT1G15010,1.16879663212987,0.0263242267548059,yes,up,1.56301132115482,0.0026581802994095,yes,up,dose_increasing
AT1G19180,1.05325190679595,0.0116468845468555,yes,up,1.05263538874981,0.0139881641244455,yes,up,dose_plateau
AT1G25400,1.04950694275497,0.00217464378770019,yes,up,1.28014058924595,0.000220495967388108,yes,up,dose_increasing
AT1G28480,1.13680107075486,0.0213357948630981,yes,up,1.04663765609307,0.0403289720836622,yes,up,dose_plateau
AT1G30135,1.26954929842735,0.0151830704113164,yes,up,1.81120926032182,0.000430692500448408,yes,up,dose_increasing
AT1G49000,1.06382144614746,0.0238461325153248,yes,up,1.05313080375053,0.0287412560009536,yes,up,dose_plateau
AT1G51800,1.66974198256958,0.00045624568570946,yes,up,1.41739695564202,0.00380733341122332,yes,up,dose_plateau
AT1G51820,2.05453789238428,0.000870800563435451,yes,up,1.65034214783353,0.00971641161839947,yes,up,dose_plateau
AT1G53625,1.25937633516346,0.0387902486253398,yes,up,1.6588914384303,0.00582912091466376,yes,up,dose_increasing
AT1G62420,1.92223876076356,0.00134483904959612,yes,up,1.5495731001119,0.0135796280958569,yes,up,dose_plateau
AT1G68765,1.64487624924946,0.0391454421116466,yes,up,2.30220926723763,0.00311349928265826,yes,up,dose_increasing
AT1G71520,2.29708611427421,0.00573324269779503,yes,up,3.11317004914034,0.000190160438078899,yes,up,dose_increasing
AT1G76600,1.10687011411983,0.0139561245051799,yes,up,1.08513034556101,0.0187686738390269,yes,up,dose_plateau
AT1G80840,1.28454607788096,0.0233496895054671,yes,up,1.22253185283653,0.0360457801401197,yes,up,dose_plateau
AT2G14247,-1.02251613001735,0.00321734172355339,yes,down,-1.09160471605216,0.00203484826340143,yes,down,dose_increasing
AT2G19190,1.24597105925407,0.00714277597869704,yes,up,1.75544248765359,0.000166813545010557,yes,up,dose_increasing
AT2G19800,1.18544960800269,0.0456854094884178,yes,up,1.97350867152005,0.000578643097434813,yes,up,dose_increasing
AT2G25460,1.00523293440869,0.0280820970848799,yes,up,1.22343535329885,0.00742589233168883,yes,up,dose_increasing
AT2G25735,1.36941988921365,1.7872049716081e-05,yes,up,1.2711857608012,0.000116204248163938,yes,up,dose_plateau
AT2G36770,1.20257285643193,0.0400771407825204,yes,up,1.46516372768066,0.0123595910045829,yes,up,dose_increasing
AT2G37430,1.52873189516816,0.036966231294758,yes,up,1.64779284149409,0.0260131630194313,yes,up,dose_increasing
AT2G39200,1.25364324806278,0.0288655359855306,yes,up,1.44024418730008,0.0128074347188478,yes,up,dose_increasing
AT2G40340,1.6249099203876,0.017135378363886,yes,up,1.88804976392201,0.005720161194287,yes,up,dose_increasing
AT2G41240,-1.08541769894163,0.00180175667689611,yes,down,-1.13060913993428,0.00140340540029621,yes,down,dose_increasing
AT2G43620,1.81800713014328,8.18878562105429e-05,yes,up,1.12014836713088,0.0221335245650873,yes,up,dose_plateau
AT2G44370,1.1251212469524,0.0033518226174402,yes,up,1.07007351305771,0.00666935225081264,yes,up,dose_plateau
AT3G01830,1.22680148712429,0.0218965541899969,yes,up,1.69007396424811,0.00143461346159543,yes,up,dose_increasing
AT3G02840,1.8065444272715,0.0139561245051799,yes,up,2.38485636687345,0.00110160162077017,yes,up,dose_increasing
AT3G07255,4.0145730119625,0.00968940356931713,yes,up,4.85008974590963,0.0019167930901436,yes,up,dose_increasing
AT3G09940,1.38634515421392,0.0355511269622219,yes,up,1.44964898360339,0.0306838730650311,yes,up,dose_increasing
AT3G10815,1.37831926624643,0.0112974494727266,yes,up,1.52287508227589,0.00551707274510614,yes,up,dose_increasing
AT3G11340,1.75580385158555,0.010660785964523,yes,up,1.68298717786952,0.0174376285037808,yes,up,dose_plateau
