"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071456","cellular response to hypoxia","19/58","238/17269",0.0798319327731092,23.7692697768763,20.5328611964351,1.26360829465199e-21,1.74651342842418e-19,1.39575249386516e-19,"AT1G66090/AT1G72920/AT1G72940/AT1G76650/AT2G22500/AT2G25735/AT2G41100/AT3G04640/AT3G55980/AT4G19520/AT4G24570/AT4G27280/AT5G06320/AT5G19240/AT5G42380/AT5G45340/AT5G54490/AT5G57560/AT5G58120",19
"GO:0036294","cellular response to decreased oxygen levels","19/58","240/17269",0.0791666666666667,23.5711925287356,20.4407825323231,1.48428903265511e-21,1.74651342842418e-19,1.39575249386516e-19,"AT1G66090/AT1G72920/AT1G72940/AT1G76650/AT2G22500/AT2G25735/AT2G41100/AT3G04640/AT3G55980/AT4G19520/AT4G24570/AT4G27280/AT5G06320/AT5G19240/AT5G42380/AT5G45340/AT5G54490/AT5G57560/AT5G58120",19
"GO:0071453","cellular response to oxygen levels","19/58","240/17269",0.0791666666666667,23.5711925287356,20.4407825323231,1.48428903265511e-21,1.74651342842418e-19,1.39575249386516e-19,"AT1G66090/AT1G72920/AT1G72940/AT1G76650/AT2G22500/AT2G25735/AT2G41100/AT3G04640/AT3G55980/AT4G19520/AT4G24570/AT4G27280/AT5G06320/AT5G19240/AT5G42380/AT5G45340/AT5G54490/AT5G57560/AT5G58120",19
"GO:0001666","response to hypoxia","19/58","267/17269",0.0711610486891386,21.1875887898747,19.2984326703028,1.14450282061938e-20,9.59328967934366e-19,7.66662184005994e-19,"AT1G66090/AT1G72920/AT1G72940/AT1G76650/AT2G22500/AT2G25735/AT2G41100/AT3G04640/AT3G55980/AT4G19520/AT4G24570/AT4G27280/AT5G06320/AT5G19240/AT5G42380/AT5G45340/AT5G54490/AT5G57560/AT5G58120",19
"GO:0036293","response to decreased oxygen levels","19/58","271/17269",0.0701107011070111,20.8748568520168,19.1435160530833,1.5199921568433e-20,9.59328967934366e-19,7.66662184005994e-19,"AT1G66090/AT1G72920/AT1G72940/AT1G76650/AT2G22500/AT2G25735/AT2G41100/AT3G04640/AT3G55980/AT4G19520/AT4G24570/AT4G27280/AT5G06320/AT5G19240/AT5G42380/AT5G45340/AT5G54490/AT5G57560/AT5G58120",19
"GO:0070482","response to oxygen levels","19/58","272/17269",0.0698529411764706,20.7981110547667,19.105307643824,1.63058748090827e-20,9.59328967934366e-19,7.66662184005994e-19,"AT1G66090/AT1G72920/AT1G72940/AT1G76650/AT2G22500/AT2G25735/AT2G41100/AT3G04640/AT3G55980/AT4G19520/AT4G24570/AT4G27280/AT5G06320/AT5G19240/AT5G42380/AT5G45340/AT5G54490/AT5G57560/AT5G58120",19
"GO:0009611","response to wounding","10/58","261/17269",0.0383141762452107,11.4077156823887,9.83515059589087,1.44385799960588e-08,7.28116962658393e-07,5.81885629916354e-07,"AT1G65390/AT1G72520/AT1G72920/AT1G76650/AT1G80840/AT3G44260/AT3G44860/AT3G45640/AT3G61190/AT5G06320",10
"GO:0014070","response to organic cyclic compound","10/58","344/17269",0.0290697674418605,8.65527265437049,8.32544604210351,1.92794260124998e-07,8.50704672801555e-06,6.79853443598678e-06,"AT1G65390/AT1G76650/AT1G80840/AT2G14610/AT3G44860/AT3G52400/AT3G61190/AT4G31800/AT5G06320/AT5G57560",10
"GO:0009751","response to salicylic acid","7/58","194/17269",0.0360824742268041,10.7432456452186,7.92238831186341,3.75343141456171e-06,0.000147217921037809,0.000117651417438893,"AT1G65390/AT1G80840/AT3G44860/AT3G52400/AT3G61190/AT4G31800/AT5G06320",7
"GO:0009620","response to fungus","8/58","368/17269",0.0217391304347826,6.47263868065967,6.16022320919148,2.98049271414412e-05,0.00105211392809288,0.000840812681463816,"AT1G80840/AT2G34930/AT3G44860/AT3G52400/AT4G31800/AT4G34410/AT5G17350/AT5G61600",8
"GO:0140546","defense response to symbiont","8/58","411/17269",0.0194647201946472,5.79545263864418,5.71188502337842,6.5057512260956e-05,0.00208775471164704,0.001668460601525,"AT1G65390/AT1G72940/AT1G80840/AT2G14610/AT3G52400/AT4G11470/AT4G31800/AT5G06320",8
"GO:0080134","regulation of response to stress","8/58","477/17269",0.0167714884696017,4.99356611002675,5.13453146256415,0.000182157335038633,0.00495858742317884,0.00396272977310848,"AT1G72940/AT1G80840/AT2G14610/AT3G10930/AT3G45640/AT3G52400/AT3G61190/AT4G31800",8
"GO:0010193","response to ozone","3/58","33/17269",0.0909090909090909,27.0673981191223,8.70098413011041,0.000182610868275708,0.00495858742317884,0.00396272977310848,"AT1G72520/AT3G02840/AT5G42380",3
"GO:0050832","defense response to fungus","6/58","267/17269",0.0224719101123595,6.69081751259202,5.44016721109459,0.000266484153448002,0.00671920758336749,0.00536975587398982,"AT1G80840/AT2G34930/AT3G52400/AT4G31800/AT4G34410/AT5G61600",6
"GO:0080135","regulation of cellular response to stress","4/58","105/17269",0.0380952380952381,11.3425287356322,6.170837318617,0.000425418331047321,0.010011511390647,0.00800085001548646,"AT1G72940/AT2G14610/AT3G45640/AT3G52400",4
"GO:0042742","defense response to bacterium","7/58","426/17269",0.0164319248826291,4.89246397927797,4.72227899652828,0.000537549989636809,0.0118596966463621,0.00947785508043847,"AT1G80840/AT2G27080/AT3G10930/AT3G44260/AT4G11470/AT4G31800/AT5G06320",7
"GO:0080136","priming of cellular response to stress","2/58","11/17269",0.181818181818182,54.1347962382445,10.2332148928014,0.000598003748617442,0.0124173719565857,0.00992352969841948,"AT2G14610/AT3G45640",2
"GO:0006955","immune response","6/58","341/17269",0.0175953079178886,5.23885124886237,4.58938514128176,0.000967448126964314,0.0189727327121335,0.0151623449138267,"AT1G72940/AT2G14610/AT3G52400/AT4G00970/AT4G04540/AT4G11470",6
"GO:0002376","immune system process","6/58","345/17269",0.0173913043478261,5.17811094452774,4.55061371739962,0.00102745673040093,0.0190890645174488,0.0152553132270055,"AT1G72940/AT2G14610/AT3G52400/AT4G00970/AT4G04540/AT4G11470",6
"GO:0035435","phosphate ion transmembrane transport","2/58","16/17269",0.125,37.2176724137931,8.41356745301161,0.00129072645753525,0.0216964971195211,0.0173390822365637,"AT2G22500/AT4G24570",2
"GO:0050688","regulation of defense response to virus","2/58","16/17269",0.125,37.2176724137931,8.41356745301161,0.00129072645753525,0.0216964971195211,0.0173390822365637,"AT1G80840/AT4G31800",2
"GO:0051607","defense response to virus","3/58","65/17269",0.0461538461538462,13.7419098143236,5.97459474739604,0.00135478004645445,0.0217380616544736,0.0173722991602771,"AT1G80840/AT4G31800/AT5G06320",3
"GO:0015743","malate transport","2/58","17/17269",0.117647058823529,35.0283975659229,8.14850992019613,0.00145967063884428,0.0224027711092188,0.0179035117258704,"AT2G22500/AT4G24570",2
"GO:0015740","C4-dicarboxylate transport","2/58","18/17269",0.111111111111111,33.0823754789272,7.90546821292505,0.00163859116403859,0.0241009450377342,0.0192606329808044,"AT2G22500/AT4G24570",2
"GO:0000302","response to reactive oxygen species","4/58","166/17269",0.0240963855421687,7.17449106771915,4.64035308495583,0.00233316165075919,0.0329442425087197,0.0263278872590932,"AT1G72520/AT3G02840/AT3G10930/AT5G42380",4
"GO:0009873","ethylene-activated signaling pathway","3/58","80/17269",0.0375,11.1653017241379,5.29019798760683,0.0024591828542408,0.0333881364441154,0.026682631778807,"AT1G28370/AT2G44840/AT5G47230",3
"GO:0006839","mitochondrial transport","3/58","82/17269",0.0365853658536585,10.8929772918419,5.21273760631746,0.0026382101382364,0.0344921547702759,0.0275649246412224,"AT1G20350/AT2G22500/AT4G24570",3
"GO:0071369","cellular response to ethylene stimulus","3/58","87/17269",0.0344827586206897,10.2669441141498,5.03026977895438,0.00312041857257281,0.0385234972215262,0.0307866326386433,"AT1G28370/AT2G44840/AT5G47230",3
"GO:0006835","dicarboxylic acid transport","2/58","25/17269",0.08,23.8193103448276,6.62804543089126,0.00316481988505456,0.0385234972215262,0.0307866326386433,"AT2G22500/AT4G24570",2
"GO:0009612","response to mechanical stimulus","2/58","26/17269",0.0769230769230769,22.9031830238727,6.48812870691433,0.00342118102563113,0.0402558967349263,0.0321711057848822,"AT2G41100/AT5G57560",2
"GO:0072348","sulfur compound transport","2/58","27/17269",0.0740740740740741,22.0549169859515,6.35584883578496,0.00368693072580006,0.0419834369744329,0.0335516955692501,"AT2G22500/AT4G24570",2
"GO:0006979","response to oxidative stress","6/58","451/17269",0.0133037694013304,3.96108265157887,3.69899369620982,0.00394353854801902,0.0435021596078348,0.034765405620694,"AT1G72520/AT3G02840/AT3G10930/AT3G28340/AT3G45640/AT5G42380",6
