comparison,sub_tissue,direction,n_genes,n_go_terms,n_kegg_pathways,n_kegg_modules
radiation_effect,senescing_leaf,all,118,96,2,0
radiation_effect,senescing_leaf,up,118,96,2,0
radiation_effect,cotyledon,all,67,32,1,0
radiation_effect,cotyledon,up,66,38,1,0
radiation_effect,seedling_green_parts,all,26,39,0,0
radiation_effect,seedling_green_parts,up,26,39,0,0
radiation_effect,sepal,all,36,10,1,1
radiation_effect,sepal,up,36,10,1,1
radiation_effect,root,all,26,7,0,0
radiation_effect,root,up,26,7,0,0
radiation_effect,stem,all,7,14,0,0
radiation_effect,stem,up,7,14,0,0
radiation_effect,mature_pollen,all,77,0,0,0
radiation_effect,mature_pollen,up,69,0,0,3
radiation_effect,mature_pollen,down,8,2,0,1
Cs137_100cGy,seedling_green_parts,all,12,0,1,0
Cs137_100cGy,seedling_green_parts,up,12,0,1,0
Cs137_100cGy,mature_pollen,all,17,0,3,0
Cs137_100cGy,mature_pollen,up,17,0,3,0
Cs137_10cGy,seedling_green_parts,all,9,2,1,0
Cs137_10cGy,seedling_green_parts,up,9,2,1,0
