gene_id,baseMean_old,log2FC_old,padj_old,deg_flag_old,baseMean_new,log2FC_new,padj_new,deg_flag_new,status,direction_change
AT1G01010,167.1481036,0.716972361,5.55e-08,yes,136.099201783224,0.724985389749138,5.89330902008271e-08,no,lost_DEG,
AT1G01020,118.6532108,-0.003394222,0.97604027,no,96.3733846500207,0.00873517313711633,0.93714222874899,no,both_non_DEG,
AT1G01030,73.72569735,-0.227971894,0.020257907,yes,59.5772964444831,-0.23115142846163,0.0245316862577984,no,lost_DEG,
AT1G01040,551.9292686,0.075621096,0.232511395,no,451.183859929386,0.0780002542538148,0.221339547544729,no,both_non_DEG,
AT1G01046,5.13437379,0.384292487,0.139804063,no,3.43951902546373,0.499458798855619,0.112718030138697,no,both_non_DEG,
AT1G01050,1018.190237,0.029298286,0.625320149,no,833.135211553818,0.0323993287303306,0.591853053403672,no,both_non_DEG,
AT1G01060,1627.941239,0.078500331,0.717859468,no,1332.07306660326,0.0825791242112482,0.707756379142071,no,both_non_DEG,
AT1G01070,105.277176,-0.260076634,0.015216656,yes,85.5659936050214,-0.263079969158789,0.0164526993295983,no,lost_DEG,
AT1G01080,1401.18185,-0.103735679,0.003558509,yes,1146.31290440354,-0.100024879989565,0.00457586270153674,no,lost_DEG,
AT1G01090,3202.082485,-0.063765015,0.053764568,no,2620.66391986264,-0.0596772338361956,0.069286695371248,no,both_non_DEG,
AT1G01100,3548.183554,-0.19892115,1.62e-05,yes,2904.8066386744,-0.194435479252284,2.35135399686429e-05,no,lost_DEG,
AT1G01110,56.7658119,-0.257627733,0.048380936,yes,45.6641729796581,-0.258392691806702,0.0535486290041491,no,lost_DEG,
AT1G01120,1109.178072,0.019783883,0.90574786,no,907.012732105316,0.0240784930853616,0.887262805941364,no,both_non_DEG,
AT1G01130,16.76529026,-0.077194127,0.708011609,no,12.8905011925772,-0.077059971271151,0.735141646450045,no,both_non_DEG,
AT1G01140,607.6129561,0.305454399,0.005696459,yes,496.616385285479,0.31213579038168,0.00467095291161164,no,lost_DEG,
AT1G01150,2.997535827,-0.693293268,0.020257907,yes,1.64539102624123,-1.07364985280134,0.0151050046604446,yes,both_DEG,same_direction
AT1G01160,312.2561463,-0.035116695,0.617962313,no,255.453150879392,-0.0280631376258106,0.705629785306359,no,both_non_DEG,
AT1G01170,364.9029714,0.053873652,0.42594891,no,298.493417623801,0.0650712747809046,0.327521645570803,no,both_non_DEG,
AT1G01180,131.9740908,0.247656515,0.057137497,no,107.237974047415,0.260146781170773,0.046151351500142,no,both_non_DEG,
AT1G01190,35.58023739,-0.072136134,0.770415263,no,28.296109229921,-0.0669892309012333,0.798902605201059,no,both_non_DEG,
AT1G01200,30.14713767,-0.23806795,0.112600812,no,23.932497094204,-0.250651963893486,0.109431327442161,no,both_non_DEG,
AT1G01210,157.3916172,-0.042060429,0.713393545,no,128.54228265476,-0.0434119497914778,0.702985460933352,no,both_non_DEG,
AT1G01220,582.8094696,0.532529871,1.06e-06,yes,477.108379798093,0.53600995320176,1.08835700960807e-06,no,lost_DEG,
AT1G01225,48.87260656,-0.104102326,0.281062251,no,39.2508015083298,-0.110012148465414,0.273507334141422,no,both_non_DEG,
AT1G01230,256.3427105,0.003155819,0.971020593,no,209.012401645478,0.0153952428765092,0.839866424946273,no,both_non_DEG,
AT1G01240,105.5060172,-0.088608077,0.76879332,no,85.5037305243895,-0.076135307836536,0.808081231676165,no,both_non_DEG,
AT1G01250,19.17684554,0.06720093,0.85757156,no,14.8929840723181,0.0572407529000336,0.891801294716823,no,both_non_DEG,
AT1G01260,247.928545,-0.053198726,0.514744573,no,202.162572900306,-0.0475741016286757,0.581363414382767,no,both_non_DEG,
AT1G01290,150.556776,0.042561336,0.560876617,no,122.458260812685,0.0437869270870832,0.557996644306098,no,both_non_DEG,
AT1G01300,1217.424402,-0.069705171,0.361538519,no,996.125179124885,-0.0670176602208484,0.391284563870275,no,both_non_DEG,
AT1G01310,,,,,0.880319486571105,0.218845584493294,0.759393529076115,no,,
AT1G01320,7304.835543,-0.110003485,0.214021391,no,5980.7315416877,-0.106564734005759,0.238141705723637,no,both_non_DEG,
AT1G01340,138.2257804,0.705660563,1.11e-09,yes,112.414142411496,0.716628760251012,8.67589429539391e-10,no,lost_DEG,
AT1G01350,280.72336,0.07964598,0.116195489,no,229.499024418792,0.0841729903227035,0.0855731918641377,no,both_non_DEG,
AT1G01355,1.18503763,0.080315675,0.897424856,no,0.164626850067396,0.0529491711581391,,no,both_non_DEG,
AT1G01360,128.6284076,-0.007295016,0.947640896,no,104.534084598996,0.00584733081077541,0.961469684326216,no,both_non_DEG,
AT1G01370,70.51080321,-0.487607451,8.4e-06,yes,56.9610872291419,-0.486499864258292,1.53753145987068e-05,no,lost_DEG,
AT1G01380,10.91795396,-0.129197738,0.585070005,no,8.17275960742913,-0.156768817377009,0.540380369613973,no,both_non_DEG,
AT1G01390,94.34999924,-0.254158776,0.152522896,no,76.4083826181556,-0.258895948407032,0.151825236896225,no,both_non_DEG,
AT1G01420,239.4199841,-0.070258283,0.666911151,no,195.251455409339,-0.0705491033838499,0.674471952196669,no,both_non_DEG,
AT1G01430,752.987659,-0.148540704,0.012274877,yes,615.531084440991,-0.143644757518964,0.0166784862863098,no,lost_DEG,
AT1G01440,233.4168587,0.068999581,0.381307571,no,190.313606801999,0.076583816459797,0.324941009075584,no,both_non_DEG,
AT1G01448,121.1768373,-0.014423539,0.936763619,no,98.8526473460606,-0.00191428735522987,0.99285946646831,no,both_non_DEG,
AT1G01450,6.712747167,0.126675344,0.756437727,no,5.00851406091629,0.18647270283672,0.711146107305206,no,both_non_DEG,
AT1G01453,13.92502167,-0.273574648,0.211365346,no,10.5657068948033,-0.294613894102151,0.239344928781205,no,both_non_DEG,
AT1G01470,614.4091263,0.399528983,2.85e-06,yes,502.367558011558,0.404132791521313,2.53933581324397e-06,no,lost_DEG,
AT1G01480,17.93051505,0.179382723,0.413858672,no,13.8560081267657,0.200186036327016,0.387277201974218,no,both_non_DEG,
AT1G01490,773.1392361,0.046614398,0.615178601,no,632.187801832732,0.0521110437839146,0.572004228123925,no,both_non_DEG,
AT1G01500,181.8669805,0.037225277,0.756202347,no,148.160672417092,0.0388627309654522,0.751461883204652,no,both_non_DEG,
AT1G01510,536.6175332,-0.050215355,0.446167865,no,438.538265254597,-0.043907895916772,0.519110317141439,no,both_non_DEG,
AT1G01520,52.45489365,0.386261406,0.36171111,no,42.2086327456664,0.393561055496787,0.379625877607695,no,both_non_DEG,
AT1G01530,,,,,0.180463862283219,0.323454805521806,,no,,
AT1G01540,926.9544171,-0.099806381,0.273021974,no,757.93117460501,-0.0943405195578504,0.3113276914424,no,both_non_DEG,
AT1G01550,1487.544678,0.226122222,8.56e-06,yes,1217.2055682424,0.231183489967647,5.12352702146204e-06,no,lost_DEG,
AT1G01560,14.31331391,2.805848032,1.9e-16,yes,10.9110832526831,3.28450892657035,2.75494918196264e-16,yes,both_DEG,same_direction
AT1G01570,40.69185358,0.263804699,0.162865306,no,32.5255591676304,0.282224585711306,0.152166267354143,no,both_non_DEG,
AT1G01580,1690.617783,-0.02983413,0.937476574,no,1383.72408744509,-0.0245711295615741,0.950512182578563,no,both_non_DEG,
