sub_tissue,broad_organ,cv_across_gamma,co60_magnitude,cs137_100_magnitude,cs137_10_magnitude
seed_stage_9,Seed_Silique,0.0564,0.2548,0.2512,0.2293
stamen,Flower,0.0579,0.2379,0.2264,0.2119
mature_pollen,Flower,0.0623,0.285,0.2815,0.2539
seed_stage_8,Seed_Silique,0.0668,0.2485,0.2372,0.2176
seed_stage_10,Seed_Silique,0.0683,0.2615,0.2485,0.2281
root,Root,0.0707,0.2379,0.274,0.2551
seed_stage_7,Seed_Silique,0.0768,0.2217,0.2028,0.1904
petal,Flower,0.1118,0.208,0.1745,0.1705
seed_stage_6,Seed_Silique,0.1137,0.2217,0.1865,0.1804
silique_stage_3,Flower,0.1428,0.219,0.1761,0.1695
hypocotyl,Seedling,0.1477,0.2275,0.1809,0.1751
flower_stage_12,Flower,0.15,0.2113,0.165,0.1641
silique_stage_5,Seed_Silique,0.1523,0.2186,0.1714,0.1679
rosette_vegetative,Leaf_Shoot,0.1543,0.1934,0.1493,0.1497
silique_stage_4,Seed_Silique,0.1722,0.227,0.1719,0.1692
seedling_green_parts,Seedling,0.1733,0.2617,0.1993,0.1934
flower_stage_15,Flower,0.1738,0.2485,0.1908,0.1823
flower_stage_10_11,Flower,0.1743,0.2038,0.1512,0.154
stem,Leaf_Shoot,0.1761,0.201,0.1489,0.1513
flower_stage_9,Flower,0.1883,0.2129,0.1535,0.1586
carpel,Flower,0.1918,0.2123,0.1553,0.1539
shoot_apex_vegetative,Leaf_Shoot,0.1985,0.2059,0.1475,0.1493
flower_whole,Flower,0.1988,0.2113,0.1516,0.1527
pedicel,Flower,0.204,0.2131,0.1533,0.1511
shoot_apex_vegetative_with_leaves,Leaf_Shoot,0.2107,0.2182,0.1545,0.1537
shoot_apex_transition,Leaf_Shoot,0.2172,0.1961,0.1353,0.139
inflorescence_apex,Leaf_Shoot,0.2201,0.203,0.1397,0.143
sepal,Flower,0.2228,0.2912,0.2115,0.1942
rosette_leaf,Leaf_Shoot,0.2451,0.2499,0.1693,0.1653
whole_plant_pre_bolting,Seedling,0.2674,0.2454,0.1598,0.1573
cotyledon,Seedling,0.2732,0.2857,0.186,0.18
senescing_leaf,Leaf_Shoot,0.28,0.3166,0.2097,0.1928
cauline_leaf,Leaf_Shoot,0.287,0.2574,0.1631,0.1597
