sub_tissue,broad_organ,cluster
sepal,Flower,1
flower_stage_15,Flower,1
senescing_leaf,Leaf_Shoot,1
cauline_leaf,Leaf_Shoot,1
seedling_green_parts,Seedling,1
cotyledon,Seedling,1
flower_stage_12,Flower,2
petal,Flower,2
stamen,Flower,2
silique_stage_3,Flower,2
rosette_leaf,Leaf_Shoot,2
stem,Leaf_Shoot,2
silique_stage_4,Seed_Silique,2
silique_stage_5,Seed_Silique,2
seed_stage_6,Seed_Silique,2
seed_stage_7,Seed_Silique,2
whole_plant_pre_bolting,Seedling,2
hypocotyl,Seedling,2
flower_stage_9,Flower,3
flower_stage_10_11,Flower,3
carpel,Flower,3
pedicel,Flower,3
flower_whole,Flower,3
rosette_vegetative,Leaf_Shoot,3
shoot_apex_vegetative_with_leaves,Leaf_Shoot,3
shoot_apex_vegetative,Leaf_Shoot,3
shoot_apex_transition,Leaf_Shoot,3
inflorescence_apex,Leaf_Shoot,3
mature_pollen,Flower,4
root,Root,4
seed_stage_8,Seed_Silique,4
seed_stage_9,Seed_Silique,4
seed_stage_10,Seed_Silique,4
