gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G51850,58.4761339452336,1.91495180142605,0.435199712730944,4.40016788937989,1.08167157560277e-05,0.000497136256147033,yes,up,0.972749935041812,0.920600883554244,root,Root,tissue_specific
AT2G37430,13.673137176118,1.52873189516816,0.558395075882441,2.73772452730225,0.00618658731902748,0.036966231294758,yes,up,0.878268029683205,0.798533038511086,root,Root,tissue_specific
AT2G44370,17.0074401941622,1.1251212469524,0.302241662580876,3.72258820092788,0.000197190991090255,0.0033518226174402,yes,up,0.935110591407132,0.840409234055544,root,Root,tissue_specific
AT3G09940,237.512725665924,1.38634515421392,0.503014584315098,2.75607347667972,0.00584998539408189,0.0355511269622219,yes,up,0.93633325430613,0.928636295722405,root,Root,tissue_specific
AT3G25250,48.0865497730663,1.30511788105961,0.466583351047358,2.79718056405134,0.00515507146403138,0.0325554513116473,yes,up,0.872375293707008,0.881954133513516,root,Root,tissue_specific
AT3G25780,355.219400387699,1.05207808458351,0.318285672794102,3.305452222677,0.000948232689746934,0.00993127567229322,yes,up,0.73103138749505,0.697110190418432,root,Root,tissue_specific
AT3G52450,81.547381922765,1.0171943586123,0.28080931722529,3.62236683833469,0.000291919743387732,0.00437490737457884,yes,up,0.882159785360889,0.828908505934012,root,Root,tissue_specific
AT3G56980,64.3475751949375,-1.29139699572885,0.296697021487787,-4.35257822695063,1.34545840233773e-05,0.000575073062863521,yes,down,0.900695839068428,0.861852566610242,root,Root,tissue_specific
AT4G14630,18.6142697956853,1.52661948051273,0.582587991004534,2.62041014247554,0.00878240715939326,0.0470635827282383,yes,up,0.932183027751389,0.939552415490435,root,Root,tissue_specific
AT4G21830,58.7277044566669,2.16885512871337,0.769697849384112,2.81780068691737,0.00483538156040483,0.0312229778576488,yes,up,0.935316650443103,0.932244516879191,root,Root,tissue_specific
AT5G27920,222.480462869068,1.06197582364625,0.11836010898256,8.97241336439394,2.9008744342105e-19,1.41656950808584e-15,yes,up,0.718934642424279,0.740405893858903,root,Root,tissue_specific
AT5G57510,23.0324536500191,2.66960424020063,0.714184636982795,3.73797489046932,0.000185508468399909,0.00321806120182543,yes,up,0.666427620775834,0.636555832521529,root,Root,tissue_specific
