gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G02800,56.5634043912712,1.78714534494826,0.383385923350342,4.66147877660898,3.13945446850894e-06,0.000311786243988586,yes,up,0.884841902388654,0.935489355493542,inflorescence_apex,Flower,tissue_specific
AT1G05040,0.945165171274207,-3.49826084518165,1.10635317406898,-3.16197478994492,0.00156703129975251,0.0414884316111079,yes,down,0.920548097227278,0.80628350541563,mature_pollen,Flower,tissue_specific
AT1G05710,179.124817890067,-1.08400177144638,0.225154001078304,-4.81449037660843,1.47576014873937e-06,0.000171108209955067,yes,down,0.690633494857509,0.482894154752486,hypocotyl,Flower,tissue_specific
AT1G09180,28.7501272963039,-2.47880264712961,0.500668744944179,-4.95098340401892,7.3839401077493e-07,9.76380889416265e-05,yes,down,0.65647198098181,0.32207976057165,mature_pollen,Flower,tissue_specific
AT1G10680,2.47246733279992,1.80706458322755,0.576766359343519,3.13309636381077,0.00172972643432853,0.0442527946573811,yes,up,0.995404281372307,0.883049133429898,mature_pollen,Flower,tissue_specific
AT1G10780,110.410009908388,1.09480181137001,0.289366521745109,3.78344324273411,0.000154673608203684,0.00763218598802959,yes,up,0.721706937422451,0.513601118343759,shoot_apex_transition,Flower,tissue_specific
AT1G13330,136.750511295782,-2.75683054350807,0.400986288501927,-6.87512421885424,6.19358654596996e-12,2.7505367270282e-09,yes,down,0.67082540294598,0.54498322107315,inflorescence_apex,Flower,tissue_specific
AT1G15460,35.7960970516165,-1.17132175678688,0.275220409375647,-4.25594075469945,2.0817183015074e-05,0.0015843394204085,yes,down,0.906135048208797,0.622683390627119,stamen,Flower,tissue_specific
AT1G17480,45.0925632593301,1.05808695726535,0.329107864896171,3.21501571407039,0.00130437381626462,0.0367237398485889,yes,up,0.66204331787712,0.417768414137939,shoot_apex_transition,Flower,tissue_specific
AT1G18250,343.080162393296,1.27681682670106,0.289783528136522,4.40610560203937,1.05245668567877e-05,0.000878428120951109,yes,up,0.81642286207724,0.744907952657929,shoot_apex_transition,Flower,tissue_specific
AT1G19830,5.39820919263278,1.32035936338253,0.394114291429733,3.3501940733807,0.000807549586110954,0.0259662494648819,yes,up,0.68265912523136,0.727298471403832,inflorescence_apex,Flower,tissue_specific
AT1G20120,23.2766006108821,-3.14644914579664,0.555245141195065,-5.66677474930168,1.45510426600668e-08,3.05792759901779e-06,yes,down,0.935407372056012,0.929413997042097,flower_stage_10_11,Flower,tissue_specific
AT1G20310,4.3339637066397,-2.80496970072937,0.880209632738718,-3.18670643492265,0.00143902753680121,0.0391470034172364,yes,down,0.735800146015059,0.32711687970391,flower_stage_15,Flower,tissue_specific
AT1G21810,63.6470511818556,1.23157101022432,0.342628784848862,3.59447619314174,0.000325044863575229,0.0136617517035181,yes,up,0.69658600979958,0.574130765140455,inflorescence_apex,Flower,tissue_specific
AT1G23520,5.48514222640813,-5.1809478144627,1.02700771765777,-5.04470192909413,4.54228905176357e-07,6.44047333803368e-05,yes,down,0.852192239846851,0.719039155045933,flower_stage_12,Flower,tissue_specific
AT1G25510,130.7881269222,1.09140413199319,0.238524501681887,4.57564788647483,4.74748460385469e-06,0.000452394919517926,yes,up,0.729685817063968,0.676823067742971,seed_stage_6,Flower,tissue_specific
AT1G27720,37.6915694583786,-1.62298840435856,0.345586222287773,-4.69633422772012,2.64872008530344e-06,0.000271056194120814,yes,down,0.951658834797977,0.5510820076783,mature_pollen,Flower,tissue_specific
AT1G27940,96.6859331452609,-1.7966730284946,0.400676945915006,-4.48409384870304,7.32244319836128e-06,0.000647926111127178,yes,down,0.806172376004708,0.554689418264693,petal,Flower,tissue_specific
AT1G29230,10.3419856104549,-1.00234939774918,0.282571256105336,-3.54724472532878,0.000389282802033478,0.0154511792773389,yes,down,0.907730983078961,0.628238663044782,stamen,Flower,tissue_specific
AT1G30950,2.85455245466907,1.52815114597626,0.489284352878583,3.12323730972748,0.0017887346012754,0.0451606229537063,yes,up,0.903788403788904,0.780005885889036,inflorescence_apex,Flower,tissue_specific
AT1G53540,20.2465980157214,-2.80533665319428,0.868828316046761,-3.22887341650971,0.00124278891039958,0.0355857938979014,yes,down,0.86427128090183,0.468313499933031,petal,Flower,tissue_specific
AT1G54280,12.2668158577964,-2.50689975409674,0.657570287298134,-3.8123677461116,0.000137641882036813,0.00701064759776222,yes,down,0.983169479291579,0.831915788720055,mature_pollen,Flower,tissue_specific
AT1G59540,154.013039880748,1.10785325575287,0.358770101662138,3.08791967507974,0.00201562944238054,0.048909144520939,yes,up,0.74044568443158,0.592776106161553,shoot_apex_transition,Flower,tissue_specific
AT1G61080,12.2195979475344,-1.1681901929325,0.295271292910355,-3.95632836981265,7.61105246597873e-05,0.0044897579421489,yes,down,0.992130393892399,0.828556373624955,mature_pollen,Flower,tissue_specific
AT1G67780,44.2643150154538,1.06973994290734,0.192469577325679,5.55796899318389,2.72931854096909e-08,5.35333087489913e-06,yes,up,0.767536099196343,0.366452521926686,shoot_apex_transition,Flower,tissue_specific
AT1G76540,274.196053595675,1.2193387188889,0.387385419403705,3.14761128791529,0.00164610432002259,0.0428114446191951,yes,up,0.74313643499335,0.532999832528063,shoot_apex_transition,Flower,tissue_specific
AT1G78430,111.827479801417,1.11147161330983,0.326265510682585,3.40664758277548,0.000657659842673875,0.022466385656045,yes,up,0.743521082516036,0.674357935894985,shoot_apex_vegetative,Flower,tissue_specific
AT2G13680,10.215239515253,1.13170921751861,0.251977633913387,4.49130821629833,7.078702494851e-06,0.000631103865989803,yes,up,0.969640433829834,0.900377946429958,mature_pollen,Flower,tissue_specific
AT2G20320,284.603114646382,-1.104606013677,0.274526722812717,-4.02367391545547,5.72972367446899e-05,0.0036058958857213,yes,down,0.981972004907507,0.755587531464481,mature_pollen,Flower,tissue_specific
AT2G21790,1993.77297416474,-1.68185078848547,0.295236205959778,-5.69662783403538,1.22200274657693e-08,2.68806342487675e-06,yes,down,0.681791625379894,0.479150328280573,shoot_apex_transition,Flower,tissue_specific
AT2G23150,334.14542650785,-1.7818532588725,0.363424027096655,-4.90295942485553,9.44034896194438e-07,0.00012075950734635,yes,down,0.742617413659391,0.451171756567272,sepal,Flower,tissue_specific
AT2G26180,99.8522370807595,1.38875268602071,0.300902071917538,4.61529785145943,3.92531950425634e-06,0.000383362013160504,yes,up,0.669769154855098,0.456290664647096,shoot_apex_vegetative,Flower,tissue_specific
AT2G26400,39.7585008104343,3.56343331135785,0.772926921800832,4.61031076916748,4.020674759343e-06,0.000389442888109696,yes,up,0.855765353811151,0.820783827616,inflorescence_apex,Flower,tissue_specific
AT2G30820,31.5265482449378,1.27626254304049,0.346870672268836,3.67936134436682,0.000233818773923822,0.0104230918216761,yes,up,0.633878575780977,0.45168672208167,inflorescence_apex,Flower,tissue_specific
AT2G34920,120.395323251646,-1.42876220784788,0.251365237985369,-5.68400873286642,1.31573554232565e-08,2.8674506907147e-06,yes,down,0.832080589633806,0.384734600015526,mature_pollen,Flower,tissue_specific
AT2G35070,4.29823989330635,-2.9183416719971,0.837491381012611,-3.48462293243966,0.000492831014397317,0.0183540563067558,yes,down,0.938095902629434,0.37058354694129,senescing_leaf,Flower,tissue_specific
AT2G41630,1021.64239081914,-1.55532549962182,0.249039351428964,-6.24530015315855,4.22987044998247e-10,1.34538460515186e-07,yes,down,0.931793171834981,0.383291014888895,mature_pollen,Flower,tissue_specific
AT2G42800,55.464137255441,1.07589358531388,0.306615160232702,3.50893799412051,0.000449899778975803,0.0172745368641982,yes,up,0.813664755141998,0.804809096334889,inflorescence_apex,Flower,tissue_specific
AT2G46860,14.2705459986633,-1.38673056106746,0.404978283716039,-3.42420968438842,0.000616590255871958,0.0216284424030675,yes,down,0.974340798350276,0.953746513687366,mature_pollen,Flower,tissue_specific
AT2G46980,179.928731704687,-1.08494509677337,0.240616005523293,-4.50903128581918,6.51243056275101e-06,0.00059412045796694,yes,down,0.756321126302652,0.505818409323438,shoot_apex_transition,Flower,tissue_specific
