gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G02520,294.171181275014,-1.58785586855347,0.286263046896548,-5.54684191958348,2.90875502482256e-08,5.65812950572302e-06,yes,down,0.854359194586946,0.875412087423198,root,Root,tissue_specific
AT1G05650,12.9363428496364,-2.83225301386834,0.864059995810036,-3.27784300581254,0.00104603555924899,0.0314438556296853,yes,down,0.927463690268976,0.933977590762292,root,Root,tissue_specific
AT1G08430,82.2969960593195,1.58310403114616,0.366669865535282,4.31751878173865,1.5779298543591e-05,0.00124629983161242,yes,up,0.980535251093853,0.970286821757092,root,Root,tissue_specific
AT1G10050,346.38345073845,-1.58708466220024,0.230600177937217,-6.88240866246138,5.88488981058747e-12,2.6637048359961e-09,yes,down,0.822439630582972,0.731600561311702,senescing_leaf,Root,tissue_specific
AT1G12340,59.0014994767484,1.25666464352917,0.295410015705948,4.25396762708295,2.10015677090305e-05,0.0015843394204085,yes,up,0.67060971540044,0.304901719145982,mature_pollen,Root,tissue_specific
AT1G14220,23.2101812229398,-1.19982932273218,0.315343138319442,-3.80483726117024,0.000141897452248736,0.0071464738062966,yes,down,0.952400418394094,0.956677246831998,root,Root,tissue_specific
AT1G17170,923.133266071004,-1.07188202128343,0.304030922764979,-3.52556908203715,0.000422573947744774,0.0164127442377372,yes,down,0.878241683389815,0.891302402416633,root,Root,tissue_specific
AT1G17180,575.682188871056,-1.90777213086086,0.384374032087234,-4.96332210711854,6.92975128324955e-07,9.32031748307684e-05,yes,down,0.97776989426253,0.98149204992542,root,Root,tissue_specific
AT1G17960,38.3254066099475,-2.24812713623392,0.457431009533496,-4.91468022363994,8.89274879217615e-07,0.000115004740835962,yes,down,0.704768311424927,0.737749837187191,root,Root,tissue_specific
AT1G21120,347.609199386599,-2.07700137512677,0.499906785040713,-4.15477732505195,3.25604482205094e-05,0.00228087877906586,yes,down,0.856479833990443,0.702738922899166,seedling_green_parts,Root,tissue_specific
AT1G26970,21.1773486680011,-1.06359186584078,0.287496023629223,-3.69950113540518,0.000216023673992328,0.00991140197808467,yes,down,0.86160727270365,0.850032328707497,root,Root,tissue_specific
