gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G02520,294.171181275014,-1.58785586855347,0.286263046896548,-5.54684191958348,2.90875502482256e-08,5.65812950572302e-06,yes,down,0.854359194586946,0.875412087423198,root,Root,tissue_specific
AT1G05650,12.9363428496364,-2.83225301386834,0.864059995810036,-3.27784300581254,0.00104603555924899,0.0314438556296853,yes,down,0.927463690268976,0.933977590762292,root,Root,tissue_specific
AT1G08430,82.2969960593195,1.58310403114616,0.366669865535282,4.31751878173865,1.5779298543591e-05,0.00124629983161242,yes,up,0.980535251093853,0.970286821757092,root,Root,tissue_specific
AT1G14220,23.2101812229398,-1.19982932273218,0.315343138319442,-3.80483726117024,0.000141897452248736,0.0071464738062966,yes,down,0.952400418394094,0.956677246831998,root,Root,tissue_specific
AT1G17170,923.133266071004,-1.07188202128343,0.304030922764979,-3.52556908203715,0.000422573947744774,0.0164127442377372,yes,down,0.878241683389815,0.891302402416633,root,Root,tissue_specific
AT1G17180,575.682188871056,-1.90777213086086,0.384374032087234,-4.96332210711854,6.92975128324955e-07,9.32031748307684e-05,yes,down,0.97776989426253,0.98149204992542,root,Root,tissue_specific
AT1G17960,38.3254066099475,-2.24812713623392,0.457431009533496,-4.91468022363994,8.89274879217615e-07,0.000115004740835962,yes,down,0.704768311424927,0.737749837187191,root,Root,tissue_specific
AT1G26970,21.1773486680011,-1.06359186584078,0.287496023629223,-3.69950113540518,0.000216023673992328,0.00991140197808467,yes,down,0.86160727270365,0.850032328707497,root,Root,tissue_specific
AT1G56680,56.1412829693911,1.10039248290853,0.276357018413692,3.9817786760939,6.8401459784678e-05,0.00416011668979836,yes,up,0.814112632660305,0.862413664165596,root,Root,tissue_specific
AT1G62570,596.757731464611,-1.17266685779482,0.334819670041172,-3.5023834103015,0.000461115542889157,0.0175903995672319,yes,down,0.806152975446862,0.83439356072603,root,Root,tissue_specific
AT1G78340,357.289997043915,-1.24170311575444,0.301217713203148,-4.12227787851577,3.75144279586089e-05,0.00259699144371111,yes,down,0.976027033705391,0.975885652797474,root,Root,tissue_specific
