gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G09080,15.436752,1.880229063,0.371774994,5.057438216,4.25E-07,8.88E-06,yes,up,0.90571858,0.518270241,sepal,Leaf_Shoot,tissue_specific
AT1G12940,1.243942394,1.499050288,0.538099425,2.78582399,0.005339185,0.023132697,yes,up,0.917697328,0.357968296,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G13470,34.58732835,2.612668757,0.474869818,5.501863161,3.76E-08,1.12E-06,yes,up,0.931363122,0.715862344,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G15580,23.35116643,1.683296322,0.301735348,5.578717685,2.42E-08,7.66E-07,yes,up,0.710874283,0.360245522,hypocotyl,Leaf_Shoot,tissue_specific
AT1G15790,16.28964458,1.264895573,0.189903925,6.660713166,2.73E-11,1.93E-09,yes,up,0.839862306,0.364100534,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G21240,3.633917546,3.764785114,0.781358916,4.81825322,1.45E-06,2.54E-05,yes,up,0.9371372,0.689169933,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G21250,170.678873,2.146271277,0.312799297,6.861496496,6.81E-12,5.63E-10,yes,up,0.817252388,0.702688764,cauline_leaf,Leaf_Shoot,tissue_specific
AT1G24140,17.18506797,2.02076413,0.262157057,7.708219458,1.28E-14,1.94E-12,yes,up,0.888701907,0.555801466,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G33760,10.36331293,2.464075546,0.896636446,2.748132264,0.005993583,0.025402557,yes,up,0.955003456,0.775617844,cotyledon,Leaf_Shoot,tissue_specific
AT1G35710,138.0224718,1.651707187,0.268691586,6.147223327,7.89E-10,3.76E-08,yes,up,0.871493207,0.731072637,cauline_leaf,Leaf_Shoot,tissue_specific
AT1G47890,3.144106327,1.80354182,0.354821931,5.082949117,3.72E-07,7.93E-06,yes,up,0.948802571,0.451140082,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G57630,7.02374327,3.028451736,0.446774663,6.778476903,1.21E-11,9.35E-10,yes,up,0.926888544,0.643733442,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G58300,5.059966011,2.073233386,0.470977965,4.401975333,1.07E-05,0.000136747,yes,up,0.71578095,0.327758814,cotyledon,Leaf_Shoot,tissue_specific
AT1G58420,19.76505032,1.752029978,0.249256139,7.029034414,2.08E-12,1.95E-10,yes,up,0.760774557,0.547759773,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G65790,5.528141367,2.429073825,0.510822188,4.755223794,1.98E-06,3.33E-05,yes,up,0.864257152,0.652354462,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G68200,59.08581915,2.956255845,0.307520055,9.613213177,7.03E-22,4.31E-19,yes,up,0.938946078,0.51245396,stem,Leaf_Shoot,tissue_specific
AT1G68240,17.34943755,3.123709357,0.426860414,7.317870792,2.52E-13,2.90E-11,yes,up,0.935044324,0.161076377,mature_pollen,Leaf_Shoot,tissue_specific
AT1G69720,4.921900628,1.478310069,0.287592761,5.140289563,2.74E-07,6.16E-06,yes,up,0.81718782,0.626848597,mature_pollen,Leaf_Shoot,tissue_specific
