gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G12940,1.24394239358838,1.49905028765523,0.538099425196571,2.78582398988368,0.00533918539284711,0.0231326974263136,yes,up,0.917697328299795,0.357968295806546,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G13470,34.5873283537258,2.61266875738791,0.474869817924416,5.50186316074475,3.75798584926838e-08,1.11723780515158e-06,yes,up,0.931363122478487,0.715862344488634,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G15790,16.2896445844102,1.26489557260031,0.189903924869625,6.66071316571628,2.72502012922873e-11,1.9261258994119e-09,yes,up,0.839862305612122,0.364100533934933,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G21240,3.63391754624128,3.76478511447207,0.781358916338531,4.81825321980576,1.44820502514489e-06,2.53715176083777e-05,yes,up,0.937137200019675,0.689169933128076,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G24140,17.1850679669718,2.02076413043901,0.262157057332419,7.70821945821831,1.27585216534258e-14,1.94365379250667e-12,yes,up,0.888701907056194,0.555801465995378,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G47890,3.14410632698914,1.80354181985384,0.354821930813824,5.08294911680689,3.71619279177602e-07,7.93272938240995e-06,yes,up,0.948802570742993,0.451140082496979,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G57630,7.02374327046297,3.02845173564213,0.446774663239594,6.77847690306029,1.21449387309346e-11,9.35487481102882e-10,yes,up,0.926888543904129,0.64373344230121,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G58420,19.7650503236108,1.75202997792444,0.249256138864262,7.02903441378647,2.07967685740407e-12,1.94687917105151e-10,yes,up,0.760774556649083,0.547759772687589,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G65790,5.52814136661366,2.42907382495482,0.510822188398092,4.75522379435444,1.98226705277139e-06,3.33235531208526e-05,yes,up,0.864257152073736,0.652354461671443,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G73805,55.9507391544501,2.41394282619478,0.293590702971002,8.22213647014974,1.99909520699269e-16,4.53707496632512e-14,yes,up,0.861859367464188,0.581357606237487,senescing_leaf,Leaf_Shoot,tissue_specific
AT2G14560,116.272795633191,3.0771032585321,0.605163836168335,5.08474412155084,3.68122011563183e-07,7.86492036377195e-06,yes,up,0.868456483891895,0.745076133302737,senescing_leaf,Leaf_Shoot,tissue_specific
AT2G17040,34.5002130575426,2.34328993970417,0.260621567784338,8.99115894216101,2.44636972762048e-19,9.48599285901938e-17,yes,up,0.876250175613168,0.756340233850898,senescing_leaf,Leaf_Shoot,tissue_specific
AT2G29110,1.93408681818421,1.5480432965435,0.374565176633149,4.13290768367305,3.58202625979503e-05,0.000380330554432869,yes,up,0.869096434706477,0.460011266536218,senescing_leaf,Leaf_Shoot,tissue_specific
AT2G32680,29.6995066802623,2.222291775466,0.374937472456681,5.92709968652909,3.08331817031172e-09,1.25138705292772e-07,yes,up,0.879187253003121,0.715072030311554,senescing_leaf,Leaf_Shoot,tissue_specific
AT2G40750,24.4796657549558,1.45947210960883,0.245391285563596,5.94753031370623,2.7221836534003e-09,1.11662777181486e-07,yes,up,0.803519140511033,0.579256538137548,senescing_leaf,Leaf_Shoot,tissue_specific
AT3G05660,17.6806656634028,1.15069688320076,0.245092883877907,4.69494203582825,2.66682333708692e-06,4.28350857817491e-05,yes,up,0.672762035590163,0.436645201376677,senescing_leaf,Leaf_Shoot,tissue_specific
AT3G11010,131.059237335046,1.23411084086452,0.20897540098487,5.90553163218418,3.51511328587985e-09,1.40415608408429e-07,yes,up,0.885601391374042,0.663689182526263,senescing_leaf,Leaf_Shoot,tissue_specific
AT3G24900,4.35520165626949,1.69611040618433,0.363542780564788,4.66550430061988,3.07861056408953e-06,4.80901848572423e-05,yes,up,0.891104646145593,0.421088010105989,senescing_leaf,Leaf_Shoot,tissue_specific
AT3G28510,21.3277194802446,4.15159012028364,0.558344795562466,7.43553115078544,1.04148619695659e-13,1.27087223645544e-11,yes,up,0.968786050207883,0.457076613837989,senescing_leaf,Leaf_Shoot,tissue_specific
AT3G28540,23.2087424860677,1.14436803311466,0.300772611469329,3.80476143597056,0.000141940925488684,0.00119307233703254,yes,up,0.925078422329241,0.614005407509297,senescing_leaf,Leaf_Shoot,tissue_specific
AT3G44350,3.88979916426996,2.85271800200606,0.509591728820398,5.59804612333392,2.16781085212668e-08,6.9451448153696e-07,yes,up,0.827129240169914,0.703680857485703,senescing_leaf,Leaf_Shoot,tissue_specific
AT3G47480,20.6586678031762,2.83057404232616,0.376310092113341,7.52191902808074,5.39780124932343e-14,6.89054230832443e-12,yes,up,0.894490517268941,0.521145016276607,senescing_leaf,Leaf_Shoot,tissue_specific
AT3G56400,123.722016054671,2.32843257557089,0.274654041951282,8.47769273311443,2.29703645643062e-17,5.95773887218812e-15,yes,up,0.711199805014566,0.559516772494976,senescing_leaf,Leaf_Shoot,tissue_specific
AT3G56710,29.3785535399837,2.27218688829555,0.28924114511156,7.85568349004831,3.97597950193289e-15,6.7254378788902e-13,yes,up,0.809039535294566,0.588601876605502,senescing_leaf,Leaf_Shoot,tissue_specific
AT3G57260,30.2636667955813,2.95772266660303,0.514317653556053,5.75077026066088,8.88377671209548e-09,3.1809108236141e-07,yes,up,0.868959682936446,0.659131924913744,senescing_leaf,Leaf_Shoot,tissue_specific
