gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G16130,40.1102560058677,1.28271776544651,0.303383799608531,4.22803645778601,2.35739599716938e-05,0.000265954997127727,yes,up,0.859808102023538,0.7146151982743,seedling_green_parts,Seedling,tissue_specific
AT1G18570,153.223976281269,1.86371763624545,0.289628126079291,6.43486411860161,1.23583837536909e-10,7.54015120215864e-09,yes,up,0.839876489542137,0.751554485134326,seedling_green_parts,Seedling,tissue_specific
AT1G19380,132.185104398538,1.806219439243,0.314674057715519,5.73996932685157,9.46937007645372e-09,3.36601796906059e-07,yes,up,0.701545335671495,0.549881408240062,seedling_green_parts,Seedling,tissue_specific
AT1G19770,975.354078076999,1.03795120376057,0.289183878717524,3.58924297012576,0.000331639635640136,0.00239944700393676,yes,up,0.608401573036234,0.481914681479276,seedling_green_parts,Seedling,tissue_specific
AT1G25400,189.710308285091,1.0026526759456,0.299953720207914,3.34269125000552,0.000829701590921551,0.00511437318937745,yes,up,0.803926541347517,0.686088764169887,seedling_green_parts,Seedling,tissue_specific
AT1G55450,668.916194120898,1.22450271734437,0.198028429364981,6.18346931938504,6.27079257330319e-10,3.07446667984377e-08,yes,up,0.828111226410809,0.759186636025904,seedling_green_parts,Seedling,tissue_specific
AT1G63750,118.474196875241,1.11735352399164,0.221103793108116,5.05352490015976,4.3372973960826e-07,9.04599432259506e-06,yes,up,0.863103624401395,0.808732908248249,seedling_green_parts,Seedling,tissue_specific
AT1G69890,131.536525765894,1.01394057966493,0.251307041683945,4.03466839954333,5.46794629869084e-05,0.000540775479306412,yes,up,0.71048820060187,0.529211092685896,seedling_green_parts,Seedling,tissue_specific
AT1G69920,3.71602467849141,3.02022446028664,0.635087199540017,4.75560594273375,1.97852068141749e-06,3.32833859760814e-05,yes,up,0.847838983064418,0.693268361991844,seedling_green_parts,Seedling,tissue_specific
AT1G72900,169.839262038478,1.81975926238258,0.256959739077093,7.08188476886883,1.42206887496133e-12,1.38960491219826e-10,yes,up,0.804159325321844,0.75725734834177,seedling_green_parts,Seedling,tissue_specific
AT2G22880,8.29726907977318,6.42761758880559,2.28300523939971,2.81541955221078,0.0048713591568223,0.021524339255947,yes,up,0.923478078070983,0.762567647026533,seedling_green_parts,Seedling,tissue_specific
AT2G25470,10.7270608703313,1.3140614356539,0.327837302116209,4.00827308903396,6.11643682252475e-05,0.000594836819770279,yes,up,0.680093839658096,0.584128730852147,seedling_green_parts,Seedling,tissue_specific
AT2G26190,431.089281844492,1.02848519245545,0.203261915539152,5.05990111195888,4.19473969089574e-07,8.78602736111015e-06,yes,up,0.619261335308468,0.551817605595893,seedling_green_parts,Seedling,tissue_specific
AT2G38470,635.857977931936,2.33809242156861,0.288751462316958,8.09724876475991,5.62160419631294e-16,1.14900905102473e-13,yes,up,0.78602023508171,0.664484120218836,seedling_green_parts,Seedling,tissue_specific
AT2G43620,164.166532600136,1.06520950578638,0.208894210906768,5.0992772904645,3.40952767201147e-07,7.35492394119835e-06,yes,up,0.939423341098851,0.919348898144019,seedling_green_parts,Seedling,tissue_specific
AT3G55840,26.265676251702,1.15655902847551,0.392189960167803,2.94897663362076,0.00318828080857772,0.0153181123196838,yes,up,0.808257734589598,0.674038580100905,seedling_green_parts,Seedling,tissue_specific
AT4G12490,137.095732396585,1.08919381566185,0.232467563346034,4.68535824948857,2.79470663708696e-06,4.44813560595924e-05,yes,up,0.931281989725012,0.920262930401577,seedling_green_parts,Seedling,tissue_specific
AT4G17490,179.621562263937,1.91466363090358,0.326861817448169,5.85771579516839,4.69276833373276e-09,1.83279504652012e-07,yes,up,0.845676141707155,0.672752973417011,seedling_green_parts,Seedling,tissue_specific
AT4G17500,215.90831018167,1.02069105079048,0.211508882512802,4.82575974429207,1.39470560767923e-06,2.4556819274263e-05,yes,up,0.749929813726522,0.57582450714352,seedling_green_parts,Seedling,tissue_specific
AT4G23190,123.987159923599,1.52963558931348,0.186496266607726,8.20196359496512,2.36491922786347e-16,5.2256192704331e-14,yes,up,0.848581450632803,0.708890950087895,seedling_green_parts,Seedling,tissue_specific
AT4G34150,886.846402858511,1.2101123385683,0.228759400992926,5.28989118399432,1.22389152629668e-07,3.09787280345498e-06,yes,up,0.629021296900826,0.55724277874,seedling_green_parts,Seedling,tissue_specific
AT5G47220,103.02057563604,1.66802777334577,0.267264503140435,6.24111228294805,4.34470216291848e-10,2.23401488364573e-08,yes,up,0.755698105046336,0.726104595571255,seedling_green_parts,Seedling,tissue_specific
AT5G57220,144.661336331453,1.76593535246694,0.276021283663464,6.39782312808904,1.57607699092642e-10,9.27012958188302e-09,yes,up,0.967800918282366,0.89920786940467,seedling_green_parts,Seedling,tissue_specific
AT5G61160,38.3220500552025,1.41444220788195,0.33616522256455,4.20758041861498,2.58119558849422e-05,0.000287768109995444,yes,up,0.949389675650972,0.95785646962227,seedling_green_parts,Seedling,tissue_specific
AT5G66210,460.473452509726,1.06385307840814,0.197150100531787,5.39615793011791,6.80830245508879e-08,1.8657791543683e-06,yes,up,0.681736757822065,0.579931846083743,seedling_green_parts,Seedling,tissue_specific
