gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G01010,136.0992018,0.72498539,0.119540711,6.064757205,1.32E-09,5.89E-08,no,none,0.767156384,0.798308645,root,Root,tissue_specific
AT1G01020,96.37338465,0.008735173,0.058594382,0.149078681,0.881491548,0.937142229,no,none,,,,,unannotated
AT1G01030,59.57729644,-0.231151428,0.083682207,-2.762253027,0.005740397,0.024531686,no,none,0.703983716,0.627315507,flower_stage_10_11,Flower,tissue_specific
AT1G01040,451.1838599,0.078000254,0.047056318,1.65759367,0.097399508,0.221339548,no,none,0.504082532,0.322050665,,,constitutive
AT1G01046,3.439519025,0.499458799,0.243160862,2.054026272,0.039973149,0.11271803,no,none,,,,,unannotated
AT1G01050,833.1352116,0.032399329,0.038677068,0.837688329,0.40220577,0.591853053,no,none,0.415309987,0.231387634,,,constitutive
AT1G01060,1332.073067,0.082579124,0.133947588,0.616503255,0.537562425,0.707756379,no,none,0.737805374,0.27740645,cauline_leaf,Flower,tissue_specific
AT1G01070,85.56599361,-0.263079969,0.090066139,-2.920964221,0.003489499,0.016452699,no,none,0.808140703,0.439065526,stamen,Root,tissue_specific
AT1G01080,1146.312904,-0.10002488,0.029596688,-3.379597058,0.000725922,0.004575863,no,none,0.589809203,0.547013686,,,constitutive
AT1G01090,2620.66392,-0.059677234,0.025910106,-2.303241567,0.021265255,0.069286695,no,none,0.669651152,0.396734252,seed_stage_6,Seed_Silique,tissue_specific
AT1G01100,2904.806639,-0.194435479,0.040209724,-4.835533819,1.33E-06,2.35E-05,no,none,0.403914212,0.159620746,,,constitutive
AT1G01110,45.66417298,-0.258392692,0.106511032,-2.425971165,0.015267483,0.053548629,no,none,0.745730923,0.779158574,inflorescence_apex,Flower,tissue_specific
AT1G01120,907.0127321,0.024078493,0.092988695,0.258940004,0.795681532,0.887262806,no,none,0.590949853,0.462045326,,,constitutive
AT1G01130,12.89050119,-0.077059971,0.136129531,-0.566078282,0.571340566,0.735141646,no,none,0.768871661,0.683389449,inflorescence_apex,Flower,tissue_specific
AT1G01140,496.6163853,0.31213579,0.092546676,3.372739065,0.000744244,0.004670953,no,none,0.680311184,0.420873123,silique_stage_3,Seed_Silique,tissue_specific
AT1G01150,1.645391026,-1.073649853,0.363452585,-2.954030034,0.003136535,0.015105005,yes,down,0.595890054,0.297512632,,,constitutive
AT1G01160,255.4531509,-0.028063138,0.045199279,-0.620875787,0.534681354,0.705629785,no,none,0.508551055,0.388992679,,,constitutive
AT1G01170,298.4934176,0.065071275,0.04711012,1.381258958,0.167199353,0.327521646,no,none,0.793932124,0.678256639,seed_stage_10,Seed_Silique,tissue_specific
AT1G01180,107.237974,0.260146781,0.104311613,2.493938827,0.012633431,0.046151352,no,none,,,,,unannotated
AT1G01190,28.29610923,-0.066989231,0.15342816,-0.43661627,0.662389661,0.798902605,no,none,0.956676721,0.928182079,hypocotyl,Root,tissue_specific
AT1G01200,23.93249709,-0.250651964,0.121104934,-2.069708929,0.03847961,0.109431327,no,none,0.777553429,0.73744108,pedicel,Root,tissue_specific
