gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G05100,66.4151087909979,1.36457327052504,0.365599687718857,3.73242460637544,0.000189645469216658,0.00403654828668661,yes,up,0.938032557044748,0.665302078771221,stamen,Flower,tissue_specific
AT1G32350,96.7205365200767,2.53222264819211,0.671979704452372,3.76830227373569,0.000164361600977611,0.00367705298941011,yes,up,0.945173088765901,0.288670407600815,senescing_leaf,Flower,tissue_specific
AT3G06490,27.2234137865101,1.20958582936288,0.415362373501583,2.91212181586368,0.00358982607795025,0.0287858173898385,yes,up,0.96979467473286,0.700421780531448,stamen,Flower,tissue_specific
AT3G22910,224.613659310091,1.61295757246748,0.399585615741502,4.03657566470293,5.42370387244434e-05,0.00176642428711545,yes,up,0.973550380273896,0.839394468313952,stamen,Flower,tissue_specific
AT3G28210,108.867737786886,1.65016522815679,0.479075859242332,3.44447585141644,0.000572167743739101,0.00847736743757691,yes,up,0.98354034647313,0.643481332122412,mature_pollen,Flower,tissue_specific
AT3G48450,12.7398343979817,1.26086782927203,0.40743157194794,3.09467384484662,0.00197029430380055,0.0193452839157623,yes,up,0.990197797107582,0.736922116819825,mature_pollen,Flower,tissue_specific
AT4G18980,11.4755662584009,1.2994028030598,0.378816196952176,3.43016696095452,0.000603209957676893,0.00876110179861782,yes,up,0.93891408308865,0.885193299659024,petal,Flower,tissue_specific
AT4G22960,7.89416462297281,1.29860711200705,0.343106098338953,3.78485581659396,0.000153797718692556,0.0034993485195596,yes,up,0.880951178406033,0.65437368088583,stamen,Flower,tissue_specific
AT4G33390,2.70416497040701,1.67697889055372,0.561827455127124,2.98486461501651,0.00283703859599996,0.024569651237754,yes,up,0.982755779341193,0.920339667610536,mature_pollen,Flower,tissue_specific
AT4G39670,110.020800213696,2.11015878273905,0.52355049399197,4.03047806649842,5.56635232593045e-05,0.00179645192512846,yes,up,0.985680558403852,0.829366971406039,mature_pollen,Flower,tissue_specific
AT5G13220,268.117605500749,1.02590383554705,0.377048431708043,2.72088079215625,0.00651082357746422,0.0430395252885282,yes,up,0.768207500633247,0.513526763437579,petal,Flower,tissue_specific
AT5G16960,42.0967344970962,1.5342378477972,0.46666483755472,3.28766541708277,0.00101021821472956,0.0125776877375857,yes,up,0.968804948445962,0.889138459305337,flower_stage_10_11,Flower,tissue_specific
AT5G40260,9.02570279436427,4.32138838059313,1.15646813523891,3.73671201904788,0.000186442247641017,0.00399195734497642,yes,up,0.92572391063099,0.869724806949676,mature_pollen,Flower,tissue_specific
AT5G45890,11.0035544429075,3.47518090194007,1.31090547629007,2.65097748449034,0.00802591915838274,0.0492174979388195,yes,up,0.936807481512957,0.775930068578638,senescing_leaf,Flower,tissue_specific
