gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G05300,419.878308064729,1.42420544745756,0.155755660019121,9.14384393660379,6.02710334665896e-20,3.92424698900965e-16,yes,up,0.682405895446076,0.445790416324425,senescing_leaf,Root,tissue_specific
AT1G05575,13.5827794120692,1.25370290105082,0.370092100493254,3.38754299100117,0.00070521664003124,0.00808391820993557,yes,up,0.896649052572263,0.677454564816525,cotyledon,Root,tissue_specific
AT1G15010,33.3580080833627,1.16879663212987,0.403645057400184,2.89560496456444,0.00378428447895843,0.0263242267548059,yes,up,0.715441650763529,0.387121223614791,silique_stage_4,Root,tissue_specific
AT1G15670,161.260384170623,1.04245677599305,0.182954351603149,5.69790642779717,1.21287584742481e-08,3.94273995106869e-06,yes,up,0.805450856665573,0.506263046964469,senescing_leaf,Root,tissue_specific
AT1G28480,100.631023969066,1.13680107075486,0.380276268594696,2.989408397626,0.0027951824632503,0.0213357948630981,yes,up,0.827835930683896,0.602022529970122,sepal,Root,tissue_specific
AT1G51800,242.71119564949,1.66974198256958,0.377389084043568,4.42445755102131,9.66849115782668e-06,0.00045624568570946,yes,up,0.874951520737112,0.705416360573399,seedling_green_parts,Root,tissue_specific
AT1G51850,58.4761339452336,1.91495180142605,0.435199712730944,4.40016788937989,1.08167157560277e-05,0.000497136256147033,yes,up,0.972749935041812,0.920600883554244,root,Root,tissue_specific
AT1G60960,1611.93099164997,1.19490508802871,0.116278427307107,10.2762405349085,9.01767451935799e-25,1.7614223638662e-20,yes,up,0.650436139657224,0.592693870157881,silique_stage_4,Root,tissue_specific
AT2G19800,58.4526822662346,1.18544960800269,0.449854363634301,2.6351853040296,0.00840913615819013,0.0456854094884178,yes,up,0.94185308138077,0.54674696642577,mature_pollen,Root,tissue_specific
AT2G25460,84.3041435449111,1.00523293440869,0.350724989759102,2.86615714237855,0.00415487946425552,0.0280820970848799,yes,up,0.961986813491069,0.573490917580211,mature_pollen,Root,tissue_specific
AT2G37430,13.673137176118,1.52873189516816,0.558395075882441,2.73772452730225,0.00618658731902748,0.036966231294758,yes,up,0.878268029683205,0.798533038511086,root,Root,tissue_specific
AT2G39200,231.598954792096,1.25364324806278,0.439317893843596,2.85361298875091,0.00432251537181574,0.0288655359855306,yes,up,0.880703081726825,0.680590206549205,seedling_green_parts,Root,tissue_specific
AT2G44370,17.0074401941622,1.1251212469524,0.302241662580876,3.72258820092788,0.000197190991090255,0.0033518226174402,yes,up,0.935110591407132,0.840409234055544,root,Root,tissue_specific
AT3G09940,237.512725665924,1.38634515421392,0.503014584315098,2.75607347667972,0.00584998539408189,0.0355511269622219,yes,up,0.93633325430613,0.928636295722405,root,Root,tissue_specific
AT3G11340,29.085778436312,1.75580385158555,0.535465659312585,3.27902232580068,0.00104167394551982,0.010660785964523,yes,up,0.926971900009682,0.918521286059737,sepal,Root,tissue_specific
AT3G23250,65.5919963066513,1.45029773304569,0.466006306903276,3.11218477424322,0.00185708224556155,0.0160599774884894,yes,up,0.867363613872212,0.865193531558353,hypocotyl,Root,tissue_specific
AT3G25250,48.0865497730663,1.30511788105961,0.466583351047358,2.79718056405134,0.00515507146403138,0.0325554513116473,yes,up,0.872375293707008,0.881954133513516,root,Root,tissue_specific
AT3G25780,355.219400387699,1.05207808458351,0.318285672794102,3.305452222677,0.000948232689746934,0.00993127567229322,yes,up,0.73103138749505,0.697110190418432,root,Root,tissue_specific
AT3G45060,235.649692706523,1.22028689886849,0.451794221927234,2.70097942745498,0.00691356147698704,0.0400007690550912,yes,up,0.710687224222787,0.497757362512807,flower_stage_10_11,Root,tissue_specific
AT3G52450,81.547381922765,1.0171943586123,0.28080931722529,3.62236683833469,0.000291919743387732,0.00437490737457884,yes,up,0.882159785360889,0.828908505934012,root,Root,tissue_specific
AT3G56980,64.3475751949375,-1.29139699572885,0.296697021487787,-4.35257822695063,1.34545840233773e-05,0.000575073062863521,yes,down,0.900695839068428,0.861852566610242,root,Root,tissue_specific
AT4G14630,18.6142697956853,1.52661948051273,0.582587991004534,2.62041014247554,0.00878240715939326,0.0470635827282383,yes,up,0.932183027751389,0.939552415490435,root,Root,tissue_specific
AT4G21830,58.7277044566669,2.16885512871337,0.769697849384112,2.81780068691737,0.00483538156040483,0.0312229778576488,yes,up,0.935316650443103,0.932244516879191,root,Root,tissue_specific
AT5G27920,222.480462869068,1.06197582364625,0.11836010898256,8.97241336439394,2.9008744342105e-19,1.41656950808584e-15,yes,up,0.718934642424279,0.740405893858903,root,Root,tissue_specific
AT5G57510,23.0324536500191,2.66960424020063,0.714184636982795,3.73797489046932,0.000185508468399909,0.00321806120182543,yes,up,0.666427620775834,0.636555832521529,root,Root,tissue_specific
AT5G59820,156.76122761616,1.52946877512542,0.480113088107717,3.18564274336607,0.00144432832517882,0.0134985957778554,yes,up,0.780339721273014,0.5147493149955,sepal,Root,tissue_specific
