gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G01010,132.62435349399,-0.600905546102248,0.22163458173085,-2.71124452425019,0.00670311735702169,0.752681072880804,no,none,0.767156383975048,0.79830864503942,root,Root,tissue_specific
AT1G01020,60.7114605366363,-0.0977208737289437,0.173452283873755,-0.563387644985225,0.573170948392561,0.999808032263671,no,none,,,,,unannotated
AT1G01030,31.014346006956,-0.0527485574984256,0.270681397533578,-0.194873227266688,0.845492193906192,0.999808032263671,no,none,0.703983716491082,0.627315506985561,flower_stage_10_11,Flower,tissue_specific
AT1G01040,626.702290542477,0.196514397132974,0.108303870053946,1.81447253025298,0.0696050081375624,0.999808032263671,no,none,0.504082531689516,0.322050664739839,,,constitutive
AT1G01046,1.66897105693726,0.131543598576183,0.915364170577385,0.14370630051339,0.885732395755749,,no,none,,,,,unannotated
AT1G01050,315.097127737028,-0.0405798248297573,0.0889333179044544,-0.456294961055588,0.648177886942423,0.999808032263671,no,none,0.415309987413882,0.231387634389972,,,constitutive
AT1G01060,448.76871981041,-0.147739165194726,0.199305847768693,-0.741268592210032,0.458530601165624,0.999808032263671,no,none,0.737805373863813,0.277406450359872,cauline_leaf,Flower,tissue_specific
AT1G01070,93.310494314375,-0.251223626635107,0.194730733101411,-1.29010774331279,0.197013251736758,0.999808032263671,no,none,0.808140703299481,0.439065526031619,stamen,Root,tissue_specific
AT1G01080,94.157887960141,-0.235499302540812,0.165903438471376,-1.41949621243952,0.155754400316451,0.999808032263671,no,none,0.589809203347975,0.547013685625408,,,constitutive
AT1G01090,1272.99020228579,0.169286236074805,0.127567577926445,1.3270318275731,0.184498154479586,0.999808032263671,no,none,0.669651152271845,0.396734251848922,seed_stage_6,Seed_Silique,tissue_specific
AT1G01100,845.440466908653,-0.106325525787712,0.0943692008715779,-1.12669732079648,0.259870475601626,0.999808032263671,no,none,0.403914211840134,0.159620745577467,,,constitutive
AT1G01110,104.782332236773,0.0427877422408557,0.146907003604353,0.291257334171015,0.770854515919911,0.999808032263671,no,none,0.745730923410608,0.779158573715199,inflorescence_apex,Flower,tissue_specific
AT1G01120,897.773061256545,0.0858879472886318,0.216084599849723,0.397473708669489,0.69101817058265,0.999808032263671,no,none,0.590949853137866,0.462045325562186,,,constitutive
AT1G01130,6.12420676851078,0.295555332913845,0.529732732582901,0.55793292491623,0.576890187555627,,no,none,0.768871661065869,0.683389449485856,inflorescence_apex,Flower,tissue_specific
AT1G01140,426.206363008816,0.1059007917683,0.11980429941932,0.883948174494497,0.376724189926208,0.999808032263671,no,none,0.680311183633182,0.420873123204805,silique_stage_3,Seed_Silique,tissue_specific
AT1G01150,1.0480628144209,1.01982141955914,1.3837527594977,0.736996846119631,0.461124267319512,,no,none,0.595890053697367,0.297512631507037,,,constitutive
AT1G01160,204.900260499475,-0.0630296394070405,0.129009095273274,-0.488567408937545,0.625147991256885,0.999808032263671,no,none,0.508551055396324,0.388992679264893,,,constitutive
AT1G01170,341.736303974987,-0.0119443377874957,0.128007629166075,-0.0933095774471324,0.925657623578191,0.999808032263671,no,none,0.793932124267693,0.67825663904416,seed_stage_10,Seed_Silique,tissue_specific
AT1G01180,180.050151957404,0.306028368209595,0.142975851168087,2.14041997798508,0.0323208414266949,0.999808032263671,no,none,,,,,unannotated
AT1G01190,11.9872444002948,-0.990589688814209,0.492542833184297,-2.01117470821782,0.0443070062494928,,no,none,0.956676720531314,0.928182079232975,hypocotyl,Root,tissue_specific
AT1G01200,24.1949621192944,0.0577158417790056,0.333499967802734,0.173061011547517,0.8626034707548,0.999808032263671,no,none,0.777553429208364,0.737441079938498,pedicel,Root,tissue_specific
AT1G01210,56.9014477701046,-0.268237810877985,0.199651206997558,-1.34353212741291,0.179099730245341,0.999808032263671,no,none,0.379005227358271,0.164621981101571,,,constitutive
AT1G01220,163.836594150277,0.131336163460892,0.110429399977261,1.18932244029159,0.234312808160346,0.999808032263671,no,none,0.402255326541952,0.24854197595718,,,constitutive
AT1G01225,14.1170178844896,-0.385098008928996,0.411241353005257,-0.936428221808893,0.349052753009591,,no,none,0.793469737710215,0.715341361868679,seed_stage_7,Seed_Silique,tissue_specific
AT1G01230,186.190372285441,-0.0731105303760964,0.13518138095553,-0.540832841470581,0.588622804169762,0.999808032263671,no,none,0.633107737920439,0.540250350920736,seed_stage_9,Seed_Silique,tissue_specific
AT1G01240,291.431421260016,0.066789153662808,0.111406432665399,0.599508951726373,0.548833542433638,0.999808032263671,no,none,0.790588460415664,0.735759774879432,seed_stage_9,Seed_Silique,tissue_specific
AT1G01250,4.1967404577241,-0.315139357866586,0.683044592569889,-0.461374500720231,0.644529942714228,,no,none,0.858602979318467,0.950449971110403,seed_stage_7,Seed_Silique,tissue_specific
AT1G01260,375.974521005469,-0.00384607298269338,0.0887227221375733,-0.0433493573013874,0.965423046737809,0.999808032263671,no,none,0.362166633208934,0.233977372514861,,,constitutive
AT1G01290,114.800749008578,0.109067841195613,0.123514656025429,0.883035622696936,0.377217024969662,0.999808032263671,no,none,0.459639609313632,0.278229859719533,,,constitutive
