gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G14720,974.495999563014,-1.11761950146042,0.181377294709887,-6.1618489968552,7.19003994421409e-10,2.22673644956535e-07,yes,down,0.603641645968585,0.253326066467449,hypocotyl,Leaf_Shoot,tissue_specific
AT1G15580,30.7872281386706,-2.54369717104768,0.511577384198476,-4.97226274971686,6.61759317325058e-07,8.951625891885e-05,yes,down,0.710874282741206,0.360245521787204,hypocotyl,Leaf_Shoot,tissue_specific
AT1G34245,38.7936674174623,1.124153466479,0.298137476988165,3.77058757535413,0.000162863636313622,0.0079860862664869,yes,up,0.784124753039301,0.404346447323172,shoot_apex_vegetative_with_leaves,Leaf_Shoot,tissue_specific
AT1G49220,2.677633290549,1.93424958668109,0.541255234190812,3.5736367327197,0.000352057268922754,0.0145120349188001,yes,up,0.646490128985762,0.216621487074516,cauline_leaf,Leaf_Shoot,tissue_specific
AT1G66810,48.4105143548797,-1.70999753657725,0.31677918431027,-5.39807418312685,6.73600170150313e-08,1.2011005458203e-05,yes,down,0.756845457311348,0.169233607695739,stem,Leaf_Shoot,tissue_specific
AT1G66960,3.0869611160706,1.88526030343656,0.552081443803179,3.41482280304401,0.000638235172449738,0.0220127565186175,yes,up,0.853809909737664,0.307187577975486,stem,Leaf_Shoot,tissue_specific
AT1G68200,87.7208827956659,-3.35915576338676,0.534458972587874,-6.28515178091516,3.27533531144686e-10,1.05604886610308e-07,yes,down,0.938946078316424,0.512453960293258,stem,Leaf_Shoot,tissue_specific
AT1G68240,27.475441015324,-4.10611840615887,0.671075827663283,-6.11871004273326,9.43358781984389e-10,2.81061210779323e-07,yes,down,0.935044324381791,0.161076377334045,mature_pollen,Leaf_Shoot,tissue_specific
AT1G74440,53.7359734542723,-1.11614026620959,0.32140432780993,-3.47269831061405,0.000515254192507804,0.0190984849276475,yes,down,0.685396338345745,0.450569903449455,cotyledon,Leaf_Shoot,tissue_specific
AT2G21640,144.909911731492,-1.87120076609618,0.472946108071295,-3.95647777656328,7.60629607746416e-05,0.0044897579421489,yes,down,0.846521481105808,0.330461505354658,sepal,Leaf_Shoot,tissue_specific
AT3G01080,8.14287640100597,-2.22809269031956,0.499245267549864,-4.46292200475797,8.0849488048647e-06,0.000700782580408822,yes,down,0.902605349492775,0.590363882590367,senescing_leaf,Leaf_Shoot,tissue_specific
AT4G17710,5.16957360046169,-3.10840662212264,0.940717356515196,-3.30429389932535,0.000952159569204806,0.0292190088401219,yes,down,0.740839181605422,0.220848882039395,mature_pollen,Leaf_Shoot,tissue_specific
AT5G11410,37.0164289414499,-2.4286528221801,0.512350349027357,-4.74021892790869,2.13487417467375e-06,0.000232632099302297,yes,down,0.855517952976783,0.634717820534229,stem,Leaf_Shoot,tissue_specific
AT5G54700,3.29680918347115,-2.86210251241147,0.840421557095192,-3.40555580499857,0.000660295170098083,0.0225237208965197,yes,down,0.780846046733601,0.310271319821542,mature_pollen,Leaf_Shoot,tissue_specific
